	0
5241	AML001_CD34_24H:BRD-A19500257:0.37037
5242	AML001_CD34_24H:BRD-A19500257:1.11111
5243	AML001_CD34_24H:BRD-A19500257:10
5244	AML001_CD34_24H:BRD-A19500257:3.33333
5245	AML001_CD34_24H:BRD-K43389675:0.37037
5246	AML001_CD34_6H:BRD-A19500257:0.37037
5247	AML001_CD34_6H:BRD-A19500257:1.11111
5248	AML001_CD34_6H:BRD-A19500257:10
5249	AML001_CD34_6H:BRD-A19500257:3.33333
5250	AML001_CD34_6H:BRD-K43389675:0.37037
5251	AML001_CD34_6H:BRD-K43389675:1.11111
5252	AML001_CD34_6H:BRD-K43389675:10
5253	AML001_CD34_6H:BRD-K43389675:3.33333
5254	AML001_HL60_24H:BRD-A19500257:0.37037
5255	AML001_HL60_24H:BRD-A19500257:1.11111
5256	AML001_HL60_24H:BRD-A19500257:10
5257	AML001_HL60_24H:BRD-A19500257:3.33333
5258	AML001_HL60_24H:BRD-K43389675:0.37037
5259	AML001_HL60_24H:BRD-K43389675:10
5260	AML001_HL60_6H:BRD-A19500257:0.37037
5261	AML001_HL60_6H:BRD-A19500257:1.11111
5262	AML001_HL60_6H:BRD-A19500257:10
5263	AML001_HL60_6H:BRD-A19500257:3.33333
5264	AML001_HL60_6H:BRD-K43389675:0.37037
5265	AML001_HL60_6H:BRD-K43389675:1.11111
5266	AML001_PC3_6H:BRD-A19500257:0.37037
5267	AML001_PC3_6H:BRD-A19500257:1.11111
5268	AML001_PC3_6H:BRD-A19500257:10
5269	AML001_PC3_6H:BRD-A19500257:3.33333
5270	AML001_PC3_6H:BRD-K43389675:0.37037
5271	AML001_PC3_6H:BRD-K43389675:1.11111
5272	AML001_PC3_6H:BRD-K43389675:10
5273	AML001_PC3_6H:BRD-K43389675:3.33333
5274	AML001_U937_24H:BRD-A19500257:0.37037
5275	AML001_U937_24H:BRD-A19500257:1.11111
5276	AML001_U937_24H:BRD-A19500257:10
5277	AML001_U937_24H:BRD-A19500257:3.33333
5278	AML001_U937_24H:BRD-K43389675:0.37037
5279	AML001_U937_24H:BRD-K43389675:1.11111
5280	AML001_U937_24H:BRD-K43389675:10
5281	AML001_U937_24H:BRD-K43389675:3.33333
5282	AML001_U937_6H:BRD-A19500257:0.37037
5283	AML001_U937_6H:BRD-A19500257:1.11111
5284	AML001_U937_6H:BRD-A19500257:10
5285	AML001_U937_6H:BRD-A19500257:3.33333
5286	AML001_U937_6H:BRD-K43389675:0.37037
5287	AML001_U937_6H:BRD-K43389675:1.11111
5288	AML001_U937_6H:BRD-K43389675:10
5289	AML001_U937_6H:BRD-K43389675:3.33333
5290	ASG001_MCF7_24H:BRD-A06304526-001-01-0:0.08
5291	ASG001_MCF7_24H:BRD-A06304526-001-01-0:0.4
5292	ASG001_MCF7_24H:BRD-A06304526-001-01-0:10
5293	ASG001_MCF7_24H:BRD-A06304526-001-01-0:2
5294	ASG001_MCF7_24H:BRD-A19500257-001-04-7:0.08
5295	ASG001_MCF7_24H:BRD-A19500257-001-04-7:0.4
5296	ASG001_MCF7_24H:BRD-A19500257-001-04-7:10
5297	ASG001_MCF7_24H:BRD-A19500257-001-04-7:2
5298	ASG001_MCF7_24H:BRD-A39996500-001-01-4:0.08
5299	ASG001_MCF7_24H:BRD-A39996500-001-01-4:0.4
5300	ASG001_MCF7_24H:BRD-A39996500-001-01-4:10
5301	ASG001_MCF7_24H:BRD-A39996500-001-01-4:2
5302	ASG001_MCF7_24H:BRD-A61304759-001-01-0:0.08
5303	ASG001_MCF7_24H:BRD-A61304759-001-01-0:0.4
5304	ASG001_MCF7_24H:BRD-A61304759-001-01-0:10
5305	ASG001_MCF7_24H:BRD-A61304759-001-01-0:2
5306	ASG001_MCF7_24H:BRD-K21680192-300-08-6:0.08
5307	ASG001_MCF7_24H:BRD-K21680192-300-08-6:0.4
5308	ASG001_MCF7_24H:BRD-K21680192-300-08-6:10
5309	ASG001_MCF7_24H:BRD-K21680192-300-08-6:2
5310	ASG001_MCF7_24H:BRD-K81418486-001-24-4:0.08
5311	ASG001_MCF7_24H:BRD-K81418486-001-24-4:0.4
5312	ASG001_MCF7_24H:BRD-K81418486-001-24-4:10
5313	ASG001_MCF7_24H:BRD-K81418486-001-24-4:2
5314	ASG001_MCF7_24H:BRD-K88378636-001-02-8:0.08
5315	ASG001_MCF7_24H:BRD-K88378636-001-02-8:0.4
5316	ASG001_MCF7_24H:BRD-K88378636-001-02-8:10
5317	ASG001_MCF7_24H:BRD-K88378636-001-02-8:2
5318	ASG001_MCF7_6H:BRD-A06304526-001-01-0:0.08
5319	ASG001_MCF7_6H:BRD-A06304526-001-01-0:0.4
5320	ASG001_MCF7_6H:BRD-A06304526-001-01-0:10
5321	ASG001_MCF7_6H:BRD-A06304526-001-01-0:2
5322	ASG001_MCF7_6H:BRD-A19500257-001-04-7:0.08
5323	ASG001_MCF7_6H:BRD-A19500257-001-04-7:0.4
5324	ASG001_MCF7_6H:BRD-A19500257-001-04-7:10
5325	ASG001_MCF7_6H:BRD-A19500257-001-04-7:2
5326	ASG001_MCF7_6H:BRD-A39996500-001-01-4:0.08
5327	ASG001_MCF7_6H:BRD-A39996500-001-01-4:0.4
5328	ASG001_MCF7_6H:BRD-A39996500-001-01-4:10
5329	ASG001_MCF7_6H:BRD-A39996500-001-01-4:2
5330	ASG001_MCF7_6H:BRD-A61304759-001-01-0:0.08
5331	ASG001_MCF7_6H:BRD-A61304759-001-01-0:0.4
5332	ASG001_MCF7_6H:BRD-A61304759-001-01-0:10
5333	ASG001_MCF7_6H:BRD-A61304759-001-01-0:2
5334	ASG001_MCF7_6H:BRD-K21680192-300-08-6:0.08
5335	ASG001_MCF7_6H:BRD-K21680192-300-08-6:0.4
5336	ASG001_MCF7_6H:BRD-K21680192-300-08-6:10
5337	ASG001_MCF7_6H:BRD-K21680192-300-08-6:2
5338	ASG001_MCF7_6H:BRD-K81418486-001-24-4:0.08
5339	ASG001_MCF7_6H:BRD-K81418486-001-24-4:0.4
5340	ASG001_MCF7_6H:BRD-K81418486-001-24-4:10
5341	ASG001_MCF7_6H:BRD-K81418486-001-24-4:2
5342	ASG001_MCF7_6H:BRD-K88378636-001-02-8:0.08
5343	ASG001_MCF7_6H:BRD-K88378636-001-02-8:0.4
5344	ASG001_MCF7_6H:BRD-K88378636-001-02-8:10
5345	ASG001_MCF7_6H:BRD-K88378636-001-02-8:2
5346	ASG001_PC3_24H:BRD-A06304526-001-01-0:0.08
5347	ASG001_PC3_24H:BRD-A06304526-001-01-0:0.4
5348	ASG001_PC3_24H:BRD-A06304526-001-01-0:10
5349	ASG001_PC3_24H:BRD-A06304526-001-01-0:2
5350	ASG001_PC3_24H:BRD-A19500257-001-04-7:0.08
5351	ASG001_PC3_24H:BRD-A19500257-001-04-7:0.4
5352	ASG001_PC3_24H:BRD-A19500257-001-04-7:10
5353	ASG001_PC3_24H:BRD-A19500257-001-04-7:2
5354	ASG001_PC3_24H:BRD-A39996500-001-01-4:0.08
5355	ASG001_PC3_24H:BRD-A39996500-001-01-4:0.4
5356	ASG001_PC3_24H:BRD-A39996500-001-01-4:10
5357	ASG001_PC3_24H:BRD-A39996500-001-01-4:2
5358	ASG001_PC3_24H:BRD-A61304759-001-01-0:0.08
5359	ASG001_PC3_24H:BRD-A61304759-001-01-0:0.4
5360	ASG001_PC3_24H:BRD-A61304759-001-01-0:10
5361	ASG001_PC3_24H:BRD-A61304759-001-01-0:2
5362	ASG001_PC3_24H:BRD-K21680192-300-08-6:0.08
5363	ASG001_PC3_24H:BRD-K21680192-300-08-6:0.4
5364	ASG001_PC3_24H:BRD-K21680192-300-08-6:10
5365	ASG001_PC3_24H:BRD-K21680192-300-08-6:2
5366	ASG001_PC3_24H:BRD-K81418486-001-24-4:0.08
5367	ASG001_PC3_24H:BRD-K81418486-001-24-4:0.4
5368	ASG001_PC3_24H:BRD-K81418486-001-24-4:10
5369	ASG001_PC3_24H:BRD-K81418486-001-24-4:2
5370	ASG001_PC3_24H:BRD-K88378636-001-02-8:0.08
5371	ASG001_PC3_24H:BRD-K88378636-001-02-8:0.4
5372	ASG001_PC3_24H:BRD-K88378636-001-02-8:10
5373	ASG001_PC3_24H:BRD-K88378636-001-02-8:2
5374	ASG001_PC3_6H:BRD-A06304526-001-01-0:0.08
5375	ASG001_PC3_6H:BRD-A06304526-001-01-0:0.4
5376	ASG001_PC3_6H:BRD-A06304526-001-01-0:10
5377	ASG001_PC3_6H:BRD-A06304526-001-01-0:2
5378	ASG001_PC3_6H:BRD-A19500257-001-04-7:0.08
5379	ASG001_PC3_6H:BRD-A19500257-001-04-7:0.4
5380	ASG001_PC3_6H:BRD-A19500257-001-04-7:10
5381	ASG001_PC3_6H:BRD-A19500257-001-04-7:2
5382	ASG001_PC3_6H:BRD-A39996500-001-01-4:0.08
5383	ASG001_PC3_6H:BRD-A39996500-001-01-4:0.4
5384	ASG001_PC3_6H:BRD-A39996500-001-01-4:10
5385	ASG001_PC3_6H:BRD-A39996500-001-01-4:2
5386	ASG001_PC3_6H:BRD-A61304759-001-01-0:0.08
5387	ASG001_PC3_6H:BRD-A61304759-001-01-0:0.4
5388	ASG001_PC3_6H:BRD-A61304759-001-01-0:10
5389	ASG001_PC3_6H:BRD-A61304759-001-01-0:2
5390	ASG001_PC3_6H:BRD-K21680192-300-08-6:0.08
5391	ASG001_PC3_6H:BRD-K21680192-300-08-6:0.4
5392	ASG001_PC3_6H:BRD-K21680192-300-08-6:10
5393	ASG001_PC3_6H:BRD-K21680192-300-08-6:2
5394	ASG001_PC3_6H:BRD-K81418486-001-24-4:0.08
5395	ASG001_PC3_6H:BRD-K81418486-001-24-4:0.4
5396	ASG001_PC3_6H:BRD-K81418486-001-24-4:10
5397	ASG001_PC3_6H:BRD-K81418486-001-24-4:2
5398	ASG001_PC3_6H:BRD-K88378636-001-02-8:0.08
5399	ASG001_PC3_6H:BRD-K88378636-001-02-8:0.4
5400	ASG001_PC3_6H:BRD-K88378636-001-02-8:10
5401	ASG001_PC3_6H:BRD-K88378636-001-02-8:2
5402	BRAF001_A375_24H:BRD-K81418486-001-15-2:0.15625
5403	BRAF001_A375_24H:BRD-K81418486-001-15-2:0.625
5404	BRAF001_A375_24H:BRD-K81418486-001-15-2:10
5405	BRAF001_A375_24H:BRD-K81418486-001-15-2:2.5
5406	BRAF001_A375_6H:BRD-K81418486-001-15-2:0.15625
5407	BRAF001_A375_6H:BRD-K81418486-001-15-2:0.625
5408	BRAF001_A375_6H:BRD-K81418486-001-15-2:10
5409	BRAF001_A375_6H:BRD-K81418486-001-15-2:2.5
5410	CPC001_HA1E_24H:BRD-A17065207-001-06-9:10
5411	CPC001_HA1E_24H:BRD-A19500257:10
5412	CPC001_HA1E_24H:BRD-A23723433-001-01-2:10
5413	CPC001_HA1E_24H:BRD-A61899133-002-02-2:10
5414	CPC001_HA1E_24H:BRD-K09668667-001-02-0:10
5415	CPC001_HA1E_24H:BRD-K74430258-001-01-2:10
5416	CPC001_HA1E_24H:BRD-K81418486:10
5417	CPC001_HA1E_6H:BRD-A17065207-001-06-9:10
5418	CPC001_HA1E_6H:BRD-A19500257:10
5419	CPC001_HA1E_6H:BRD-A23723433-001-01-2:10
5420	CPC001_HA1E_6H:BRD-A61899133-002-02-2:10
5421	CPC001_HA1E_6H:BRD-K09668667-001-02-0:10
5422	CPC001_HA1E_6H:BRD-K74430258-001-01-2:10
5423	CPC001_HA1E_6H:BRD-K81418486:10
5424	CPC001_HCC515_24H:BRD-A17065207-001-06-9:10
5425	CPC001_HCC515_24H:BRD-A19500257:10
5426	CPC001_HCC515_24H:BRD-A23723433-001-01-2:10
5427	CPC001_HCC515_24H:BRD-A61899133-002-02-2:10
5428	CPC001_HCC515_24H:BRD-K09668667-001-02-0:10
5429	CPC001_HCC515_24H:BRD-K74430258-001-01-2:10
5430	CPC001_HCC515_24H:BRD-K81418486:10
5431	CPC001_HCC515_6H:BRD-A17065207-001-06-9:10
5432	CPC001_HCC515_6H:BRD-A19500257:10
5433	CPC001_HCC515_6H:BRD-A23723433-001-01-2:10
5434	CPC001_HCC515_6H:BRD-A61899133-002-02-2:10
5435	CPC001_HCC515_6H:BRD-K09668667-001-02-0:10
5436	CPC001_HCC515_6H:BRD-K74430258-001-01-2:10
5437	CPC001_HCC515_6H:BRD-K81418486:10
5438	CPC001_PC3_24H:BRD-A17065207-001-06-9:10
5439	CPC001_PC3_24H:BRD-A19500257:10
5440	CPC001_PC3_24H:BRD-A23723433-001-01-2:10
5441	CPC001_PC3_24H:BRD-A61899133-002-02-2:10
5442	CPC001_PC3_24H:BRD-K09668667-001-02-0:10
5443	CPC001_PC3_24H:BRD-K74430258-001-01-2:10
5444	CPC001_PC3_24H:BRD-K81418486:10
5445	CPC001_PC3_6H:BRD-A17065207-001-06-9:10
5446	CPC001_PC3_6H:BRD-A19500257:10
5447	CPC001_PC3_6H:BRD-A23723433-001-01-2:10
5448	CPC001_PC3_6H:BRD-A61899133-002-02-2:10
5449	CPC001_PC3_6H:BRD-K09668667-001-02-0:10
5450	CPC001_PC3_6H:BRD-K74430258-001-01-2:10
5451	CPC001_PC3_6H:BRD-K81418486:10
5452	CPC001_VCAP_24H:BRD-A17065207-001-06-9:10
5453	CPC001_VCAP_24H:BRD-A19500257:10
5454	CPC001_VCAP_24H:BRD-A23723433-001-01-2:10
5455	CPC001_VCAP_24H:BRD-A61899133-002-02-2:10
5456	CPC001_VCAP_24H:BRD-K09668667-001-02-0:10
5457	CPC001_VCAP_24H:BRD-K74430258-001-01-2:10
5458	CPC001_VCAP_24H:BRD-K81418486:10
5459	CPC001_VCAP_6H:BRD-A17065207-001-06-9:10
5460	CPC001_VCAP_6H:BRD-A19500257:10
5461	CPC001_VCAP_6H:BRD-A23723433-001-01-2:10
5462	CPC001_VCAP_6H:BRD-A61899133-002-02-2:10
5463	CPC001_VCAP_6H:BRD-K09668667-001-02-0:10
5464	CPC001_VCAP_6H:BRD-K74430258-001-01-2:10
5465	CPC001_VCAP_6H:BRD-K81418486:10
5466	CPC002_HA1E_24H:BRD-A19500257:10
