	0
0	LJP005_A375_24H:C19
1	LJP005_A375_24H:C20
2	LJP005_A375_24H:C21
3	LJP005_A375_24H:C22
4	LJP005_A375_24H:C23
5	LJP005_A375_24H:C24
6	LJP005_A375_24H:G13
7	LJP005_A375_24H:G14
8	LJP005_A375_24H:G15
9	LJP005_A375_24H:G16
10	LJP005_A375_24H:G17
11	LJP005_A375_24H:G18
12	LJP005_A375_24H:K07
13	LJP005_A375_24H:K08
14	LJP005_A375_24H:K09
15	LJP005_A375_24H:K10
16	LJP005_A375_24H:K11
17	LJP005_A375_24H:K12
18	LJP005_A375_24H:O01
19	LJP005_A375_24H:O02
20	LJP005_A375_24H:O04
21	LJP005_A375_24H:O05
22	LJP005_A375_24H:O06
23	LJP005_A549_24H:C19
24	LJP005_A549_24H:C20
25	LJP005_A549_24H:C21
26	LJP005_A549_24H:C22
27	LJP005_A549_24H:C23
28	LJP005_A549_24H:C24
29	LJP005_A549_24H:G13
30	LJP005_A549_24H:G14
31	LJP005_A549_24H:G15
32	LJP005_A549_24H:G16
33	LJP005_A549_24H:G17
34	LJP005_A549_24H:G18
35	LJP005_A549_24H:K07
36	LJP005_A549_24H:K08
37	LJP005_A549_24H:K09
38	LJP005_A549_24H:K10
39	LJP005_A549_24H:K11
40	LJP005_A549_24H:K12
41	LJP005_A549_24H:O01
42	LJP005_A549_24H:O02
43	LJP005_A549_24H:O03
44	LJP005_A549_24H:O04
45	LJP005_A549_24H:O05
46	LJP005_A549_24H:O06
47	LJP005_BT20_24H:C19
48	LJP005_BT20_24H:C20
49	LJP005_BT20_24H:C21
50	LJP005_BT20_24H:C22
51	LJP005_BT20_24H:C23
52	LJP005_BT20_24H:C24
53	LJP005_BT20_24H:G13
54	LJP005_BT20_24H:G14
55	LJP005_BT20_24H:G15
56	LJP005_BT20_24H:G16
57	LJP005_BT20_24H:G17
58	LJP005_BT20_24H:G18
59	LJP005_BT20_24H:K07
60	LJP005_BT20_24H:K08
61	LJP005_BT20_24H:K09
62	LJP005_BT20_24H:K10
63	LJP005_BT20_24H:K11
64	LJP005_BT20_24H:K12
65	LJP005_BT20_24H:O02
66	LJP005_BT20_24H:O03
67	LJP005_BT20_24H:O04
68	LJP005_BT20_24H:O05
69	LJP005_BT20_24H:O06
70	LJP005_BT20_24H:O01
71	LJP005_BT20_3H:C19
72	LJP005_BT20_3H:C20
73	LJP005_BT20_3H:C21
74	LJP005_BT20_3H:C22
75	LJP005_BT20_3H:C23
76	LJP005_BT20_3H:C24
77	LJP005_BT20_3H:G13
78	LJP005_BT20_3H:G14
79	LJP005_BT20_3H:G15
80	LJP005_BT20_3H:G16
81	LJP005_BT20_3H:G17
82	LJP005_BT20_3H:G18
83	LJP005_BT20_3H:K07
84	LJP005_BT20_3H:K08
85	LJP005_BT20_3H:K09
86	LJP005_BT20_3H:K10
87	LJP005_BT20_3H:K11
88	LJP005_BT20_3H:K12
89	LJP005_BT20_3H:O01
90	LJP005_BT20_3H:O02
91	LJP005_BT20_3H:O03
92	LJP005_BT20_3H:O04
93	LJP005_BT20_3H:O05
94	LJP005_BT20_3H:O06
95	LJP005_HA1E_24H:C19
96	LJP005_HA1E_24H:C20
97	LJP005_HA1E_24H:C21
98	LJP005_HA1E_24H:C22
99	LJP005_HA1E_24H:C23
100	LJP005_HA1E_24H:C24
101	LJP005_HA1E_24H:G13
102	LJP005_HA1E_24H:G14
103	LJP005_HA1E_24H:G15
104	LJP005_HA1E_24H:G16
105	LJP005_HA1E_24H:G17
106	LJP005_HA1E_24H:G18
107	LJP005_HA1E_24H:K07
108	LJP005_HA1E_24H:K08
109	LJP005_HA1E_24H:K09
110	LJP005_HA1E_24H:K10
111	LJP005_HA1E_24H:K11
112	LJP005_HA1E_24H:K12
113	LJP005_HA1E_24H:O01
114	LJP005_HA1E_24H:O02
115	LJP005_HA1E_24H:O04
116	LJP005_HA1E_24H:O05
117	LJP005_HA1E_24H:O06
118	LJP005_HA1E_24H:O03
119	LJP005_HCC515_24H:C19
120	LJP005_HCC515_24H:C20
121	LJP005_HCC515_24H:C21
122	LJP005_HCC515_24H:C22
123	LJP005_HCC515_24H:C23
