Gene ID	Gene Name	HepG2
ENSG00000000003	TSPAN6	37314
ENSG00000000419	DPM1	59166
ENSG00000000457	SCYL3	239
ENSG00000001036	FUCA2	29394
ENSG00000001084	GCLC	72568
ENSG00000001167	NFYA	10232
ENSG00000001497	LAS1L	31927
ENSG00000001629	ANKIB1	18
ENSG00000001630	CYP51A1	14298
ENSG00000002549	LAP3	523686
ENSG00000002586	CD99	15353
ENSG00000002822	MAD1L1	6689
ENSG00000002834	LASP1	381214
ENSG00000002919	SNX11	3214
ENSG00000003056	M6PR	55142
ENSG00000003096	KLHL13	161
ENSG00000003147	ICA1	12
ENSG00000003393	ALS2	296
ENSG00000003400	CASP10	1231
ENSG00000003436	TFPI	6587
ENSG00000003509	NDUFAF7	24623
ENSG00000003756	RBM5	2896
ENSG00000003989	SLC7A2	4984
ENSG00000004059	ARF5	68443
ENSG00000004142	POLDIP2	65238
ENSG00000004399	PLXND1	275
ENSG00000004455	AK2	557148
ENSG00000004478	FKBP4	364058
ENSG00000004487	KDM1A	32745
ENSG00000004534	RBM6	1918
ENSG00000004700	RECQL	72090
ENSG00000004766	VPS50	1925
ENSG00000004779	NDUFAB1	313745
ENSG00000004864	SLC25A13	362787
ENSG00000004866	ST7	1872
ENSG00000004897	CDC27	5944
ENSG00000004961	HCCS	68043
ENSG00000004975	DVL2	591
ENSG00000005007	UPF1	83995
ENSG00000005022	SLC25A5	2275677
ENSG00000005075	POLR2J	39294
ENSG00000005100	DHX33	2461
ENSG00000005156	LIG3	9275
ENSG00000005175	RPAP3	11988
ENSG00000005187	ACSM3	5922
ENSG00000005194	CIAPIN1	33594
ENSG00000005206	SPPL2B	426
ENSG00000005339	CREBBP	1175
ENSG00000005436	GCFC2	615
ENSG00000005448	WDR54	632
ENSG00000005469	CROT	3554
ENSG00000005486	RHBDD2	637
ENSG00000005810	MYCBP2	218
ENSG00000005812	FBXL3	122
ENSG00000005882	PDK2	862
ENSG00000005884	ITGA3	590
ENSG00000005893	LAMP2	442836
ENSG00000006007	GDE1	10977
ENSG00000006016	CRLF1	11479
ENSG00000006025	OSBPL7	64
ENSG00000006071	ABCC8	360
ENSG00000006125	AP2B1	209406
ENSG00000006282	SPATA20	6325
ENSG00000006451	RALA	53959
ENSG00000006453	BAIAP2L1	7553
ENSG00000006534	ALDH3B1	59
ENSG00000006607	FARP2	3040
ENSG00000006625	GGCT	57445
ENSG00000006652	IFRD1	5398
ENSG00000006712	PAF1	7709
ENSG00000006715	VPS41	309
ENSG00000006744	ELAC2	33239
ENSG00000006757	PNPLA4	5979
ENSG00000007062	PROM1	2889
ENSG00000007080	CCDC124	14738
ENSG00000007168	PAFAH1B1	116478
ENSG00000007202	KIAA0100	1023
ENSG00000007384	RHBDF1	57
ENSG00000007392	LUC7L	11128
ENSG00000007866	TEAD3	33
ENSG00000007923	DNAJC11	24505
ENSG00000008018	PSMB1	518106
ENSG00000008083	JARID2	37
ENSG00000008128	CDK11A	230
ENSG00000008130	NADK	925
ENSG00000008197	TFAP2D	39
ENSG00000008256	CYTH3	502
ENSG00000008282	SYPL1	152314
ENSG00000008294	SPAG9	34571
ENSG00000008311	AASS	30536
ENSG00000008394	MGST1	706069
ENSG00000008441	NFIX	178
ENSG00000008513	ST3GAL1	857
ENSG00000008838	MED24	693
ENSG00000008869	HEATR5B	1925
ENSG00000008952	SEC62	44300
ENSG00000008988	RPS20	3628923
ENSG00000009307	CSDE1	42969
ENSG00000009335	UBE3C	2947
ENSG00000009790	TRAF3IP3	489
ENSG00000009844	VTA1	262184
ENSG00000009954	BAZ1B	9421
ENSG00000010017	RANBP9	13234
ENSG00000010165	METTL13	4922
ENSG00000010244	ZNF207	53258
ENSG00000010256	UQCRC1	429550
ENSG00000010278	CD9	4025
ENSG00000010292	NCAPD2	3726
ENSG00000010322	NISCH	1932
ENSG00000010810	FYN	284
ENSG00000011007	ELOA	1538
ENSG00000011009	LYPLA2	183532
ENSG00000011021	CLCN6	677
ENSG00000011028	MRC2	288
ENSG00000011105	TSPAN9	12831
ENSG00000011198	ABHD5	570
ENSG00000011243	AKAP8L	19055
ENSG00000011258	MBTD1	567
ENSG00000011260	UTP18	32805
ENSG00000011295	TTC19	1218
ENSG00000011304	PTBP1	942719
ENSG00000011376	LARS2	18388
ENSG00000011405	PIK3C2A	5509
ENSG00000011426	ANLN	191
ENSG00000011451	WIZ	1387
ENSG00000011454	RABGAP1	10411
ENSG00000011478	QPCTL	22732
ENSG00000011485	PPP5C	39839
ENSG00000011566	MAP4K3	540
ENSG00000012061	ERCC1	3408
ENSG00000012660	ELOVL5	27260
ENSG00000012983	MAP4K5	1527
ENSG00000013288	MAN2B2	1347
ENSG00000013364	MVP	58733
ENSG00000013374	NUB1	2731
ENSG00000013375	PGM3	196455
ENSG00000013392	RWDD2A	113
ENSG00000013441	CLK1	484
ENSG00000013503	POLR3B	6520
ENSG00000013561	RNF14	539
ENSG00000013583	HEBP1	107518
ENSG00000013588	GPRC5A	730
ENSG00000013810	TACC3	426
ENSG00000014123	UFL1	26366
ENSG00000014138	POLA2	540
ENSG00000014164	ZC3H3	302
ENSG00000014216	CAPN1	237416
ENSG00000014257	ACPP	99
ENSG00000014641	MDH1	1530154
ENSG00000014824	SLC30A9	2460
ENSG00000014919	COX15	15293
ENSG00000015133	CCDC88C	232
ENSG00000015171	ZMYND11	724
ENSG00000015475	BID	35982
ENSG00000015532	XYLT2	347
ENSG00000015676	NUDCD3	2382
ENSG00000016391	CHDH	16086
ENSG00000016864	GLT8D1	6271
