source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
Q03135,P48995,CAV1,TRPC1,1,1,0,1,1,0,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=104198,DIP;HPRD;IntAct;Lit-BM-17;TRIP,DIP:19897728;HPRD:12732636;IntAct:19897728;Lit-BM-17:10980191;Lit-BM-17:19052258;Lit-BM-17:19897728;TRIP:12732636;TRIP:14551243;TRIP:16822931;TRIP:18430726;TRIP:19052258;TRIP:19351713;TRIP:19897728,5,13
Q02790,P48995,FKBP4,TRPC1,1,0,1,1,0,1,,TRIP,TRIP:15199065;TRIP:19945390;TRIP:23228564,1,3
Q14571,P48995,ITPR2,TRPC1,1,1,0,1,1,0,,HPRD;TRIP,HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564,2,13
P29966,P48995,MARCKS,TRPC1,1,0,1,1,0,1,,TRIP,TRIP:24022404,1,1
Q13586,P48995,STIM1,TRPC1,1,1,0,1,1,0,,IntAct;TRIP,IntAct:19897728;IntAct:21408196;TRIP:16870612;TRIP:16906149;TRIP:17224452;TRIP:17892531;TRIP:18249094;TRIP:18326500;TRIP:18430726;TRIP:18644792;TRIP:18802022;TRIP:19332490;TRIP:19897728;TRIP:20194530;TRIP:20488539;TRIP:22446186;TRIP:22592407;TRIP:23034388;TRIP:23395841;TRIP:23686296;TRIP:24464579;TRIP:25013939,2,22
P48995,Q13563,TRPC1,PKD2,1,1,0,1,1,0,,HPRD;IntAct;Lit-BM-17;TRIP,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176,4,11
Q13563,P48995,PKD2,TRPC1,1,1,0,1,1,0,,HPRD;IntAct;Lit-BM-17;TRIP,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176,4,11
Q86YM7,Q13507,HOMER1,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:16887806,1,1
Q14643,Q13507,ITPR1,TRPC3,1,1,0,1,1,0,,HPRD;TRIP,HPRD:11524429;HPRD:12606542;HPRD:15104175;HPRD:15623527;HPRD:9853757;TRIP:10518223;TRIP:18205297;TRIP:20022948;TRIP:20378853;TRIP:23045459,2,10
Q14573,Q13507,ITPR3,TRPC3,1,1,0,1,1,0,,HPRD;TRIP,HPRD:11524429;HPRD:15623527;TRIP:10611319;TRIP:11248050;TRIP:11290752;TRIP:16887806,2,6
Q12797,Q13507,ASPH,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:15302852,1,1
Q13976,Q13507,PRKG1,TRPC3,1,0,1,1,0,1,,HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;TRIP;iPTMnet,HPRD:14983059;KEA:14983059;ProtMapper:14983059;ProtMapper:16331690;SIGNOR:14983059;SIGNOR:16331690;TRIP:14983059;iPTMnet:14983059;iPTMnet:16331690,15,9
P12931,Q13507,SRC,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:16407161,1,1
Q8TD43,Q13507,TRPM4,TRPC3,1,0,1,1,0,1,,TRIP,TRIP:18262493,1,1
Q13563,Q13507,PKD2,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:19812035,1,1
Q96J92,Q13507,WNK4,TRPC3,1,0,1,1,0,1,,TRIP,TRIP:21670282,1,1
O14745,Q9UBN4,SLC9A3R1,TRPC4,1,1,0,1,1,0,,HPRD;TRIP,HPRD:10980202;TRIP:10980202;TRIP:12154080;TRIP:15540229;TRIP:18048348,2,5
P11171,Q9UBN4,EPB41,TRPC4,1,1,0,1,1,0,,TRIP,TRIP:16254212;TRIP:22534489,1,2
Q86VW0,Q9UL62,SESTD1,TRPC5,1,1,0,1,1,0,,TRIP,TRIP:20164195,1,1
P06241,Q9Y210,FYN,TRPC6,1,1,0,1,1,0,,HPRD;PhosphoPoint;TRIP,HPRD:14761972;TRIP:14761972,3,2
P20591,Q9Y210,MX1,TRPC6,1,1,0,1,1,0,,HPRD;Lit-BM-17;TRIP;Wang,HPRD:15757897;Lit-BM-17:15757897;TRIP:15757897,4,3
Q13976,Q9Y210,PRKG1,TRPC6,1,0,1,1,0,1,,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;Sparser_ProtMapper;TRIP;phosphoELM_MIMP,PhosphoSite:19961855;PhosphoSite:23645677;ProtMapper:21402151;TRIP:18617565;TRIP:24740790,9,5
Q96H20,Q9Y210,SNF8,TRPC6,1,1,0,1,1,0,,TRIP,TRIP:23171048,1,1
Q13563,Q9HCX4,PKD2,TRPC7,1,1,0,1,1,0,,TRIP,TRIP:19812035,1,1
P24588,Q8NER1,AKAP5,TRPV1,1,1,0,1,1,0,,TRIP,TRIP:18381233;TRIP:18463244;TRIP:18701070;TRIP:22789851;TRIP:23264624;TRIP:23616546;TRIP:23699529,1,7
Q00535,Q8NER1,CDK5,TRPV1,1,1,0,1,1,0,,ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper;TRIP,ProtMapper:23668392;ProtMapper:26376215;ProtMapper:26894912;ProtMapper:26902776;ProtMapper:29352128;ProtMapper:29467671;TRIP:17194758;TRIP:22451679;TRIP:23077056,5,9
Q9UNN5,Q8NER1,FAF1,TRPV1,1,0,1,1,0,1,,TRIP,TRIP:16510717,1,1
O95166,Q8NER1,GABARAP,TRPV1,1,1,0,1,1,0,,TRIP,TRIP:20179142,1,1
Q9NQT8,Q8NER1,KIF13B,TRPV1,1,1,0,1,1,0,,TRIP,TRIP:23077056,1,1
P17612,Q8NER1,PRKACA,TRPV1,1,1,0,1,1,0,,HPRD_MIMP;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;TRIP,TRIP:12194871,6,1
P12931,Q8NER1,SRC,TRPV1,1,1,0,1,1,0,,MIMP;NCI-PID_ProtMapper;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;TRIP;Wang,PhosphoSite:16319926;ProtMapper:16319926;ProtMapper:17582331;ProtMapper:24717323;ProtMapper:25970319;ProtMapper:30292787;TRIP:15084474;TRIP:16319926,10,8
Q9BRV3,Q9Y5S1,SLC50A1,TRPV2,1,1,0,1,1,0,,HPRD;TRIP,HPRD:14991772;TRIP:15547947,2,2
P00533,Q8NET8,EGFR,TRPV3,1,1,0,1,1,0,,TRIP,TRIP:20403327,1,1
P24588,Q9HBA0,AKAP5,TRPV4,1,1,0,1,1,0,,TRIP,TRIP:24778429;TRIP:25005230,1,2
P06241,Q9HBA0,FYN,TRPV4,1,1,0,1,1,0,,HPRD;PhosphoPoint;TRIP,HPRD:12538589;TRIP:12538589,3,2
Q14573,Q9HBA0,ITPR3,TRPV4,1,1,0,1,1,0,,TRIP,TRIP:18378772;TRIP:18826956,1,2
Q96J02,Q9HBA0,ITCH,TRPV4,1,1,1,1,0,1,,HPRD;TRIP;Wang,HPRD:17110928;TRIP:17110928;TRIP:20650893,3,3
P07948,Q9HBA0,LYN,TRPV4,1,1,0,1,1,0,,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;TRIP;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,HPRD-phos:12538589;HPRD:12538589;KEA:12538589;TRIP:12538589;TRIP:18234883;iPTMnet:12538589;phosphoELM:12538589,13,7
Q14244,Q9HBA0,MAP7,TRPV4,1,1,0,1,1,0,,HPRD;Lit-BM-17;TRIP,HPRD:14517216;Lit-BM-17:14517216;TRIP:14517216,3,3
Q13438,Q9HBA0,OS9,TRPV4,1,0,1,1,0,1,,HPRD;TRIP,HPRD:17932042;TRIP:17932042,2,2
Q9UKS6,Q9HBA0,PACSIN3,TRPV4,1,1,0,1,1,0,,HPRD;TRIP,HPRD:16627472;TRIP:16627472;TRIP:18174177,2,3
P12931,Q9HBA0,SRC,TRPV4,1,1,0,1,1,0,,HPRD;KEA;Li2012;NetworKIN_KEA;PhosphoPoint;ProtMapper;Sparser_ProtMapper;TRIP,HPRD:12538589;KEA:17570479;ProtMapper:12538589;TRIP:12538589;TRIP:19033444,8,5
Q13563,Q9HBA0,PKD2,TRPV4,1,1,0,1,1,0,,TRIP,TRIP:18695040;TRIP:20682256;TRIP:22518003;TRIP:23977387;TRIP:25114176,1,5
P07947,Q9HBA0,YES1,TRPV4,1,1,0,1,1,0,,HPRD;PhosphoPoint;TRIP,HPRD:12538589;TRIP:12538589,3,2
P05937,Q9NQA5,CALB1,TRPV5,1,1,0,1,1,0,,HPRD;TRIP,HPRD:16763551;TRIP:16763551,2,2
P23284,Q9NQA5,PPIB,TRPV5,1,1,0,1,1,0,,TRIP,TRIP:18445599,1,1
Q02790,Q9NQA5,FKBP4,TRPV5,1,0,1,1,0,1,,TRIP,TRIP:16352746,1,1
P60903,Q9NQA5,S100A10,TRPV5,1,1,0,1,1,0,,Lit-BM-17;TRIP,Lit-BM-17:12660155;TRIP:12660155,2,2
P21980,Q9NQA5,TGM2,TRPV5,1,0,1,1,0,1,,TRIP,TRIP:21952826,1,1
P23284,Q9H1D0,PPIB,TRPV6,1,1,0,1,1,0,,TRIP,TRIP:18445599,1,1
P06241,Q9H1D0,FYN,TRPV6,1,1,0,1,1,0,,TRIP;Wang,TRIP:17197020,2,1
Q9BPW8,Q9H1D0,NIPSNAP1,TRPV6,1,0,1,1,0,1,,TRIP,TRIP:18392847,1,1
P49757,Q9H1D0,NUMB,TRPV6,1,0,1,1,0,1,,TRIP,TRIP:23140583;TRIP:24704446,1,2
P18031,Q9H1D0,PTPN1,TRPV6,1,0,1,1,0,1,,DEPOD;HPRD;IntAct;Lit-BM-17;SIGNOR;TRIP,DEPOD:15894168;DEPOD:17197020;HPRD:15894168;IntAct:15894168;IntAct:17197020;Lit-BM-17:15894168;Lit-BM-17:17197020;SIGNOR:17197020;TRIP:15894168;TRIP:17197020,6,10
P60903,Q9H1D0,S100A10,TRPV6,1,1,0,1,1,0,,HPRD;TRIP,HPRD:12660155;TRIP:12660155;TRIP:16189514;TRIP:18187190,2,4
P12931,Q9H1D0,SRC,TRPV6,1,1,0,1,1,0,,TRIP;Wang,TRIP:17197020,2,1
P0DP24,Q8TD43,CALM2,TRPM4,1,1,0,1,1,0,,TRIP,TRIP:15590641,1,1
P63244,Q9BX84,RACK1,TRPM6,1,0,1,1,0,1,,SIGNOR;TRIP,SIGNOR:18258429;TRIP:18258429,2,2
Q99623,Q9BX84,PHB2,TRPM6,1,0,1,1,0,1,,TRIP,TRIP:19329436,1,1
Q9BX84,Q96QT4,TRPM6,TRPM7,1,1,0,1,1,0,,HPRD;ProtMapper;RLIMS-P_ProtMapper;TRIP;Wang,HPRD:14976260;ProtMapper:26563869;TRIP:24385424,5,3
