NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
ELAVL1	291	1	11	14	3	19	0.00846551523379705	1
ING2	741	1	11	16	5	14	0.0229521153303357	1
IL7R	1064	1	11	13	2	21	0.00629674784862617	1
TADA3	3339	1	11	17	6	13	0.0300772134744495	1
BAX	260	-1	11	16	5	12	0.0189288086422636	1
HSPB1	566	-1	11	14	3	18	0.00846551523379705	1
HSBP1	837	-1	11	18	7	7	0.0321048913716778	1
MAPKAPK3	839	-1	11	14	3	15	0.00846551523379705	1
GRM1	8	1	10	15	5	16	0.0359077661681747	1
MAPKAPK2	93	1	10	14	4	17	0.0252147989479857	1
KAT2B	358	1	10	16	6	13	0.0458487766215881	1
NCOA3	396	1	10	14	4	16	0.0233661996496578	1
CREB1	604	1	10	18	8	10	0.0650423065447112	1
HSF1	711	1	10	18	8	10	0.0519227940590242	1
FGFR1	1167	1	10	17	7	12	0.0483939228067973	1
MAP3K11	1216	1	10	14	4	18	0.0260246546183604	1
NR2C2	1403	1	10	16	6	14	0.0458487766215881	1
FURIN	2043	1	10	17	7	11	0.0556022276023415	1
CASP7	254	-1	10	16	6	14	0.0458487766215881	1
MDM4	742	-1	10	15	5	15	0.0358488427839527	1
ANKRD12	3310	-1	10	16	6	11	0.0458487766215881	1
PRKG1	23	1	9	14	5	16	0.0345022045799411	1
MMP14	141	1	9	14	5	11	0.0539211579903619	1
CSNK2A1	517	1	9	16	7	13	0.0615387251596366	1
CRTC2	605	1	9	17	8	8	0.0903079271308856	1
TGFBR2	830	1	9	17	8	11	0.0758194679362791	1
JUNB	878	1	9	13	4	19	0.0422105181954012	1
MAPK9	933	1	9	17	8	11	0.0963807311145687	1
MAML1	984	1	9	13	4	19	0.0422105181954012	1
TSLP	1026	1	9	14	5	16	0.0393286764774311	1
KRAS	1101	1	9	14	5	17	0.0513427206471143	1
PDGFRB	1133	1	9	15	6	15	0.0617375456700148	1
CAMK1	1631	1	9	13	4	17	0.0424685719539935	1
ADRA1A	1665	1	9	13	4	19	0.0422105181954012	1
PRKG2	1683	1	9	15	6	12	0.0676973377673782	1
CAMK1G	1831	1	9	17	8	8	0.0903079271308856	1
PTH	1919	1	9	15	6	10	0.0476568875169185	1
TSSK4	2240	1	9	17	8	8	0.0903079271308856	1
ASXL1	2293	1	9	12	3	18	0.0124904112776499	1
CDH15	2296	1	9	18	9	8	0.107886369562038	1
VAV3	2444	1	9	12	3	21	0.0298058416443361	1
HNF1B	2609	1	9	17	8	8	0.0903079271308856	1
AATF	2684	1	9	12	3	7	0.028194478824315	1
P2RY2	2740	1	9	13	4	17	0.0406294070444558	1
BCL2L10	3407	1	9	12	3	7	0.028194478824315	1
BAK1	259	-1	9	13	4	15	0.0309814117011607	1
SIRT2	364	-1	9	16	7	11	0.0759392933128717	1
NOLC1	559	-1	9	16	7	13	0.0615387251596366	1
CDC7	661	-1	9	9	0	13	0.00231500103130397	1
LATS1	833	-1	9	14	5	13	0.0553613289334335	1
PSIP1	877	-1	9	12	3	17	0.0227986484014675	1
NEDD4L	1189	-1	9	19	10	7	0.12206646462494	1
CREM	1635	-1	9	17	8	8	0.0903079271308856	1
KCNIP3	1636	-1	9	17	8	8	0.0903079271308856	1
PYCARD	1961	-1	9	12	3	7	0.028194478824315	1
AMOT	2044	-1	9	14	5	13	0.0553613289334335	1
TJP2	2207	-1	9	14	5	13	0.0553613289334335	1
TRIM59	2363	-1	9	18	9	5	0.109816881659508	1
CALM2	1	1	8	11	3	22	0.0391215503392737	1
CNR1	40	1	8	14	6	16	0.100707024187763	1
EGFR	49	1	8	13	5	18	0.0825148363695833	1
TIA1	94	1	8	17	9	8	0.146132774258011	1
HNRNPD	95	1	8	17	9	8	0.146132774258011	1
TIAL1	102	1	8	17	9	8	0.146132774258011	1
PIK3R1	127	1	8	14	6	16	0.0799380259786142	1
PEBP1	168	1	8	16	8	12	0.0846978367431684	1
HRAS	184	1	8	14	6	16	0.100707024187763	1
RALGDS	221	1	8	15	7	14	0.118832951381667	1
BCL2L2	251	1	8	8	0	14	0.00623121110925986	1
PIDD1	272	1	8	13	5	18	0.0740405850898837	1
STK11	324	1	8	11	3	21	0.0434535568428868	1
JAK1	338	1	8	13	5	18	0.0484359759206967	1
ZDHHC9	352	1	8	14	6	16	0.100707024187763	1
PLK3	388	1	8	13	5	17	0.0825148363695833	1
CREBBP	392	1	8	17	9	10	0.110589371613329	1
NCOA1	395	1	8	12	4	18	0.0644572555484661	1
H2AFX	458	1	8	16	8	10	0.133225737654597	1
ERBB3	556	1	8	17	9	10	0.126369637399219	1
BTK	589	1	8	17	9	10	0.140243259026914	1
HMGN1	652	1	8	16	8	11	0.122461346024674	1
MMP2	822	1	8	15	7	14	0.118832951381667	1
DUSP6	919	1	8	20	12	4	0.178030328784882	1
NCK1	962	1	8	15	7	14	0.0979200401171041	1
TGFB3	1012	1	8	14	6	15	0.0921720730978468	1
GDF5	1014	1	8	13	5	16	0.0788469370086909	1
IL9R	1016	1	8	13	5	16	0.0484359759206967	1
IL21R	1019	1	8	13	5	16	0.0484359759206967	1
IRS4	1057	1	8	12	4	20	0.0508090221960021	1
PDGFRA	1131	1	8	15	7	14	0.104479649559308	1
EFNB3	1148	1	8	14	6	15	0.0970468822330725	1
EPHA4	1153	1	8	14	6	16	0.100707024187763	1
PRDX1	1197	1	8	12	4	19	0.0608475709791493	1
SOS1	1241	1	8	15	7	14	0.0979200401171041	1
TPBG	1293	1	8	13	5	18	0.0825148363695833	1
MAPK10	1303	1	8	16	8	12	0.128331913866623	1
SNX9	1310	1	8	13	5	18	0.0825148363695833	1
LCP2	1382	1	8	12	4	19	0.0562004855288825	1
ITK	1383	1	8	13	5	18	0.0740405850898837	1
CD4	1423	1	8	11	3	21	0.0490560296949411	1
GNB5	1424	1	8	14	6	15	0.0799380259786142	1
GNG4	1425	1	8	14	6	15	0.0799380259786142	1
AGT	1445	1	8	13	5	17	0.0621333798190528	1
CAMK4	1639	1	8	17	9	9	0.118668935333006	1
SSTR2	1642	1	8	14	6	16	0.0970468822330725	1
GNA13	1646	1	8	12	4	19	0.0562004855288825	1
ADRB2	1673	1	8	13	5	18	0.0825148363695833	1
RAP2A	1760	1	8	13	5	17	0.0740405850898837	1
ECSIT	1780	1	8	18	10	8	0.168587028014231	1
FES	1810	1	8	12	4	20	0.0608475709791493	1
FFAR2	1880	1	8	13	5	17	0.0788469370086909	1
CHK2	1881	1	8	14	6	15	0.0729663339799023	1
P2RY6	1882	1	8	12	4	18	0.0608475709791493	1
PRRX1	1900	1	8	10	2	9	0.0304186722754779	1
CDON	2097	1	8	18	10	8	0.157784638179697	1
SRCAP	2143	1	8	14	6	14	0.0863955994167652	1
TBL1XR1	2179	1	8	11	3	20	0.0494094586654829	1
TEAD2	2185	1	8	14	6	11	0.0921720730978468	1
WWTR1	2186	1	8	14	6	15	0.0921720730978468	1
TEAD3	2187	1	8	14	6	11	0.0921720730978468	1
TEAD4	2188	1	8	14	6	11	0.0921720730978468	1
TEAD1	2189	1	8	14	6	11	0.0921720730978468	1
CDK6	2233	1	8	13	5	18	0.0554287367083388	1
APPL1	2321	1	8	11	3	20	0.0434535568428868	1
FGF13	2562	1	8	13	5	18	0.0825148363695833	1
ICAM1	2621	1	8	13	5	18	0.0825148363695833	1
MAPK6	2663	1	8	12	4	9	0.0562004855288825	1
P2RY13	2667	1	8	14	6	15	0.0970468822330725	1
GPR55	2668	1	8	12	4	16	0.0562004855288825	1
MRTFA	2693	1	8	10	2	9	0.0304186722754779	1
MRTFB	2694	1	8	10	2	9	0.0304186722754779	1
MYOCD	2703	1	8	10	2	9	0.0304186722754779	1
AHR	2714	1	8	13	5	17	0.0825148363695833	1
PIK3AP1	2763	1	8	12	4	20	0.0508090221960021	1
NEDD9	2799	1	8	13	5	17	0.0740405850898837	1
NTN3	2848	1	8	17	9	9	0.146132774258011	1
TNC	2937	1	8	13	5	18	0.0788469370086909	1
HRG	3051	1	8	17	9	10	0.126369637399219	1
RAN	3087	1	8	14	6	14	0.100707024187763	1
PPARGC1A	3110	1	8	13	5	16	0.0788469370086909	1
CD8A	3195	1	8	14	6	16	0.100707024187763	1
ICOS	3198	1	8	14	6	15	0.0799380259786142	1
STAMBP	3207	1	8	13	5	18	0.0825148363695833	1
SHB	3369	1	8	14	6	15	0.0799380259786142	1
HLA-DQA2	3386	1	8	11	3	19	0.0490560296949411	1
RASGRP1	3392	1	8	14	6	16	0.100707024187763	1
RASGRP4	3393	1	8	14	6	16	0.100707024187763	1
NISCH	3437	1	8	12	4	15	0.0508090221960021	1
HLA-DQB1	3479	1	8	11	3	19	0.0490560296949411	1
CMTM8	3499	1	8	13	5	18	0.0825148363695833	1
HLA-DPA1	3527	1	8	11	3	19	0.0490560296949411	1
KL	61	-1	8	15	7	14	0.104479649559308	1
HNRNPA0	96	-1	8	17	9	8	0.146132774258011	1
PARN	101	-1	8	17	9	8	0.146132774258011	1
