NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
ULK2	188	1	13	19	6	4	0.00834373568781456	1
BRIP1	985	1	13	17	4	8	0.00414896291618063	1
RAF1	282	-1	13	20	7	3	0.0102933554832861	1
SPRY4	2142	1	12	19	7	3	0.0165545761860572	1
PEBP1	168	-1	12	17	5	8	0.0073512776508841	1
RRAS	281	-1	12	19	7	3	0.0165545761860572	1
KLKB1	319	-1	12	18	6	3	0.0124753578128257	1
PRKD1	567	-1	12	16	4	10	0.00555172552323839	1
NRAS	1042	-1	12	19	7	3	0.0165545761860572	1
KSR1	1253	-1	12	19	7	3	0.0165545761860572	1
CNKSR2	1284	-1	12	19	7	3	0.0165545761860572	1
RAP2A	1760	-1	12	14	2	3	0.0013680838859991	1
CERK	1761	-1	12	19	7	3	0.0165545761860572	1
PPP2R5D	1825	-1	12	19	7	3	0.0165545761860572	1
BRCA1	490	1	11	16	5	10	0.016417254825267	1
RASA4	1686	1	11	14	3	0	0.00718505153585982	1
SYNGAP1	1725	1	11	14	3	0	0.00718505153585982	1
PTPN7	1937	1	11	18	7	6	0.0186983500203045	1
PTPRE	1942	1	11	18	7	6	0.0186983500203045	1
MAPK1	113	-1	11	18	7	6	0.0186983500203045	1
PAK1	175	-1	11	17	6	8	0.0160943530449648	1
IRF3	350	-1	11	17	6	3	0.0185016335412549	1
AXIN1	389	-1	11	18	7	6	0.0241909139290112	1
MTNR1A	522	-1	11	18	7	6	0.0186983500203045	1
BRAF	841	-1	11	19	8	3	0.0248949270553278	1
MAP4K1	1036	-1	11	18	7	6	0.0186983500203045	1
KREMEN1	1263	-1	11	17	6	2	0.0160943530449648	1
KREMEN2	1264	-1	11	17	6	2	0.0160943530449648	1
CNKSR1	1305	-1	11	16	5	8	0.0149351610244334	1
CAPRIN2	1346	-1	11	17	6	2	0.0160943530449648	1
RAP1B	1395	-1	11	18	7	3	0.0218625493590799	1
PRKAG1	1853	-1	11	18	7	4	0.0241909139290112	1
PTH1R	1918	-1	11	17	6	2	0.0160943530449648	1
CDON	2097	-1	11	16	5	10	0.016417254825267	1
CTGF	2257	-1	11	17	6	2	0.0160943530449648	1
MAP3K21	2500	-1	11	19	8	3	0.0248949270553278	1
CRKL	2532	-1	11	17	6	6	0.0160943530449648	1
CD3E	2677	-1	11	16	5	3	0.0132050344072634	1
PALB2	491	1	10	15	5	9	0.0248554747818342	1
ATRIP	672	1	10	15	5	9	0.0248554747818342	1
NF1	716	1	10	14	4	8	0.0175848047229919	1
TTK	734	1	10	15	5	11	0.0195703403214648	1
BABAM1	916	1	10	15	5	9	0.0248554747818342	1
BARD1	920	1	10	15	5	9	0.0248554747818342	1
UBE2D3	921	1	10	15	5	9	0.0248554747818342	1
PPM1E	963	1	10	16	6	8	0.0272436910097199	1
ABRAXAS1	966	1	10	15	5	9	0.0248554747818342	1
RASA1	1387	1	10	14	4	8	0.0175848047229919	1
RAD50	1969	1	10	15	5	9	0.0248554747818342	1
RNF146	2008	1	10	15	5	9	0.0225225566478811	1
TNKS2	2221	1	10	15	5	9	0.0225225566478811	1
TNKS	2222	1	10	15	5	9	0.0225225566478811	1
UIMC1	2331	1	10	15	5	9	0.0248554747818342	1
UBIAD1	2486	1	10	14	4	8	0.0175848047229919	1
NTRK1	47	-1	10	15	5	11	0.0236137767880827	1
CCL2	140	-1	10	17	7	5	0.0350933968262222	1
HRAS	184	-1	10	14	4	11	0.0175848047229919	1
MAP2K1	277	-1	10	19	9	3	0.0440960793730733	1
ZDHHC9	352	-1	10	14	4	8	0.0175848047229919	1
