NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
CAMK2A	1620	1	13	19	6	3	0.0307603809232686	1
MYRIP	1716	1	13	19	6	1	0.0307603809232686	1
CABP1	30	-1	13	19	6	1	0.0307603809232686	1
TGFB1I1	1194	1	12	16	4	6	0.0200062683737171	1
SUMO2	714	-1	12	14	2	7	0.00905756855180153	1
LATS1	833	1	11	15	4	2	0.0361403975431639	1
RLIM	1191	1	11	15	4	7	0.0274290384763419	1
AMOT	2044	1	11	15	4	2	0.0361403975431639	1
TJP2	2207	1	11	15	4	2	0.0361403975431639	1
SMAD7	1037	-1	11	15	4	8	0.0274290384763419	1
RANBP3	1309	-1	11	15	4	3	0.0274290384763419	1
CDK3	2098	-1	11	17	6	1	0.0321917082469971	1
MAPK11	637	1	10	14	4	10	0.0268180659297627	1
E2F4	154	-1	10	14	4	10	0.0183618727533865	1
KAT2A	620	-1	10	16	6	4	0.0550611866573132	1
GNRHR	811	-1	10	13	3	11	0.0380906964688063	1
TDGF1	1186	-1	10	14	4	6	0.0633477616030694	1
CHD8	670	1	9	13	4	5	0.035699296862548	1
SOX17	679	1	9	13	4	5	0.035699296862548	1
CTNNBIP1	775	1	9	13	4	5	0.035699296862548	1
GNRH1	815	1	9	15	6	5	0.0707884600450054	1
ANAPC1	1691	1	9	13	4	5	0.035699296862548	1
PTK7	1978	1	9	14	5	7	0.0447144874807782	1
FHIT	2115	1	9	13	4	5	0.035699296862548	1
SOX3	2135	1	9	13	4	5	0.035699296862548	1
SOX6	2136	1	9	13	4	5	0.035699296862548	1
CUL1	2335	1	9	13	4	5	0.035699296862548	1
PPARG	384	-1	9	13	4	1	0.0856515635938334	1
CARM1	419	-1	9	13	4	5	0.035699296862548	1
SOX4	678	-1	9	13	4	5	0.035699296862548	1
SIK1	1128	-1	9	14	5	7	0.0604592592326205	1
CBY1	1277	-1	9	13	4	5	0.035699296862548	1
UCHL5	1308	-1	9	16	7	4	0.0806344352105178	1
BCL9	1324	-1	9	13	4	5	0.035699296862548	1
PAK4	2042	-1	9	13	4	5	0.035699296862548	1
IGF2BP1	119	1	8	13	5	5	0.0783565673772185	1
CDK1	130	1	8	13	5	10	0.0783565673772185	1
EIF4G2	470	1	8	13	5	10	0.102233597979769	1
APC	691	1	8	13	5	4	0.0783565673772185	1
CKS1B	939	1	8	13	5	10	0.0783565673772185	1
AATK	1374	1	8	14	6	7	0.0901577546328049	1
NFKBIB	1422	1	8	11	3	8	0.0523579658966965	1
PTPN22	1935	1	8	14	6	7	0.115292043729783	1
LATS2	2310	1	8	14	6	3	0.115292043729783	1
RACK1	76	-1	8	12	4	12	0.0318752512186222	1
CTNNB1	284	-1	8	13	5	9	0.0579313439030184	1
WNT5A	295	-1	8	14	6	8	0.0901577546328049	1
IKBKB	303	-1	8	12	4	11	0.113852572091905	1
NFKB1	314	-1	8	13	5	9	0.0783565673772185	1
ADRM1	655	-1	8	13	5	2	0.102233597979769	1
SUMO1	665	-1	8	15	7	6	0.227102020669727	1
PKMYT1	825	-1	8	13	5	10	0.0783565673772185	1
RARA	1171	-1	8	14	6	8	0.176565686202203	1
NR2F2	1175	-1	8	12	4	2	0.0879170906888006	1
MAP3K11	1216	-1	8	12	4	10	0.0657430557547355	1
WWP1	1292	-1	8	10	2	15	0.054964751210799	1
GNA13	1646	-1	8	14	6	6	0.115292043729783	1
GPC4	2588	-1	8	13	5	3	0.0783565673772185	1
BTRC	481	1	7	13	6	8	0.113800168931606	1
CDK5RAP3	598	1	7	12	5	11	0.100589109464858	1
STK38	812	1	7	12	5	9	0.205633556461106	1
PTPN6	1011	1	7	11	4	13	0.148930581184445	1
ALK	1368	1	7	10	3	11	0.0306263296642297	1
CBLB	1429	1	7	12	5	11	0.165753175878139	1
IQGAP1	1623	1	7	11	4	7	0.115108504118143	1
HDAC5	1999	1	7	11	4	3	0.115108504118143	1
FGFR4	2050	1	7	10	3	11	0.0306263296642297	1
STK24	2166	1	7	12	5	7	0.205633556461106	1
TUBB	2244	1	7	13	6	2	0.180359489754917	1
JDP2	2634	1	7	12	5	1	0.165753175878139	1
CAV1	2	-1	7	14	7	5	0.277542160115693	1
ITCH	51	-1	7	11	4	12	0.115108504118143	1
FGF3	124	-1	7	11	4	13	0.188221168191986	1
RBL2	155	-1	7	11	4	10	0.0616832427290309	1
SMAD4	288	-1	7	14	7	6	0.193184468137176	1
SMAD3	289	-1	7	13	6	7	0.180359489754917	1
ESCO1	411	-1	7	11	4	6	0.0861331851108861	1
NR5A1	509	-1	7	10	3	2	0.167070557912867	1
RCOR1	569	-1	7	11	4	6	0.0861331851108861	1
PIAS4	588	-1	7	14	7	4	0.157621200699836	1
IRAK1	702	-1	7	13	6	9	0.180359489754917	1
TGFBR2	830	-1	7	15	8	4	0.204592850683724	1
TGFBR1	831	-1	7	14	7	6	0.193184468137176	1
MAP3K1	925	-1	7	13	6	9	0.180359489754917	1
CARD11	971	-1	7	13	6	4	0.113800168931606	1
TGFB3	1012	-1	7	14	7	6	0.193184468137176	1
WNT8A	1051	-1	7	11	4	6	0.115108504118143	1
BAMBI	1056	-1	7	14	7	6	0.193184468137176	1
ACVR1B	1074	-1	7	13	6	2	0.180359489754917	1
MAP3K20	1077	-1	7	12	5	9	0.100589109464858	1
SKIL	1084	-1	7	13	6	2	0.180359489754917	1
SKI	1085	-1	7	13	6	7	0.144990417011743	1
TGFB2	1106	-1	7	14	7	6	0.193184468137176	1
MTMR4	1124	-1	7	13	6	2	0.180359489754917	1
DACT2	1127	-1	7	14	7	6	0.193184468137176	1
NR4A2	1181	-1	7	11	4	3	0.115108504118143	1
USP4	1190	-1	7	14	7	6	0.193184468137176	1
MAP4K2	1206	-1	7	13	6	7	0.180359489754917	1
ACVR1C	1231	-1	7	13	6	2	0.180359489754917	1
CSNK1A1L	1259	-1	7	11	4	7	0.115108504118143	1
NUP214	1269	-1	7	13	6	2	0.180359489754917	1
NUP153	1270	-1	7	13	6	2	0.180359489754917	1
NR3C1	1281	-1	7	13	6	2	0.144990417011743	1
GDF1	1314	-1	7	14	7	6	0.193184468137176	1
INPPL1	1332	-1	7	14	7	5	0.12588997977745	1
THRA	1399	-1	7	12	5	5	0.205633556461106	1
NRIP1	1409	-1	7	12	5	8	0.165753175878139	1
GNRH2	1521	-1	7	10	3	2	0.167070557912867	1
GDF10	1522	-1	7	14	7	6	0.193184468137176	1
GDF3	1523	-1	7	14	7	6	0.193184468137176	1
GDF7	1524	-1	7	14	7	6	0.193184468137176	1
