NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
MTNR1A	522	1	19	23	4	9	0.00586754278869504	1
MAP3K2	1072	1	19	22	3	11	0.00386630121206879	1
AANAT	2867	1	19	23	4	9	0.00586754278869504	1
SRC	25	1	18	20	2	14	0.012749445676275	1
MAPK1	113	1	18	22	4	10	0.00440733822602254	1
MAP3K14	308	1	18	21	3	12	0.00866216495228052	1
ASF1A	321	1	18	22	4	9	0.0195511440320019	1
EP300	492	1	18	22	4	10	0.0195511440320019	1
TNFSF13B	548	1	18	21	3	11	0.00866216495228052	1
SENP3	789	1	18	22	4	9	0.0195511440320019	1
PTN	1367	1	18	20	2	14	0.012749445676275	1
PTPN21	1934	1	18	20	2	14	0.012749445676275	1
ROR1	2016	1	18	20	2	14	0.012749445676275	1
ZFP91	2624	1	18	21	3	11	0.00866216495228052	1
NEDD4L	1189	-1	18	24	6	6	0.0316741760899091	1
PPP2R2C	1821	-1	18	20	2	14	0.012749445676275	1
PTPN7	1937	-1	18	22	4	10	0.00440733822602254	1
FRS3	3206	-1	18	22	4	10	0.00440733822602254	1
ZFPM2	3482	-1	18	22	4	9	0.0195511440320019	1
NTRK1	47	1	17	21	4	11	0.0098621745057598	1
SKIL	1084	1	17	22	5	8	0.0212685524668853	1
EEF1A1	1386	1	17	19	2	9	0.000424315684689747	1
GRIN2A	1759	1	17	19	2	9	0.000424315684689747	1
AFDN	2320	1	17	20	3	13	0.0288751164874399	1
TLK2	2461	1	17	21	4	6	0.0256520303148711	1
ITGB6	2808	1	17	20	3	13	0.0429691565763453	1
ITGB8	2814	1	17	20	3	13	0.0429691565763453	1
ITGB5	2822	1	17	20	3	13	0.0429691565763453	1
LAT2	3371	1	17	19	2	9	0.000424315684689747	1
TUB	114	1	16	20	4	12	0.0209899085059547	1
BTF3	747	1	16	19	3	14	0.0390596549133135	1
ERBB4	814	1	16	19	3	14	0.0249802932729761	1
ARAF	840	1	16	20	4	12	0.0209899085059547	1
SHH	910	1	16	21	5	10	0.0901080718437061	1
VAV1	1006	1	16	18	2	16	0.00558113219519245	1
MAP4K1	1036	1	16	19	3	14	0.0153032531081311	1
MAPK8IP3	1058	1	16	22	6	8	0.0723811896398857	1
DTX1	1066	1	16	21	5	9	0.0901080718437061	1
GAS1	1075	1	16	21	5	8	0.0901080718437061	1
DISP1	1091	1	16	21	5	8	0.0901080718437061	1
CDO1	1113	1	16	21	5	8	0.0901080718437061	1
PEA15	1202	1	16	20	4	12	0.0126341106764726	1
SHC1	1212	1	16	20	4	12	0.0071626063521609	1
EXTL1	1258	1	16	21	5	8	0.0901080718437061	1
DISP2	1300	1	16	21	5	8	0.0901080718437061	1
DISP3	1301	1	16	21	5	8	0.0901080718437061	1
HHAT	1333	1	16	21	5	8	0.0901080718437061	1
KDR	1353	1	16	18	2	16	0.0100158575768332	1
EPHB2	1365	1	16	19	3	14	0.0390596549133135	1
CYTH2	1681	1	16	20	4	11	0.0126341106764726	1
DLG4	1747	1	16	20	4	11	0.0508303149509826	1
PTP4A3	1921	1	16	20	4	12	0.0126341106764726	1
USP6	2067	1	16	20	4	11	0.0126341106764726	1
TNIK	2219	1	16	20	4	12	0.0332671266560869	1
DNM2	2275	1	16	18	2	16	0.00558113219519245	1
PLCG1	2773	1	16	19	3	14	0.00105278943267005	1
ASAP2	2789	1	16	20	4	11	0.0126341106764726	1
NTN3	2848	1	16	21	5	10	0.0619310433174362	1
PLAT	2924	1	16	20	4	12	0.0126341106764726	1
SEMA6D	2930	1	16	18	2	12	0.0100158575768332	1
F11R	3041	1	16	20	4	12	0.0126341106764726	1
PLD2	3042	1	16	20	4	12	0.0126341106764726	1
ARF6	3043	1	16	20	4	12	0.0126341106764726	1
CD19	3088	1	16	18	2	16	0.00558113219519245	1
DBNL	3196	1	16	19	3	13	0.0153032531081311	1
RASGRP2	3197	1	16	19	3	14	0.0153032531081311	1
ASAP3	3501	1	16	20	4	11	0.0126341106764726	1
HIF1AN	713	-1	16	21	5	9	0.0901080718437061	1
PSTPIP1	1906	-1	16	18	2	10	0.00558113219519245	1
C11orf74	2350	-1	16	17	1	6	0.00918437198924997	1
PLD1	2806	-1	16	18	2	10	0.00558113219519245	1
SNCB	3536	-1	16	19	3	14	0.00888185644283203	1
TIAM1	183	1	15	20	5	11	0.0209245376679066	1
MAP3K8	302	1	15	18	3	15	0.0115189107298146	1
AXIN1	389	1	15	20	5	11	0.0122773256182363	1
SPI1	853	1	15	18	3	15	0.0200259529527822	1
RAC1	936	1	15	20	5	11	0.0209245376679066	1
IL2	1004	1	15	20	5	11	0.0209245376679066	1
ACVR1B	1074	1	15	21	6	8	0.0892032584968254	1
MTMR4	1124	1	15	21	6	8	0.0892032584968254	1
EPHA3	1152	1	15	18	3	15	0.0519675611139029	1
LAMTOR3	1226	1	15	19	4	13	0.0268311121969658	1
ACVR1C	1231	1	15	21	6	8	0.0892032584968254	1
EIF4E	1268	1	15	21	6	8	0.0892032584968254	1
MTSS1	1298	1	15	20	5	11	0.0209245376679066	1
EFNB1	1361	1	15	17	2	17	0.0230845291820901	1
DOK4	1397	1	15	18	3	15	0.0519675611139029	1
GNAI2	1427	1	15	18	3	15	0.0794584453121041	1
CXCL8	1488	1	15	19	4	10	0.0426800457288262	1
IQGAP1	1623	1	15	19	4	13	0.0268311121969658	1
RAP1A	1634	1	15	19	4	13	0.0160702020458118	1
RAPGEF1	1663	1	15	18	3	15	0.0115189107298146	1
PRKG2	1683	1	15	18	3	14	0.0329557555167311	1
PTPRA	1730	1	15	18	3	15	0.0519675611139029	1
ECSIT	1780	1	15	20	5	11	0.0521177155059206	1
CDON	2097	1	15	21	6	9	0.126854258388042	1
CDH15	2296	1	15	21	6	9	0.126854258388042	1
WNK1	2341	1	15	18	3	14	0.0200259529527822	1
DOCK3	2423	1	15	20	5	11	0.0209245376679066	1
DOCK10	2424	1	15	20	5	11	0.0209245376679066	1
FGD5	2429	1	15	20	5	11	0.0209245376679066	1
PREX1	2439	1	15	20	5	11	0.0209245376679066	1
TIAM2	2442	1	15	20	5	11	0.0209245376679066	1
WNK3	2462	1	15	18	3	8	0.0200259529527822	1
WNK2	2463	1	15	18	3	8	0.0200259529527822	1
ITGB4	2631	1	15	19	4	13	0.0974537986733112	1
ELMO1	2802	1	15	20	5	11	0.0209245376679066	1
DOCK1	2807	1	15	20	5	11	0.0209245376679066	1
CD48	2884	1	15	16	1	5	0.00761934128146464	1
KALRN	3100	1	15	20	5	11	0.0209245376679066	1
S100B	3266	1	15	19	4	12	0.0268311121969658	1
CXCR5	3275	1	15	18	3	14	0.0794584453121041	1
ANXA2	3359	1	15	19	4	12	0.0160702020458118	1
DOCK2	3426	1	15	20	5	11	0.0209245376679066	1
ACTA1	3467	1	15	20	5	11	0.0209245376679066	1
HTRA2	454	-1	15	18	3	14	0.0200259529527822	1
PPM1F	964	-1	15	17	2	17	0.000659480491502878	1
RAP1GAP	1394	-1	15	19	4	13	0.0160702020458118	1
SIPA1	1695	-1	15	19	4	13	0.0160702020458118	1
PTPRE	1942	-1	15	19	4	13	0.0160702020458118	1
SIK3	2113	-1	15	17	2	7	0.0230845291820901	1
SRGAP3	2150	-1	15	20	5	11	0.0209245376679066	1
TUBB	2244	-1	15	21	6	8	0.0892032584968254	1
ARHGAP4	2367	-1	15	20	5	11	0.0209245376679066	1
ARHGAP9	2371	-1	15	20	5	11	0.0209245376679066	1
ARHGAP12	2375	-1	15	20	5	11	0.0209245376679066	1
ARHGAP15	2376	-1	15	20	5	11	0.0209245376679066	1
ARHGAP27	2383	-1	15	20	5	11	0.0209245376679066	1
ARHGAP33	2388	-1	15	20	5	11	0.0209245376679066	1
ARHGAP44	2392	-1	15	20	5	11	0.0209245376679066	1
CHN1	2393	-1	15	20	5	11	0.0209245376679066	1
CHN2	2394	-1	15	20	5	11	0.0209245376679066	1
FAM13A	2395	-1	15	20	5	11	0.0209245376679066	1
SH3BP1	2400	-1	15	20	5	11	0.0209245376679066	1
SYDE2	2405	-1	15	20	5	11	0.0209245376679066	1
ABR	2407	-1	15	20	5	11	0.0209245376679066	1
FHL5	2565	-1	15	17	2	7	0.0230845291820901	1
ARHGAP24	2790	-1	15	20	5	11	0.0209245376679066	1
NCF2	3097	-1	15	20	5	11	0.0209245376679066	1
STRAP	3155	-1	15	21	6	8	0.0892032584968254	1
KRIT1	3380	-1	15	19	4	13	0.0160702020458118	1
HACD3	3427	-1	15	20	5	11	0.0209245376679066	1
CASR	16	1	14	17	3	16	0.0680959613886443	1
FYN	33	1	14	17	3	16	0.0680959613886443	1
PTPN13	75	1	14	17	3	16	0.104683055902568	1
SMAD3	289	1	14	20	6	10	0.108896890970439	1
CCL3L1	320	1	14	18	4	14	0.0542079048176609	1
TNFSF10	322	1	14	20	6	10	0.0193609074812807	1
KAT2B	358	1	14	17	3	16	0.0680959613886443	1
MAP2K2	430	1	14	18	4	14	0.0340194577999455	1
CXCL9	435	1	14	18	4	13	0.0542079048176609	1
CCL5	437	1	14	18	4	14	0.0542079048176609	1
CCL8	438	1	14	18	4	14	0.0542079048176609	1
CCL4	439	1	14	18	4	14	0.0542079048176609	1
EGF	464	1	14	17	3	16	0.0259637314874044	1
LTBR	551	1	14	17	3	16	0.04296585089268	1
CREB1	604	1	14	18	4	14	0.0542079048176609	1
CRTC2	605	1	14	18	4	13	0.0542079048176609	1
CFL1	694	1	14	19	5	9	0.0260385378888822	1
TLR2	703	1	14	18	4	14	0.0340194577999455	1
CXCL10	757	1	14	18	4	13	0.0542079048176609	1
MAP3K1	925	1	14	19	5	12	0.0648766197546685	1
CXCL11	976	1	14	18	4	13	0.0542079048176609	1
BRCA2	992	1	14	20	6	9	0.108896890970439	1
IFNA1	1033	1	14	19	5	12	0.0260385378888822	1
IL6R	1067	1	14	16	2	18	0.0513158561939047	1
LRP5	1071	1	14	19	5	11	0.0152288297710189	1
PDGFRA	1131	1	14	17	3	16	0.0680959613886443	1
EPHA4	1153	1	14	17	3	16	0.104683055902568	1
MAP4K2	1206	1	14	19	5	12	0.0648766197546685	1
KSR1	1253	1	14	19	5	12	0.0420404414306852	1
ALK	1368	1	14	17	3	16	0.0259637314874044	1
PTPRZ1	1369	1	14	17	3	12	0.0259637314874044	1
DDR1	1372	1	14	15	1	20	0.0106122040007502	1
DDR2	1373	1	14	15	1	20	0.0106122040007502	1
MERTK	1377	1	14	15	1	20	0.0106122040007502	1
PARD3	1415	1	14	18	4	13	0.0203056872901319	1
CCL13	1460	1	14	18	4	14	0.0542079048176609	1
CCL14	1461	1	14	18	4	14	0.0542079048176609	1
CCL15	1462	1	14	18	4	13	0.0542079048176609	1
CCL3	1464	1	14	18	4	14	0.0542079048176609	1
CCL28	1467	1	14	18	4	13	0.0542079048176609	1
CCL11	1469	1	14	18	4	14	0.0542079048176609	1
CCL24	1470	1	14	18	4	13	0.0542079048176609	1
CCL26	1471	1	14	18	4	14	0.0542079048176609	1
ARF1	1593	1	14	18	4	13	0.0203056872901319	1
RBP1	1649	1	14	18	4	14	0.0113632440534297	1
RAPGEF2	1670	1	14	18	4	14	0.0203056872901319	1
RAPGEF3	1687	1	14	18	4	14	0.0203056872901319	1
FGA	1755	1	14	18	4	14	0.0340194577999455	1
