ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-5663202	Diseases of signal transduction	39/90	258/3250	1.02819164590912e-20	6.62155419965472e-18	2.70576748923452e-18	207/208/10000/1385/1499/1956/2099/2931/5594/2475/5515/6714/6772/7409/2534/3932/1024/2033/2308/8841/9794/9612/4851/6774/55294/4609/4088/1387/1487/2309/369/2885/3265/3845/5781/1026/2932/4193/79718	39
R-HSA-1266738	Developmental Biology	44/90	448/3250	4.75888622943113e-16	1.53236136587682e-13	6.26169240714622e-14	25/207/208/10000/1020/1051/1385/1499/1869/1956/2048/3725/5594/6714/27/2534/1432/1024/2033/2308/8841/9794/9612/4851/5970/6774/4609/4088/1387/2309/4790/2885/3265/3845/5781/1026/2932/79718/2624/1050/2313/3172/4602/4208	44
R-HSA-1643685	Disease	44/90	457/3250	1.03283202244287e-15	2.21714607484403e-13	9.0599300214287e-14	207/208/10000/1020/1385/1499/1956/2099/2931/3725/5594/2475/5515/6714/6772/7409/2534/3932/1024/2033/2308/8841/9794/9612/4851/5970/6774/55294/4609/4088/1387/1487/2309/4790/369/2885/3265/3845/5781/1026/2932/4193/79718/6872	44
R-HSA-9006931	Signaling by Nuclear Receptors	24/90	145/3250	2.15424869282319e-13	3.46834039544533e-11	1.41726887685736e-11	207/208/10000/1385/1655/1956/2099/2625/3725/5594/6714/2033/8841/9612/10524/4609/1387/2309/5241/6667/3265/3845/79718/4602	24
R-HSA-8939211	ESR-mediated signaling	21/90	117/3250	1.74420985244725e-12	2.10133887865385e-10	8.58670676141653e-11	207/208/10000/1385/1655/1956/2099/2625/3725/5594/6714/2033/10524/4609/1387/2309/5241/6667/3265/3845/4602	21
R-HSA-2219528	PI3K/AKT Signaling in Cancer	19/90	93/3250	2.06045979682746e-12	2.10133887865385e-10	8.58670676141653e-11	207/208/10000/1385/1956/2099/2931/2475/6714/7409/2534/3932/2308/2309/2885/5781/1026/2932/4193	19
R-HSA-1257604	PIP3 activates AKT signaling	25/90	176/3250	2.2840639985368e-12	2.10133887865385e-10	8.58670676141653e-11	207/208/10000/1385/1956/2099/2931/3725/5594/2475/5515/6714/7409/2534/3932/2308/8841/7157/2309/2885/5781/1026/2932/4193/1958	25
R-HSA-8878166	Transcriptional regulation by RUNX2	16/90	62/3250	3.00590108200936e-12	2.41975037101754e-10	9.88783250660975e-11	25/207/208/10000/2099/5594/6714/6772/367/8841/55294/5925/983/1026/2932/4094	16
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	11/90	23/3250	4.07398709836592e-12	2.91516410149739e-10	1.19122429776781e-10	207/208/10000/1385/2931/2475/2308/2309/1026/2932/4193	11
R-HSA-157118	Signaling by NOTCH	19/90	102/3250	1.18322503940043e-11	7.61996925373877e-10	3.11375010368534e-10	207/1385/1869/1956/3725/6772/1024/2033/8841/9794/9612/4851/55294/4609/4088/7157/1387/79718/3091	19
