ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-1912408	Pre-NOTCH Transcription and Translation	6/27	25/3951	9.13032083752846e-09	2.68431432623337e-06	1.72034466307115e-06	1387/1869/4851/7157/3725/7027	6
R-HSA-8878159	Transcriptional regulation by RUNX3	7/27	56/3951	5.5791443797679e-08	6.520161089911e-06	4.1786925710493e-06	1387/1499/4851/4088/4089/7157/51176	7
R-HSA-1912422	Pre-NOTCH Expression and Processing	6/27	34/3951	6.65322560195e-08	6.520161089911e-06	4.1786925710493e-06	1387/1869/4851/7157/3725/7027	6
R-HSA-9616222	Transcriptional regulation of granulopoiesis	5/27	29/3951	1.07114311297956e-06	7.87290188039975e-05	5.04564782166686e-05	1869/6774/2624/51176/7027	5
R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	4/27	15/3951	2.24454592830999e-06	0.000131979300584627	8.45839412984184e-05	1869/4149/1874/7027	4
R-HSA-157118	Signaling by NOTCH	7/27	118/3951	9.59468010386525e-06	0.000470139325089397	0.000301306620805593	1387/1869/4851/4088/7157/3725/7027	7
R-HSA-2559580	Oxidative Stress Induced Senescence	5/27	46/3951	1.14204777275595e-05	0.000479660064557498	0.000307408347854608	1869/7157/3725/2353/7027	5
R-HSA-1538133	G0 and Early G1	4/27	23/3951	1.40264153588973e-05	0.000515470764439476	0.000330358993321397	1869/4149/1874/7027	4
R-HSA-2262752	Cellular responses to stress	9/27	241/3951	1.79018739247185e-05	0.000530571179256467	0.000340036666977829	1387/1869/2932/23411/6774/7157/3725/2353/7027	9
R-HSA-8953897	Cellular responses to external stimuli	9/27	244/3951	1.97908799191373e-05	0.000530571179256467	0.000340036666977829	1387/1869/2932/23411/6774/7157/3725/2353/7027	9
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	4/27	25/3951	1.9851302625242e-05	0.000530571179256467	0.000340036666977829	8313/1387/1499/51176	4
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	4/27	27/3951	2.72844927496585e-05	0.000668470072366633	0.000428414403700778	4088/4089/1874/7027	4
R-HSA-9614085	FOXO-mediated transcription	5/27	59/3951	3.92517326866647e-05	0.000882263174249469	0.000565431823095793	1387/23411/4088/4089/4801	5
R-HSA-186712	Regulation of beta-cell development	4/27	30/3951	4.20125321071176e-05	0.000882263174249469	0.000565431823095793	1387/4851/5080/2494	4
R-HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	3/27	12/3951	6.01249409579449e-05	0.00111277446943002	0.000713163730855619	1869/1874/7027	3
R-HSA-2559583	Cellular Senescence	6/27	106/3951	6.05591547989129e-05	0.00111277446943002	0.000713163730855619	1869/6774/7157/3725/2353/7027	6
R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	4/27	36/3951	8.78054318727011e-05	0.0015185174688573	0.000973199523542631	1869/7157/1874/7027	4
R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	4/27	39/3951	0.000120898338092357	0.0019746728555085	0.00126554400693169	4088/4089/1874/7027	4
R-HSA-69202	Cyclin E associated events during G1/S transition 	4/27	43/3951	0.000178036587797144	0.00267021865405561	0.0017113109168491	1869/4149/1874/7027	4
R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	3/27	17/3951	0.000181647527486776	0.00267021865405561	0.0017113109168491	7157/1874/7027	3
R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	4/27	45/3951	0.000212946469498007	0.00298125057297209	0.00191064752080918	1869/4149/1874/7027	4
R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription	3/27	19/3951	0.00025649642557761	0.0034277249599917	0.00219678756834413	1387/4851/4088	3
R-HSA-109606	Intrinsic Pathway for Apoptosis	4/27	50/3951	0.000321545330111952	0.0040469908927308	0.00259366763264881	1869/6774/7157/7027	4
R-HSA-69242	S Phase	5/27	92/3951	0.000330366603488228	0.0040469908927308	0.00259366763264881	1869/2932/4149/1874/7027	5
R-HSA-69205	G1/S-Specific Transcription	3/27	23/3951	0.000460312412405351	0.00541327396988692	0.00346930197139191	1869/1874/7027	3
R-HSA-2559585	Oncogene Induced Senescence	3/27	24/3951	0.000523678012218753	0.00592158983047359	0.00379507547316424	1869/7157/7027	3
R-HSA-8953750	Transcriptional Regulation by E2F6	3/27	26/3951	0.000666603013694254	0.0072585661491152	0.00465192746398719	1869/4149/7027	3
R-HSA-9018519	Estrogen-dependent gene expression	4/27	65/3951	0.000881274569656805	0.00915080948798311	0.0058646433882885	1387/3725/2494/2353	4
R-HSA-3700989	Transcriptional Regulation by TP53	7/27	242/3951	0.000913257870236352	0.00915080948798311	0.0058646433882885	1387/1869/7157/3725/1874/2353/7027	7
R-HSA-170834	Signaling by TGF-beta Receptor Complex	4/27	66/3951	0.000933756070202358	0.00915080948798311	0.0058646433882885	4088/4089/1874/7027	4
R-HSA-114452	Activation of BH3-only proteins	3/27	30/3951	0.00102212237906784	0.00969367675632084	0.00621256047039538	1869/7157/7027	3
R-HSA-201681	TCF dependent signaling in response to WNT	5/27	119/3951	0.00108096448401388	0.00993136119687753	0.00636488956047647	8313/1387/1499/2932/51176	5
R-HSA-109581	Apoptosis	5/27	123/3951	0.00125505199963654	0.0111813723603982	0.00716600663269346	1499/1869/6774/7157/7027	5
R-HSA-5357801	Programmed Cell Death	5/27	126/3951	0.00139872052822573	0.012094818685246	0.00775142336075558	1499/1869/6774/7157/7027	5
R-HSA-195721	Signaling by WNT	6/27	192/3951	0.00153022524998463	0.0128538920998709	0.00823790435330072	8313/1387/1499/2932/51701/51176	6
R-HSA-69206	G1/S Transition	4/27	79/3951	0.00183185957309656	0.0149601865136219	0.00958780302878024	1869/4149/1874/7027	4
R-HSA-450341	Activation of the AP-1 family of transcription factors	2/27	10/3951	0.00195690008232423	0.0150514349324788	0.00964628303943325	3725/2353	2
R-HSA-9617629	Regulation of FOXO transcriptional activity by acetylation	2/27	10/3951	0.00195690008232423	0.0150514349324788	0.00964628303943325	1387/23411	2
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	3/27	38/3951	0.00204781427652773	0.0150514349324788	0.00964628303943325	1387/5080/3725	3
R-HSA-5619507	Activation of HOX genes during differentiation	3/27	38/3951	0.00204781427652773	0.0150514349324788	0.00964628303943325	1387/5080/3725	3
R-HSA-195253	Degradation of beta-catenin by the destruction complex	3/27	40/3951	0.00237660835329413	0.0163033616332171	0.0104486277563403	1499/2932/51176	3
R-HSA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	2/27	11/3951	0.00238170008556329	0.0163033616332171	0.0104486277563403	1869/7027	2
R-HSA-5663202	Diseases of signal transduction	7/27	285/3951	0.00238450527288549	0.0163033616332171	0.0104486277563403	1387/1499/2932/4851/4088/4089/6774	7
R-HSA-8943724	Regulation of PTEN gene transcription	3/27	41/3951	0.00255259306272803	0.016734568873168	0.0107249832735305	7157/3725/1958	3
R-HSA-69231	Cyclin D associated events in G1	3/27	42/3951	0.0027364670204647	0.016734568873168	0.0107249832735305	1869/1874/7027	3
R-HSA-69236	G1 Phase	3/27	42/3951	0.0027364670204647	0.016734568873168	0.0107249832735305	1869/1874/7027	3
R-HSA-9006936	Signaling by TGF-beta family members	4/27	89/3951	0.00284092058422047	0.016734568873168	0.0107249832735305	4088/4089/1874/7027	4
R-HSA-1502540	Signaling by Activin	2/27	12/3951	0.00284601511448435	0.016734568873168	0.0107249832735305	4088/4089	2
R-HSA-381771	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	2/27	12/3951	0.00284601511448435	0.016734568873168	0.0107249832735305	1499/5080	2
R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	2/27	12/3951	0.00284601511448435	0.016734568873168	0.0107249832735305	1869/7157	2
R-HSA-5689880	Ub-specific processing proteases	4/27	91/3951	0.00308081838100529	0.0173331599374967	0.0111086130641314	8313/4088/4089/7157	4
