ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	8/37	30/3250	6.19203826549494e-10	2.11767708679927e-07	1.63600168909393e-07	5594/9261/6195/6196/6197/9252/1386/2002	8
R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	7/37	24/3250	4.10993626186076e-09	7.02799100778189e-07	5.42944211435289e-07	5594/9261/6195/6196/6197/9252/2002	7
R-HSA-198753	ERK/MAPK targets	6/37	21/3250	6.84411445744741e-08	7.80229048149005e-06	6.02762360989229e-06	5594/6195/6196/6197/9252/2002	6
R-HSA-450294	MAP kinase activation	8/37	59/3250	1.85841055842776e-07	1.58894102745574e-05	1.22752907938255e-05	5594/9261/6195/6196/6197/9252/1386/2002	8
R-HSA-448424	Interleukin-17 signaling	8/37	67/3250	5.12494700340124e-07	3.50546375032645e-05	2.70812989021834e-05	5594/9261/6195/6196/6197/9252/1386/2002	8
R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK	5/37	17/3250	8.11008562605018e-07	4.6227488068486e-05	3.57128331954139e-05	1956/5594/6195/6196/6197	5
R-HSA-187037	Signaling by NTRK1 (TRKA)	8/37	74/3250	1.11920630165052e-06	4.86302786015704e-05	3.75690979655099e-05	5594/9261/6195/6196/6197/9252/6774/2002	8
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	8/37	77/3250	1.52518051589627e-06	4.86302786015704e-05	3.75690979655099e-05	5594/9261/6195/6196/6197/9252/1386/2002	8
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	8/37	77/3250	1.52518051589627e-06	4.86302786015704e-05	3.75690979655099e-05	5594/9261/6195/6196/6197/9252/1386/2002	8
R-HSA-975871	MyD88 cascade initiated on plasma membrane	8/37	77/3250	1.52518051589627e-06	4.86302786015704e-05	3.75690979655099e-05	5594/9261/6195/6196/6197/9252/1386/2002	8
R-HSA-449147	Signaling by Interleukins	15/37	342/3250	1.70927234179574e-06	4.86302786015704e-05	3.75690979655099e-05	5594/9261/6095/6195/6196/6197/9252/4088/6774/1386/2002/7291/604/5451/3726	15
