ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-2559585	Oncogene Induced Senescence	5/31	24/3951	8.12719484522278e-07	0.00013142948655478	8.4032888089606e-05	5594/7157/5595/1869/2113	5
R-HSA-8878166	Transcriptional regulation by RUNX2	7/31	71/3951	8.36474537248485e-07	0.00013142948655478	8.4032888089606e-05	2932/5594/4089/2099/5595/4094/7291	7
R-HSA-2559583	Cellular Senescence	8/31	106/3951	9.7355175225763e-07	0.00013142948655478	8.4032888089606e-05	5594/6774/7157/5595/5599/1051/1869/2113	8
R-HSA-109606	Intrinsic Pathway for Apoptosis	6/31	50/3951	1.74827513763551e-06	0.000177012857685595	0.000113177811541667	5594/6774/7157/5595/5599/1869	6
R-HSA-2262752	Cellular responses to stress	10/31	241/3951	8.40896526107577e-06	0.000583423922840682	0.000373027381465388	1387/2932/5594/6774/7157/5595/5599/1051/1869/2113	10
R-HSA-8953897	Cellular responses to external stimuli	10/31	244/3951	9.39466524998053e-06	0.000583423922840682	0.000373027381465388	1387/2932/5594/6774/7157/5595/5599/1051/1869/2113	10
R-HSA-449147	Signaling by Interleukins	12/31	369/3951	1.00838702713204e-05	0.000583423922840682	0.000373027381465388	3146/5594/5566/4088/6774/7157/5595/5599/2002/7291/604/3726	12
R-HSA-2559580	Oxidative Stress Induced Senescence	5/31	46/3951	2.32155015727436e-05	0.00117528476712015	0.000751449129854597	5594/7157/5595/5599/1869	5
R-HSA-109581	Apoptosis	7/31	123/3951	3.37296092393776e-05	0.00151783241577199	0.000970465950045249	3146/5594/6774/7157/5595/5599/1869	7
R-HSA-5357801	Programmed Cell Death	7/31	126/3951	3.94487068220277e-05	0.00159767262629212	0.00102151388191777	3146/5594/6774/7157/5595/5599/1869	7
R-HSA-8941326	RUNX2 regulates bone development	4/31	27/3951	4.80116742461275e-05	0.00170741301694712	0.00109167927789212	5594/4089/5595/4094	4
R-HSA-450341	Activation of the AP-1 family of transcription factors	3/31	10/3951	5.05900153169518e-05	0.00170741301694712	0.00109167927789212	5594/5595/5599	3
R-HSA-8878159	Transcriptional regulation by RUNX3	5/31	56/3951	6.12196619433868e-05	0.00185915164326405	0.00118869734696025	1387/4088/4089/7157/6932	5
R-HSA-9616222	Transcriptional regulation of granulopoiesis	4/31	29/3951	6.42669703844362e-05	0.00185915164326405	0.00118869734696025	6774/1051/1869/5914	4
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	4/31	30/3951	7.37486264203e-05	0.0019912129133481	0.0012731341824136	5594/5595/5599/2002	4
R-HSA-9614085	FOXO-mediated transcription	5/31	59/3951	7.8918647499639e-05	0.00199762826483461	0.00127723600558626	1387/4088/4089/6794/604	5
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	4/31	38/3951	0.000190115263303659	0.00427759342433232	0.00273499150717544	1387/4211/5914/10664	4
R-HSA-5619507	Activation of HOX genes during differentiation	4/31	38/3951	0.000190115263303659	0.00427759342433232	0.00273499150717544	1387/4211/5914/10664	4
R-HSA-9006931	Signaling by Nuclear Receptors	7/31	164/3951	0.000211306572667396	0.00450416641738396	0.00287985689064706	1387/5594/2099/5595/8204/2002/5914	7
