V1	24h_10uM
AARS	-5.00798892975
ABCF1	2.40237140656
ABL1	0.728515744209
ACAA1	-0.211073130369
ACAT2	0.0833595991135
ACLY	-0.281574457884
ADAM10	-2.21571779251
ADH5	-0.186977908015
PARP1	-2.64337229729
ADRB2	0.783196389675
AGL	-0.306314647198
AKT1	-5.66920185089
ALAS1	0.139725357294
ALDOA	-2.12033128738
ALDOC	-3.60029482841
SLC25A4	3.03556442261
ANXA7	2.02378106117
APBB2	0.109093748033
BIRC2	-1.30558133125
BIRC5	-1.2065871954
APOE	2.17833685875
APP	-2.77014279366
FAS	0.89986538887
RHOA	-0.425614118576
ARHGAP1	1.43148243427
ASAH1	-1.04992485046
ATF1	1.11347270012
ATP1B1	2.41956877708
ALDH7A1	-0.512910485268
ATP6V0B	5.0107421875
BAD	-0.597552001476
BAX	0.510610580444
CCND1	-2.7357904911
BCL2	0.326794624329
BDH1	-2.18949651718
BID	-3.33281755447
BLMH	0.400383502245
BLVRA	0.930814385414
BMP4	-0.877737045288
BNIP3	0.899065613747
BNIP3L	0.00984898209572
BPHL	0.19100792706
BRCA1	-3.57340049744
BTK	-0.71315741539
BUB1B	0.348854780197
C5	0.392835706472
DDR1	-0.326602756977
CALM3	0.933473944664
CALU	-2.74752092361
CAPN1	-0.522779941559
CAST	-0.814903378487
CASP2	-0.882987499237
CASP3	-0.57117331028
CASP7	-1.84322977066
CASP10	-5.12620067596
CAT	5.01820755005
CBLB	0.0892920792103
CBR1	0.544974207878
CBR3	0.848675608635
CCNA2	-0.596209704876
CCNB1	1.81188154221
CCND3	0.864538371563
CCNF	-1.83106434345
CCNH	-0.387901425362
SCARB1	1.5700558424
CD40	0.570402503014
CD44	1.33484280109
CD58	0.162858679891
ADGRE5	1.39423370361
CDK1	-0.666746199131
CDC20	-1.44206559658
CDC25A	-1.83059692383
CDC25B	2.34184932709
CDC42	-1.03162169456
CDH3	0.217001020908
CDK2	0.501802742481
CDK4	-1.71510207653
CDK6	2.36728143692
CDK7	1.12402272224
CDKN1A	-0.472749352455
CDKN1B	1.55258369446
CDKN2A	0.07131370157
CEBPA	1.09392738342
CEBPD	-1.25878918171
CENPE	-1.3223003149
CETN3	-0.415972948074
CHEK1	-4.26655244827
CHN1	-1.06812179089
CIRBP	-0.337511181831
CLTB	0.837591588497
CLTC	-1.306442976
COL1A1	0.66029715538
COL4A1	2.27132534981
CREB1	1.54169154167
CRK	2.78244662285
CRKL	-0.379463225603
CRYZ	-2.36103153229
CSK	-5.18474912643
CSNK1A1	1.16635477543
CSNK1E	-0.114750429988
CSNK2A2	2.47197961807
CSRP1	-4.70456695557
CTNND1	-1.07927668095
CTSD	-2.48716926575
CTSL	2.24810743332
CYB561	-1.50474858284
DAG1	0.573526263237
DAXX	-2.25447511673
DCK	-2.43622660637
DCTD	1.47299265862
DDB2	0.375442504883
GADD45A	-1.19534695148
DDX10	-0.981098771095
DECR1	0.249729394913
DFFA	-2.30568051338
DFFB	-2.28779888153
DLD	0.805372357368
