V1	6h_10uM_1
AARS	-0.361913412809
ABCF1	-0.883590042591
ABL1	0.871811032295
ACAA1	0.449290782213
ACAT2	0.236847430468
ACLY	1.03435647488
ADAM10	0.660837233067
ADH5	2.2803542614
PARP1	1.41615819931
ADRB2	0.527957677841
AGL	-0.638943552971
AKT1	0.0402951389551
ALAS1	-0.00981663167477
ALDOA	0.760450422764
ALDOC	-0.806960582733
SLC25A4	0.400419414043
ANXA7	1.11887300014
APBB2	-1.44676172733
BIRC2	0.202340528369
BIRC5	0.401624947786
APOE	0.76092427969
APP	-0.448855489492
FAS	0.958881735802
RHOA	0.128946021199
ARHGAP1	-0.227514654398
ASAH1	-0.310297489166
ATF1	-1.20024871826
ATP1B1	0.544250488281
ALDH7A1	0.262514233589
ATP6V0B	0.123870879412
BAD	0.013245895505
BAX	0.836860537529
CCND1	0.703846633434
BCL2	-1.0024831295
BDH1	0.419119775295
BID	-1.49788033962
BLMH	-0.297771215439
BLVRA	1.15464448929
BMP4	-0.472378313541
BNIP3	1.4430719614
BNIP3L	1.33225703239
BPHL	-1.24700176716
BRCA1	0.543295502663
BTK	-0.0616103000939
BUB1B	-1.43314576149
C5	-0.0629141032696
DDR1	-0.125713258982
CALM3	-1.17981231213
CALU	1.54606294632
CAPN1	-0.0524157807231
CAST	-0.601779937744
CASP2	-0.173427000642
CASP3	0.505178868771
CASP7	0.89909350872
CASP10	-0.848297417164
CAT	-0.736613154411
CBLB	0.295692056417
CBR1	0.188589856029
CBR3	0.472138941288
CCNA2	-0.972323715687
CCNB1	-0.0582352653146
CCND3	1.55987012386
CCNF	-0.0831891819835
CCNH	-0.534901559353
SCARB1	-0.47354143858
CD40	-1.16384506226
CD44	-1.84374070168
CD58	0.0204393863678
ADGRE5	1.58332753181
CDK1	-0.0911884307861
CDC20	0.212485253811
CDC25A	0.423293232918
CDC25B	-0.300577223301
CDC42	-0.718072235584
CDH3	-0.108408138156
CDK2	-0.191136747599
CDK4	0.30229818821
CDK6	0.37928545475
CDK7	0.0611083433032
CDKN1A	-0.711898863316
CDKN1B	0.753437042236
CDKN2A	0.0252104178071
CEBPA	0.33197376132
CEBPD	0.0960304439068
CENPE	0.455478966236
CETN3	0.8016025424
CHEK1	-1.03686487675
CHN1	-0.665056824684
CIRBP	0.569593369961
CLTB	-0.672110915184
CLTC	-0.572016596794
COL1A1	-0.418179303408
COL4A1	-0.569635808468
CREB1	-0.285129010677
CRK	0.293044954538
CRKL	-0.749657511711
CRYZ	-0.123922243714
CSK	0.807900011539
CSNK1A1	-0.218175172806
CSNK1E	0.17769625783
CSNK2A2	-0.223964959383
CSRP1	2.90973377228
CTNND1	-1.08641111851
CTSD	-0.180249646306
CTSL	0.147694706917
CYB561	-0.637268424034
DAG1	0.815582871437
DAXX	-0.0182537436485
DCK	0.329928994179
DCTD	0.36783850193
DDB2	0.219816043973
GADD45A	-0.51903128624
DDX10	-0.131449192762
DECR1	0.319673955441
DFFA	-0.521590590477
DFFB	-1.45939040184
DLD	0.478233605623
DNM1	-0.65214908123
DNMT1	-1.67228078842
DNMT3A	-2.54927444458
DPH2	0.67608320713
DSG2	-2.94789361954
TSC22D3	-0.722380578518
DUSP3	0.279412180185
DUSP4	0.489969938993
DUSP6	-0.601650476456
TOR1A	-0.637024998665
E2F2	-0.720920503139
ECH1	0.939666628838
EDN1	0.0819500088692
EGF	-0.702950775623
EGFR	0.0113863348961
EGR1	-0.685903728008
EIF4EBP1	1.24927973747
