BARCODE,ARR_DESIGN,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,MATERIAL_ID,COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,SPECIES,EXP_TEST_TYPE,SINGLE_REPEAT_TYPE,SEX_TYPE,STRAIN_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL
3017905028,Rat230_2,698,1,2,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,4 day,0,%,Control
3017905029,Rat230_2,698,1,4,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,4 day,0,%,Control
3017905030,Rat230_2,698,1,5,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,4 day,0,%,Control
3017906004,Rat230_2,698,2,1,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,8 day,0,%,Control
3017906005,Rat230_2,698,2,2,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,8 day,0,%,Control
3017906006,Rat230_2,698,2,4,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,8 day,0,%,Control
3017906010,Rat230_2,698,3,1,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,15 day,0,%,Control
3017906011,Rat230_2,698,3,2,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,15 day,0,%,Control
3017906012,Rat230_2,698,3,3,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,15 day,0,%,Control
3017906016,Rat230_2,698,4,1,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,29 day,0,%,Control
