,sig_id,pert_id,pert_iname,pert_type,cell_id,pert_dose,pert_dose_unit,pert_idose,pert_time,pert_time_unit,pert_itime,distil_id
39961,CPC001_HCC515_24H:BRD-A17065207-001-06-9:10,BRD-A17065207,brefeldin-a,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC001_HCC515_24H_X2_B3_DUO52HI53LO:O23|CPC001_HCC515_24H_X3_B3_DUO52HI53LO:O23
39964,CPC001_HCC515_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC001_HCC515_24H_X1_B3_DUO52HI53LO:A03|CPC001_HCC515_24H_X2_B3_DUO52HI53LO:A03|CPC001_HCC515_24H_X3_B3_DUO52HI53LO:A03
40084,CPC001_HCC515_24H:BRD-K09668667-001-02-0:10,BRD-K09668667,benzo(a)pyrene,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC001_HCC515_24H_X1_B3_DUO52HI53LO:L20|CPC001_HCC515_24H_X2_B3_DUO52HI53LO:L20|CPC001_HCC515_24H_X3_B3_DUO52HI53LO:L20
40340,CPC001_HCC515_6H:BRD-A17065207-001-06-9:10,BRD-A17065207,brefeldin-a,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC001_HCC515_6H_X1_B3_DUO52HI53LO:O23|CPC001_HCC515_6H_X2_B3_DUO52HI53LO:O23
40343,CPC001_HCC515_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC001_HCC515_6H_X1_B3_DUO52HI53LO:A03|CPC001_HCC515_6H_X2_B3_DUO52HI53LO:A03
40464,CPC001_HCC515_6H:BRD-K09668667-001-02-0:10,BRD-K09668667,benzo(a)pyrene,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC001_HCC515_6H_X1_B3_DUO52HI53LO:L20|CPC001_HCC515_6H_X2_B3_DUO52HI53LO:L20
41483,CPC001_VCAP_24H:BRD-A17065207-001-06-9:10,BRD-A17065207,brefeldin-a,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC001_VCAP_24H_X2_B3_DUO52HI53LO:O23|CPC001_VCAP_24H_X3_B3_DUO52HI53LO:O23|CPC001_VCAP_24H_X4.A2_F1B5_DUO52HI53LO:O23|CPC001_VCAP_24H_X4_F1B5_DUO52HI53LO:O23|CPC001_VCAP_24H_X5_F2B4_DUO52HI53LO:O23
41486,CPC001_VCAP_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC001_VCAP_24H_X1_B3_DUO52HI53LO:A03|CPC001_VCAP_24H_X2_B3_DUO52HI53LO:A03|CPC001_VCAP_24H_X3_B3_DUO52HI53LO:A03|CPC001_VCAP_24H_X4.A2_F1B5_DUO52HI53LO:A03|CPC001_VCAP_24H_X4_F1B5_DUO52HI53LO:A03|CPC001_VCAP_24H_X5_F2B4_DUO52HI53LO:A03
41607,CPC001_VCAP_24H:BRD-K09668667-001-02-0:10,BRD-K09668667,benzo(a)pyrene,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC001_VCAP_24H_X1_B3_DUO52HI53LO:L20|CPC001_VCAP_24H_X2_B3_DUO52HI53LO:L20|CPC001_VCAP_24H_X3_B3_DUO52HI53LO:L20|CPC001_VCAP_24H_X4.A2_F1B5_DUO52HI53LO:L20|CPC001_VCAP_24H_X4_F1B5_DUO52HI53LO:L20|CPC001_VCAP_24H_X5_F2B4_DUO52HI53LO:L20
41862,CPC001_VCAP_6H:BRD-A17065207-001-06-9:10,BRD-A17065207,brefeldin-a,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC001_VCAP_6H_X1.A2_F1B5_DUO52HI53LO:O23|CPC001_VCAP_6H_X1_F1B5_DUO52HI53LO:O23|CPC001_VCAP_6H_X2_B5_DUO52HI53LO:O23|CPC001_VCAP_6H_X3_F1B5_DUO52HI53LO:O23|CPC001_VCAP_6H_X4_B5_DUO52HI53LO:O23|CPC001_VCAP_6H_X5_B5_DUO52HI53LO:O23
