source,interaction,target
CALM2,inhibits,TRPC1
CAV1,activates,TRPC1
DRD2,activates,TRPC1
FKBP4,inhibits,TRPC1
MDFI,inhibits,TRPC1
ITPR2,activates,TRPC1
MARCKS,inhibits,TRPC1
GRM1,activates,TRPC1
STIM1,activates,TRPC1
TRPC1,activates,TRPC3
TRPC3,activates,TRPC1
TRPC1,activates,TRPC4
TRPC4,activates,TRPC1
TRPC1,activates,TRPC5
TRPC5,activates,TRPC1
TRPC1,inhibits,TRPC6
TRPC1,activates,PKD2
PKD2,activates,TRPC1
TRPC1,activates,TRPV4
TRPV4,activates,TRPC1
TRPC1,inhibits,TRPV6
CALM2,inhibits,TRPC3
CASR,activates,TRPC3
EPOR,activates,TRPC3
HOMER1,activates,TRPC3
ITPR1,activates,TRPC3
ITPR3,activates,TRPC3
ASPH,activates,TRPC3
ORAI1,activates,TRPC3
PRKG1,inhibits,TRPC3
RNF24,inhibits,TRPC3
SRC,activates,TRPC3
TRPM4,inhibits,TRPC3
PKD2,activates,TRPC3
WNK4,inhibits,TRPC3
SLC9A3R1,activates,TRPC4
EPB41,activates,TRPC4
RNF24,inhibits,TRPC4
CABP1,inhibits,TRPC5
NCS1,activates,TRPC5
SESTD1,activates,TRPC5
TRPC5,inhibits,TRPC6
CALM2,activates,TRPC6
FYN,activates,TRPC6
CHRM1,activates,TRPC6
MX1,activates,TRPC6
NPHS1,activates,TRPC6
PRKG1,inhibits,TRPC6
NPHS2,activates,TRPC6
RNF24,inhibits,TRPC6
SNF8,activates,TRPC6
PKD2,activates,TRPC7
AKAP5,activates,TRPV1
CALM2,activates,TRPV1
CNR1,inhibits,TRPV1
CDK5,activates,TRPV1
FAF1,inhibits,TRPV1
GABARAP,activates,TRPV1
KIF13B,activates,TRPV1
PIRT,activates,TRPV1
PRKACA,activates,TRPV1
SRC,activates,TRPV1
NTRK1,activates,TRPV1
SLC50A1,activates,TRPV2
EGFR,activates,TRPV3
AKAP5,activates,TRPV4
CALM2,activates,TRPV4
FYN,activates,TRPV4
HCK,activates,TRPV4
ITPR3,activates,TRPV4
