"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","CHEK1","0.894781818255389",1
"2","DNA_thresholded_100","CHEK1","0.988931604071914",1
"3","DNA_thresholded_200","CHEK1","0.999872665265982",1
"4","DNA_thresholded_300","CHEK1, CDK2, CARM1","0.999825694254904",1
"5","DNA_thresholded_400","CHEK1, CDK2, CARM1","0.999996334734683",1
"6","DNA_thresholded_477","CHEK1, CDK2, CARM1","0.999999824714855",1
"7","ERS_thresholded_050","GSK3A","0.893580510445408",1
"8","ERS_thresholded_100","GSK3A","0.988549068933824",1
"9","ERS_thresholded_200","GSK3A","0.999858306709612",1
"10","ERS_thresholded_300","GSK3A, EP300","0.99997297602481",1
"11","ERS_thresholded_400","GSK3A, EP300","0.999999508368589",1
"12","ERS_thresholded_477","GSK3A, EP300, CSNK2A1","0.999999743349117",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","GSK3B, MAPKAPK2","0.936174557559945",1
"15","HTS_thresholded_200","GSK3B, MAPKAPK2, MAPK1","0.993035320728924",1
"16","HTS_thresholded_300","GSK3B, MAPKAPK2, MAPK1","0.999814840285733",1
"17","HTS_thresholded_400","GSK3B, MAPKAPK2, MAPK1, CSNK2A1, EP300","0.999860845878099",1
"18","HTS_thresholded_477","GSK3B, MAPKAPK2, MAPK1, CSNK2A1, EP300, AKT1","0.99995491006044",1
"19","HYP_thresholded_050","DUSP14, RPS6KA5","0.648771331599954",1
"20","HYP_thresholded_100","DUSP14, RPS6KA5","0.936563690159346",1
"21","HYP_thresholded_200","DUSP14, RPS6KA5","0.998661698166584",1
"22","HYP_thresholded_300","DUSP14, RPS6KA5","0.999976508889628",1
"23","HYP_thresholded_400","DUSP14, RPS6KA5, HDAC1","0.999996102453629",1
"24","HYP_thresholded_477","DUSP14, RPS6KA5, HDAC1, NOTCH1","0.999998520623344",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.999849765204512",1
"28","MTL_thresholded_300","CDK5","0.999997874826937",1
"29","MTL_thresholded_400","CDK5","0.999999965724737",1
"30","MTL_thresholded_477","CDK5","0.999999998646883",1
"31","OXD_thresholded_050","SRC","0.89378083142732",1
"32","OXD_thresholded_100","SRC","0.988563365285668",1
"33","OXD_thresholded_200","SRC, PTN, RHOA, ROCK2","0.97544424773922",1
"34","OXD_thresholded_300","SRC, PTN, RHOA, ROCK2, STAT1","0.996452840139818",1
"35","OXD_thresholded_400","SRC, PTN, RHOA, ROCK2, STAT1","0.999848917330537",1
"36","OXD_thresholded_477","SRC, PTN, RHOA, ROCK2, STAT1","0.999988025390998",1
