"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CHEK1, CDK2, CARM1","0.999195235008335",1
"2","#upgenes.ERS_0","GSK3A","0.973402825840699",1
"3","#upgenes.HTS_0","CSNK2A1","0.99917044129709",1
"4","#upgenes.HYP_0","CDK1, HDAC1, TP53","0.994929880441228",1
"5","#upgenes.MTL_0","CDK5","0.997989480910814",1
"6","#upgenes.OXD_0","SRC, PTN, RHOA, ROCK2","0.873194787255217",1
"7","#upgenes.DNA_0.25","CHEK1, CDK2, CARM1","0.998698899502778",1
"8","#upgenes.ERS_0.25","GSK3A","0.963661536172678",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.997985061854183",1
"10","#upgenes.HYP_0.25","CDK1, HDAC1, TP53","0.990106546274841",1
"11","#upgenes.MTL_0.25","CDK5","0.996881916663102",1
"12","#upgenes.OXD_0.25","SRC, PTN, RHOA","0.926309408753774",1
"13","#upgenes.DNA_0.45","CHEK1, CDK2, CARM1","0.996625546136803",1
"14","#upgenes.ERS_0.45","GSK3A","0.918725583789902",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.994424094157456",1
"16","#upgenes.HYP_0.45","","1",1
"17","#upgenes.MTL_0.45","CDK5","0.971779001266716",1
"18","#upgenes.OXD_0.45","SRC, PTN, RHOA","0.863498520637214",1
"19","#upgenes.DNA_0.5","CHEK1, CDK2, CARM1","0.996625546136803",1
"20","#upgenes.ERS_0.5","GSK3A","0.918725583789902",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.994424094157456",1
"22","#upgenes.HYP_0.5","","1",1
"23","#upgenes.MTL_0.5","CDK5","0.971779001266716",1
"24","#upgenes.OXD_0.5","SRC, PTN, RHOA","0.863498520637214",1
"25","#upgenes.DNA_0.65","CHEK1, CDK2","0.994784864227971",1
"26","#upgenes.ERS_0.65","GSK3A","0.878304775619222",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.973402825840699",1
"28","#upgenes.HYP_0.65","","1",1
"29","#upgenes.MTL_0.65","CDK5","0.971779001266716",1
"30","#upgenes.OXD_0.65","","1",1
"31","#upgenes.DNA_0.75","CHEK1, CDK2","0.994784864227971",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","","1",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","","1",1
"37","#upgenes.DNA_0.85","CHEK1","0.984148534549733",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","CHEK1","0.984148534549733",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","CHEK1","0.984148534549733",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","CHEK1, CDK2, CARM1","0.999195235008335",1
"56","#dngenes.ERS_0","GSK3A","0.973402825840699",1
"57","#dngenes.HTS_0","CSNK2A1","0.99917044129709",1
"58","#dngenes.HYP_0","CDK1, HDAC1, TP53","0.994929880441228",1
"59","#dngenes.MTL_0","CDK5","0.997989480910814",1
"60","#dngenes.OXD_0","SRC, PTN, RHOA, ROCK2","0.873194787255217",1
"61","#dngenes.DNA_0.25","CDK2, CARM1","0.994679172514702",1
"62","#dngenes.ERS_0.25","GSK3A","0.848421982574072",1
"63","#dngenes.HTS_0.25","CSNK2A1","0.989097969819802",1
"64","#dngenes.HYP_0.25","CDK1, HDAC1, TP53","0.879078185167657",1
"65","#dngenes.MTL_0.25","CDK5","0.993969753387826",1
"66","#dngenes.OXD_0.25","SRC, PTN, RHOA, ROCK2","0.798081558287748",1
"67","#dngenes.DNA_0.45","CARM1","0.983197135868902",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","CDK1, HDAC1, TP53","0.553644630836618",1
"71","#dngenes.MTL_0.45","","1",1
