X1	X3	X2
MAPK14	activates	MAPKAPK2 
STAT1	activates	IRF1 
KMT2B	activates	RELB 
CDK2	inhibits	FOXO1 
AKT1	activates	FOXO3 
AKT1	activates	FOXO4 
MAPKAPK2	activates	CREB1 
SRC	activates	STAT3 
MAPK1	inhibits	CDK1 
STAT3	activates	SPI1 
AKT1	activates	GSK3B 
AKT1	activates	NRF1 
AKT1	activates	CREB1 
MAPK14	activates	MEF2C 
CREB1	activates	FOXO4 
SMAD2	activates	CREB1 
STK11	activates	GSK3B 
MAPK14	activates	STAT3 
MAPK14	activates	STAT1 
NR0B2	activates	NR5A2 
PPP2CA	inhibits	AKT1 
PPP2CA	inhibits	CHEK1 
PPP2CA	inhibits	ELF1 
PPP2R2C	inhibits	SRC 
CDK1	activates	CHEK1 
MAPK1	inhibits	FOXO1 
MAPK1	inhibits	FOXO4 
MAPK1	inhibits	FOXO3 
AKT1	activates	TWIST1 
MAPK1	inhibits	MYB 
MAPK1	inhibits	STK11 
MAPK14	activates	TWIST1 
SRC	activates	AKT1 
SRC	activates	STAT1 
MAPK14	activates	GATA2 
MEF2C	activates	MYOD1 
GSK3B	activates	MAF 
CDK2	inhibits	FOXO4 
CDK2	inhibits	FOXO3 
MAPKAPK2	activates	SRF 
WWTR1	activates	MYOD1 
WWTR1	activates	PAX8 
WWTR1	activates	SMAD2 
KDM6A	inhibits	FLI1 
KDM6A	inhibits	SPI1 
CHEK1	activates	E2F3 
CSNK1D	inhibits	WWTR1 
CSNK1D	inhibits	HIF1A 
MAPK14	activates	FOXO3 
MAPK14	activates	FOXO1 
MAPK14	activates	FOXO4 
MAPKAPK2	activates	ETV1 
CDK2	inhibits	MYOD1 
STAT3	activates	STAT1 
RHOA	inhibits	AKT1 
SRC	activates	MAPK14 
STK11	activates	ETV4 
MAPK14	activates	ETS1 
STAT3	activates	TWIST1 
SMAD2	activates	MEF2C 
STAT3	activates	FOXO1 
Perturbation	inhibits	HEY2 
Perturbation	inhibits	KMT2B 
Perturbation	inhibits	NR0B2 
RHOA	activates	ROCK2 
E2F1	activates	TP73 
MAPK14	inhibits	MAPK1 
ATF2	activates	ATF3 
SRC	inhibits	PPP2CA 
ROCK2	activates	IRF4 
MAPK1	activates	SMAD4 
CDK2	activates	FOXK2 
CDK1	inhibits	TP73 
CDK5	activates	CLOCK 
MAPK1	activates	CDK2 
MAPK1	activates	E2F1 
MAPK1	activates	ATF2 
NR0B2	inhibits	CEBPA 
CDK1	inhibits	CUX1 
SRC	inhibits	RHOA 
CSNK1D	activates	CDK5 
RHOA	activates	MAPK1 
SMAD4	activates	ATF2 
SMAD4	activates	CTCF 
HEY2	inhibits	ARNT 
Perturbation	activates	CSNK1D 
Perturbation	activates	E2F6 
Perturbation	activates	KDM6A 
Perturbation	activates	KLF6 
Perturbation	activates	PPP2R2C 
Perturbation	activates	RFX1 
NOTCH1	activates	PAX8 
EP300	activates	MYB 
AKT1	activates	EP300 
EP300	activates	SMAD2 
EP300	activates	HIF1A 
EP300	activates	STAT3 
DUSP8	activates	MAPK14 
NOTCH1	activates	MEF2C 
NOTCH1	activates	HIF1A 
PPP2CB	inhibits	AKT1 
PPP2CB	inhibits	CHEK1 
PPP2CB	inhibits	ELF1 
EP300	activates	FLI1 
TP53	inhibits	ETS1 
ABL1	inhibits	MYOD1 
EP300	activates	MEF2C 
EP300	activates	MYOD1 
GSK3B	activates	NOTCH1 
EP300	activates	IRF1 
Perturbation	activates	DUSP8 
Perturbation	activates	HEY2 
