"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","12/52","30/2914",1.85204792803689e-14,5.62237266966776e-12,2.90611226464623e-12,"MAPK14/MAPKAPK2/MAPK1/CREB1/PPP2CA/MEF2C/ATF2/PPP2CB/RPS6KA5/RPS6KA3/PPP2R1B/DUSP7",12
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","33/52","481/2914",2.01518733679848e-14,5.62237266966776e-12,2.90611226464623e-12,"MAPK14/STAT1/KMT2B/CDK2/AKT1/SRC/MAPK1/CREB1/SMAD2/STK11/NR0B2/PPP2CA/CDK1/MEF2C/GSK3B/WWTR1/CHEK1/E2F1/ATF2/CDK5/SMAD4/HEY2/NOTCH1/EP300/PPP2CB/TP53/ABL1/RB1/CSNK2A1/HDAC1/CARM1/AKT2/PPP2R1B",33
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","11/52","24/2914",4.02383799806328e-14,7.4843386763977e-12,3.86853197006786e-12,"MAPK14/MAPKAPK2/MAPK1/CREB1/PPP2CA/MEF2C/PPP2CB/RPS6KA5/RPS6KA3/PPP2R1B/DUSP7",11
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","33/52","499/2914",6.16179351212278e-14,8.59570194941128e-12,4.44297742716221e-12,"MAPK14/STAT1/KMT2B/CDK2/AKT1/SRC/MAPK1/CREB1/SMAD2/STK11/NR0B2/PPP2CA/CDK1/MEF2C/GSK3B/WWTR1/CHEK1/E2F1/ATF2/CDK5/SMAD4/HEY2/NOTCH1/EP300/PPP2CB/TP53/ABL1/RB1/CSNK2A1/HDAC1/CARM1/AKT2/PPP2R1B",33
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","14/52","70/2914",4.82495077092365e-12,5.3846450603508e-10,2.7832347604907e-10,"MAPK14/MAPKAPK2/SRC/MAPK1/STAT3/CREB1/PPP2CA/MEF2C/RHOA/PPP2CB/RPS6KA5/RPS6KA3/PPP2R1B/DUSP7",14
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","15/52","89/2914",1.01641843293273e-11,8.45607482950788e-10,4.37080645781015e-10,"MAPK14/MAPKAPK2/SRC/MAPK1/STAT3/CREB1/PPP2CA/MEF2C/RHOA/CDK5/PPP2CB/RPS6KA5/RPS6KA3/PPP2R1B/DUSP7",15
"R-HSA-450294","R-HSA-450294","MAP kinase activation","13/52","60/2914",1.0607979176802e-11,8.45607482950788e-10,4.37080645781015e-10,"MAPK14/MAPKAPK2/MAPK1/CREB1/PPP2CA/MEF2C/ATF2/PPP2CB/RPS6KA5/RPS6KA3/PPP2R1B/MAP3K7/DUSP7",13
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","9/52","21/2914",2.23227952113321e-11,1.52368344528126e-09,7.87566994919949e-10,"MAPK14/MAPK1/PPP2CA/MEF2C/PPP2CB/RPS6KA5/RPS6KA3/PPP2R1B/DUSP7",9
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","13/52","64/2914",2.56331386043985e-11,1.52368344528126e-09,7.87566994919949e-10,"MAPK14/MAPKAPK2/MAPK1/CREB1/PPP2CA/MEF2C/ATF2/PPP2CB/RPS6KA5/RPS6KA3/PPP2R1B/MAP3K7/DUSP7",13
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","15/52","95/2914",2.73061549333559e-11,1.52368344528126e-09,7.87566994919949e-10,"MAPK14/CDK2/AKT1/STK11/PPP2CA/CDK1/CHEK1/CDK5/EP300/PPP2CB/TP53/CSNK2A1/HDAC1/AKT2/PPP2R1B",15
