"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","17/29","481/2914",2.87049883087434e-07,0.000103219218976483,6.29865562022781e-05,"STAT1/EP300/SMAD3/MEN1/AXIN1/NR0B2/MAPK14/CSNK2A1/AKT3/CDK2/CREB1/YAP1/GATA2/MAX/SOCS3/CSNK2B/AKT1",17
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","17/29","499/2914",4.98643569934702e-07,0.000103219218976483,6.29865562022781e-05,"STAT1/EP300/SMAD3/MEN1/AXIN1/NR0B2/MAPK14/CSNK2A1/AKT3/CDK2/CREB1/YAP1/GATA2/MAX/SOCS3/CSNK2B/AKT1",17
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","5/29","27/2914",4.71987398303759e-06,0.000651342609659187,0.000397463072255797,"EP300/STAT3/CDK2/CREB1/GATA2",5
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","14/29","397/2914",6.73046558894989e-06,0.000696603188456313,0.000425082037196835,"EP300/STAT3/SMAD3/MAPK14/CSNK2A1/NFKB1/RELA/AKT3/CDK2/CREB1/KDM6A/GATA2/CSNK2B/AKT1",14
"R-HSA-8878171","R-HSA-8878171","Transcriptional regulation by RUNX1","7/29","86/2914",1.40606784094646e-05,0.00116422417230367,0.000710434277530841,"EP300/AXIN1/CSNK2A1/YAP1/GATA2/SOCS3/CSNK2B",7
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","7/29","95/2914",2.72112757892552e-05,0.00187757802945861,0.00114573792796864,"EP300/MAPK14/CSNK2A1/AKT3/CDK2/CSNK2B/AKT1",7
"R-HSA-5674400","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer","4/29","24/2914",7.33331184529147e-05,0.00433713014850096,0.00264660878627061,"GSK3A/AKT3/CREB1/AKT1",4
"R-HSA-8948751","R-HSA-8948751","Regulation of PTEN stability and activity","4/29","25/2914",8.6701430295395e-05,0.00448679901778669,0.00273793990406511,"CSNK2A1/AKT3/CSNK2B/AKT1",4
"R-HSA-1059683","R-HSA-1059683","Interleukin-6 signaling","3/29","11/2914",0.000138689897361015,0.00625558588618629,0.00381729115861863,"STAT1/STAT3/SOCS3",3
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","10/29","268/2914",0.000151101108361988,0.00625558588618629,0.00381729115861863,"STAT1/EP300/STAT3/SMAD3/AXIN1/GSK3A/AKT3/LCK/CREB1/AKT1",10
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","11/29","332/2914",0.0001846292357574,0.00694877305486941,0.00424028866811253,"STAT1/STAT3/SMAD3/MAPK14/NFKB1/RELA/LCK/CREB1/SOCS3/AKT1/PTPN13",11
"R-HSA-198323","R-HSA-198323","AKT phosphorylates targets in the cytosol","3/29","13/2914",0.000237190799924263,0.00818308259738706,0.00499349052472132,"GSK3A/AKT3/AKT1",3
"R-HSA-6804758","R-HSA-6804758","Regulation of TP53 Activity through Acetylation","3/29","14/2914",0.000299860641646692,0.00886730754583789,0.00541101909738392,"EP300/AKT3/AKT1",3
"R-HSA-877312","R-HSA-877312","Regulation of IFNG signaling","3/29","14/2914",0.000299860641646692,0.00886730754583789,0.00541101909738392,"STAT1/PIAS1/SOCS3",3
"R-HSA-9008059","R-HSA-9008059","Interleukin-37 signaling","3/29","15/2914",0.000372319944851971,0.0102760304779144,0.00627065170277003,"STAT3/SMAD3/PTPN13",3
"R-HSA-157118","R-HSA-157118","Signaling by NOTCH","6/29","104/2914",0.000435313230597937,0.0112637298417216,0.0068733667989148,"STAT1/EP300/SMAD3/PTCRA/CREB1/AKT1",6
"R-HSA-69202","R-HSA-69202","Cyclin E associated events during G1/S transition ","4/29","39/2914",0.000511868772179173,0.0113700680845447,0.00693825664960777,"AKT3/CDK2/MAX/AKT1",4
"R-HSA-201681","R-HSA-201681","TCF dependent signaling in response to WNT","6/29","108/2914",0.000534021631678034,0.0113700680845447,0.00693825664960777,"EP300/MEN1/AXIN1/CSNK2A1/CSNK2B/AKT1",6
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","8/29","201/2914",0.000541191980762242,0.0113700680845447,0.00693825664960777,"CSNK2A1/GSK3A/AKT3/LCK/CREB1/CSNK2B/AKT1/PRKCD",8
"R-HSA-69656","R-HSA-69656","Cyclin A:Cdk2-associated events at S phase entry","4/29","40/2914",0.000564836161386998,0.0113700680845447,0.00693825664960777,"AKT3/CDK2/MAX/AKT1",4
"R-HSA-1643685","R-HSA-1643685","Disease","12/29","443/2914",0.000576742583998646,0.0113700680845447,0.00693825664960777,"STAT1/EP300/STAT3/SMAD3/AXIN1/NFKB1/GSK3A/RELA/AKT3/LCK/CREB1/AKT1",12
"R-HSA-8939243","R-HSA-8939243","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","3/29","18/2914",0.000654423441206514,0.0117796219417172,0.00718817509792052,"EP300/CSNK2A1/CSNK2B",3
"R-HSA-9013508","R-HSA-9013508","NOTCH3 Intracellular Domain Regulates Transcription","3/29","18/2914",0.000654423441206514,0.0117796219417172,0.00718817509792052,"STAT1/EP300/PTCRA",3
"R-HSA-389513","R-HSA-389513","CTLA4 inhibitory signaling","3/29","19/2914",0.000771936381652332,0.0127832664801626,0.00780062027774988,"AKT3/LCK/AKT1",3
"R-HSA-5621575","R-HSA-5621575","CD209 (DC-SIGN) signaling","3/29","19/2914",0.000771936381652332,0.0127832664801626,0.00780062027774988,"EP300/NFKB1/RELA",3
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","4/29","45/2914",0.000889669356311945,0.0141662735966594,0.00864456054716059,"STAT3/NFKB1/RELA/CDK2",4
"R-HSA-389357","R-HSA-389357","CD28 dependent PI3K/Akt signaling","3/29","21/2914",0.00104541603649165,0.0144963796211309,0.00884599824325301,"AKT3/LCK/AKT1",3
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","4/29","47/2914",0.0010504622913863,0.0144963796211309,0.00884599824325301,"STAT1/PIAS1/SOCS3/PRKCD",4
"R-HSA-8848021","R-HSA-8848021","Signaling by PTK6","4/29","47/2914",0.0010504622913863,0.0144963796211309,0.00884599824325301,"STAT3/CDK2/SOCS3/AKT1",4
"R-HSA-9006927","R-HSA-9006927","Signaling by Non-Receptor Tyrosine Kinases","4/29","47/2914",0.0010504622913863,0.0144963796211309,0.00884599824325301,"STAT3/CDK2/SOCS3/AKT1",4
"R-HSA-446652","R-HSA-446652","Interleukin-1 family signaling","5/29","82/2914",0.00108979620400058,0.0145540525308464,0.00888119147572628,"STAT3/SMAD3/NFKB1/RELA/PTPN13",5
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","7/29","172/2914",0.00113869000793199,0.0147318019776201,0.00898965795735778,"CSNK2A1/GSK3A/AKT3/LCK/CREB1/CSNK2B/AKT1",7
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","4/29","49/2914",0.00123074160022092,0.0154402128027715,0.00942194526484911,"EP300/SMAD3/AKT3/AKT1",4
