"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","CARM1","0.999978103540926",1
"5","DNA_thresholded_400","CARM1","0.999999364073088",1
"6","DNA_thresholded_477","CARM1","0.99999995784654",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","EP300, CSNK2A2","0.999690217399638",1
"11","ERS_thresholded_400","EP300, CSNK2A2","0.99998676400611",1
"12","ERS_thresholded_477","EP300, CSNK2A2, CSNK2A1","0.999989275604749",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","MAPKAPK2, RPS6KB1","0.8696364460338",1
"15","HTS_thresholded_200","MAPKAPK2, RPS6KB1, MAPK1, MAPK3","0.919728732802636",1
"16","HTS_thresholded_300","MAPKAPK2, RPS6KB1, MAPK1, MAPK3, CSNK2A2","0.977916851700384",1
"17","HTS_thresholded_400","MAPKAPK2, RPS6KB1, MAPK1, MAPK3, CSNK2A2, ATR, SIRT1, CSNK2A1, EP300","0.922632499813163",1
"18","HTS_thresholded_477","MAPKAPK2, RPS6KB1, MAPK1, MAPK3, CSNK2A2, ATR, SIRT1, CSNK2A1, EP300","0.979843271465326",1
"19","HYP_thresholded_050","DUSP14","0.833738800439786",1
"20","HYP_thresholded_100","DUSP14, EGR1, GAPDH","0.684122393099043",1
"21","HYP_thresholded_200","DUSP14, EGR1, GAPDH","0.971960349177488",1
"22","HYP_thresholded_300","DUSP14, EGR1, GAPDH","0.9982882574887",1
"23","HYP_thresholded_400","DUSP14, EGR1, GAPDH","0.999911025816017",1
"24","HYP_thresholded_477","DUSP14, EGR1, GAPDH","0.999991660353697",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","","1",1
"34","OXD_thresholded_300","PAWR, STAT1","0.999711773805688",1
"35","OXD_thresholded_400","PAWR, STAT1","0.999987274107119",1
"36","OXD_thresholded_477","PAWR, STAT1, SIRT1","0.999989060169209",1
