X1	X3	X2
CSNK2A1	activates	CTNNB1 
AKT1	activates	FOXO3 
CTNNB1	activates	FOXO3 
CTNNB1	activates	TCF7L2 
AKT1	activates	MDM2 
AKT1	activates	CREB1 
CTNNB1	activates	LEF1 
CTNNB1	activates	TCF7 
AKT1	activates	RPS6KB1 
AKT1	activates	CTNNB1 
NR0B2	inhibits	ONECUT1 
CREB1	activates	CTNNB1 
CSNK2A1	activates	LEF1 
TCF7	activates	LEF1 
RPS6KB1	activates	CREM 
GSK3A	inhibits	CTNNB1 
GSK3A	inhibits	NFATC1 
MAPK14	activates	CSNK2A1 
GSK3A	inhibits	GATA6 
DUSP9	inhibits	MAPK14 
AKT1	activates	CDK2 
GATA3	inhibits	CEBPA 
SOX6	inhibits	CTNNB1 
AKT1	activates	POU5F1 
PCGF2	inhibits	UBE2I 
CSNK2A1	activates	AKT1 
YAP1	inhibits	RUNX2 
CDK2	activates	MYBL2 
IRF2BP1	activates	IRF2 
MAPK14	activates	FOXO3 
NR0B2	inhibits	CEBPA 
MAPK14	activates	HNF4A 
CDK2	activates	FOXM1 
CSNK2A1	activates	NFATC1 
EP300	inhibits	FOXO3 
MDM2	activates	HIF1A 
Perturbation	inhibits	IRF2BP1 
Perturbation	inhibits	MEIS2 
EP300	activates	TP53 
MEN1	activates	KMT2A 
EP300	activates	ARNT 
MDM2	inhibits	TP53 
UBE2I	inhibits	PPARG 
CDK2	inhibits	PAK1 
NR0B2	activates	ESR2 
AKT1	inhibits	GSK3A 
YAP1	activates	TEAD1 
EP300	activates	MEF2A 
CSNK2A1	inhibits	IKZF1 
CSNK2A1	inhibits	SP1 
EP300	activates	FLI1 
UBE2I	inhibits	SOX6 
MAPK11	activates	TP53 
YAP1	activates	SMAD1 
AKT1	inhibits	YAP1 
CSNK2A1	inhibits	ARNT 
EP300	activates	MYOD1 
EP300	activates	SMAD1 
MAPK11	activates	HBP1 
MAPK11	activates	TWIST1 
MDM2	inhibits	EP300 
MEF2A	activates	MYOD1 
PAK1	activates	ELF3 
CDK2	inhibits	MYOD1 
POU2AF1	activates	POU2F2 
MAPK11	activates	MEF2A 
EP300	activates	GATA3 
TWIST1	activates	TP53 
ESR2	activates	MAPK11 
Perturbation	activates	DUSP9 
Perturbation	activates	E2F6 
Perturbation	activates	MEN1 
Perturbation	activates	NR0B2 
Perturbation	activates	PCGF2 
Perturbation	activates	POU2AF1 
Perturbation	activates	RFX1 
Perturbation	activates	SP4 
DUSP7	inhibits	MAPK14 
FHL5	activates	CREM 
IRF2BP2	activates	IRF2 
Perturbation	inhibits	FHL5 
Perturbation	inhibits	IRF2BP2 
Perturbation	activates	DUSP7 
DUSP10	inhibits	MAPK14 
Perturbation	activates	IRF2BP1 
Perturbation	activates	MEIS2 
Perturbation	inhibits	DUSP10 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	MEN1 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	PCGF2 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	RFX1 
Perturbation	inhibits	SP4 
DUSP8	activates	MAPK14 
AKT3	activates	CTNNB1 
AKT3	activates	MDM2 
AKT3	activates	CREB1 
CSNK2A1	activates	AKT3 
AKT3	activates	POU5F1 
AKT3	activates	CDK2 
Perturbation	inhibits	DUSP8 
AKT3	inhibits	GSK3A 
AKT3	inhibits	YAP1 
DUSP8	inhibits	MAPK11 
DUSP2	activates	MAPK14 
Perturbation	inhibits	DUSP2 
DUSP26	inhibits	MAPK14 
Perturbation	activates	DUSP26 
Perturbation	activates	DUSP10 
Perturbation	activates	FHL5 
Perturbation	activates	IRF2BP2 
Perturbation	inhibits	DUSP7 
Perturbation	activates	DUSP2 
MAPK14	activates	STAT1 
STAT1	activates	IRF2 
DUSP14	inhibits	MAPK14 
Perturbation	inhibits	DUSP14 
Perturbation	activates	DUSP8 
Perturbation	activates	DUSP14 
Perturbation	inhibits	DUSP26 
Perturbation	inhibits	DUSP9 
