"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","25/36","481/2914",1.59510405613764e-12,7.48103802328551e-10,4.41591965014946e-10,"EP300/CDK1/SUMO1/UBE2I/MAPK1/BRCA1/ATF2/PPP2CA/PPP2R1B/YAP1/CSNK2A1/SMAD3/PCGF2/RB1/E2F1/SP1/SMAD2/NR0B2/STAT1/MEF2C/FOS/NOTCH1/RUNX2/SMAD4/CTNNB1",25
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","25/36","499/2914",3.78420437383197e-12,8.87395925663598e-10,5.23813552798847e-10,"EP300/CDK1/SUMO1/UBE2I/MAPK1/BRCA1/ATF2/PPP2CA/PPP2R1B/YAP1/CSNK2A1/SMAD3/PCGF2/RB1/E2F1/SP1/SMAD2/NR0B2/STAT1/MEF2C/FOS/NOTCH1/RUNX2/SMAD4/CTNNB1",25
"R-HSA-113510","R-HSA-113510","E2F mediated regulation of DNA replication","5/36","11/2914",9.46134203742047e-08,1.47912313851673e-05,8.73099282751433e-06,"CDK1/PPP2CA/PPP2R1B/RB1/E2F1",5
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","6/36","30/2914",1.10433403703878e-06,0.000129483165842797,7.64315399318944e-05,"MAPK1/ATF2/PPP2CA/PPP2R1B/MEF2C/FOS",6
"R-HSA-68875","R-HSA-68875","Mitotic Prophase","6/36","33/2914",2.00560325663239e-06,0.000188125585472118,0.000111047085577751,"CDK1/MAPK1/PPP2CA/PPP2R1B/RB1/PLK1",6
"R-HSA-113501","R-HSA-113501","Inhibition of replication initiation of damaged DNA by RB1/E2F1","4/36","10/2914",3.9129023937883e-06,0.000305858537114452,0.000180542689397601,"PPP2CA/PPP2R1B/RB1/E2F1",4
"R-HSA-450294","R-HSA-450294","MAP kinase activation","7/36","60/2914",5.75269418639513e-06,0.000385430510488473,0.000227512567070965,"MAPK1/ATF2/PPP2CA/PPP2R1B/MEF2C/FOS/TRAF6",7
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","7/36","62/2914",7.19708056747498e-06,0.000403913711594426,0.000238422861966859,"CDK1/MAPK1/YAP1/RB1/STAT1/RUNX2/SMAD4",7
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","5/36","24/2914",7.75100939093781e-06,0.000403913711594426,0.000238422861966859,"MAPK1/YAP1/RB1/RUNX2/SMAD4",5
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","7/36","64/2914",8.93165025535174e-06,0.000418894396975997,0.00024726568601658,"MAPK1/ATF2/PPP2CA/PPP2R1B/MEF2C/FOS/TRAF6",7
"R-HSA-4839743","R-HSA-4839743","phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex","4/36","14/2914",1.80042037142102e-05,0.000527748221372788,0.000311520103739296,"PPP2CA/PPP2R1B/CTNNB1/AMER1",4
"R-HSA-5339716","R-HSA-5339716","Misspliced GSK3beta mutants stabilize beta-catenin","4/36","14/2914",1.80042037142102e-05,0.000527748221372788,0.000311520103739296,"PPP2CA/PPP2R1B/CTNNB1/AMER1",4
"R-HSA-5358747","R-HSA-5358747","S33 mutants of beta-catenin aren't phosphorylated","4/36","14/2914",1.80042037142102e-05,0.000527748221372788,0.000311520103739296,"PPP2CA/PPP2R1B/CTNNB1/AMER1",4
"R-HSA-5358749","R-HSA-5358749","S37 mutants of beta-catenin aren't phosphorylated","4/36","14/2914",1.80042037142102e-05,0.000527748221372788,0.000311520103739296,"PPP2CA/PPP2R1B/CTNNB1/AMER1",4
"R-HSA-5358751","R-HSA-5358751","S45 mutants of beta-catenin aren't phosphorylated","4/36","14/2914",1.80042037142102e-05,0.000527748221372788,0.000311520103739296,"PPP2CA/PPP2R1B/CTNNB1/AMER1",4
"R-HSA-5358752","R-HSA-5358752","T41 mutants of beta-catenin aren't phosphorylated","4/36","14/2914",1.80042037142102e-05,0.000527748221372788,0.000311520103739296,"PPP2CA/PPP2R1B/CTNNB1/AMER1",4
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","12/36","249/2914",2.2701121263583e-05,0.000626283874860026,0.000369683894261445,"EP300/CDK1/SUMO1/UBE2I/MAPK1/BRCA1/PPP2CA/PPP2R1B/CSNK2A1/RB1/E2F1/PLK1",12
