"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","","1",1
"5","DNA_thresholded_400","","1",1
"6","DNA_thresholded_477","","1",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","","1",1
"11","ERS_thresholded_400","","1",1
"12","ERS_thresholded_477","CSNK2A1","0.999999999455798",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","GSK3B","0.989903740932075",1
"15","HTS_thresholded_200","GSK3B, MAPK1, MAPK3","0.99417520509124",1
"16","HTS_thresholded_300","GSK3B, MAPK1, MAPK3","0.999860971962619",1
"17","HTS_thresholded_400","GSK3B, MAPK1, MAPK3, CSNK2A1","0.9999805933025",1
"18","HTS_thresholded_477","GSK3B, MAPK1, MAPK3, CSNK2A1, FOXO1","0.999993751053985",1
"19","HYP_thresholded_050","DUSP14","0.899702629353722",1
"20","HYP_thresholded_100","DUSP14, NFKB1","0.942108124082272",1
"21","HYP_thresholded_200","DUSP14, NFKB1","0.998905627809383",1
"22","HYP_thresholded_300","DUSP14, NFKB1","0.999982789697778",1
"23","HYP_thresholded_400","DUSP14, NFKB1","0.999999745621592",1
"24","HYP_thresholded_477","DUSP14, NFKB1","0.999999990665069",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.999879452631438",1
"28","MTL_thresholded_300","CDK5","0.999998467033803",1
"29","MTL_thresholded_400","CDK5","0.99999997770048",1
"30","MTL_thresholded_477","CDK5","0.999999999188015",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","RHOA, ROCK2, SMAD3, FYN","0.978995459325217",1
"34","OXD_thresholded_300","RHOA, ROCK2, SMAD3, FYN","0.99927610717478",1
"35","OXD_thresholded_400","RHOA, ROCK2, SMAD3, FYN","0.99997874493924",1
"36","OXD_thresholded_477","RHOA, ROCK2, SMAD3, FYN","0.999998684904071",1
