"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","","1",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1","0.999305308861404",1
"4","#upgenes.HYP_0","CDK1, JUN, NFKB1, RELA, TP53","0.956676270745786",1
"5","#upgenes.MTL_0","CDK5","0.998278654868377",1
"6","#upgenes.OXD_0","RHOA, ROCK2, SMAD3, FYN","0.884894521169354",1
"7","#upgenes.DNA_0.25","","1",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.998274777932404",1
"10","#upgenes.HYP_0.25","CDK1, JUN, NFKB1, RELA, TP53","0.926987507436617",1
"11","#upgenes.MTL_0.25","CDK5","0.997300933721787",1
"12","#upgenes.OXD_0.25","RHOA, SMAD3, FYN","0.933545757435339",1
"13","#upgenes.DNA_0.45","","1",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.995102732725808",1
"16","#upgenes.HYP_0.45","JUN, RELA","0.995947944214563",1
"17","#upgenes.MTL_0.45","CDK5","0.9741878987274",1
"18","#upgenes.OXD_0.45","RHOA, SMAD3, FYN","0.874276989613964",1
"19","#upgenes.DNA_0.5","","1",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.995102732725808",1
"22","#upgenes.HYP_0.5","JUN, RELA","0.995947944214563",1
"23","#upgenes.MTL_0.5","CDK5","0.9741878987274",1
"24","#upgenes.OXD_0.5","RHOA, SMAD3, FYN","0.874276989613964",1
"25","#upgenes.DNA_0.65","","1",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.97570914931352",1
"28","#upgenes.HYP_0.65","JUN, RELA","0.988875153989486",1
"29","#upgenes.MTL_0.65","CDK5","0.9741878987274",1
"30","#upgenes.OXD_0.65","SMAD3, FYN","0.808576770665909",1
"31","#upgenes.DNA_0.75","","1",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","JUN","0.986922205213985",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3, FYN","0.808576770665909",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","JUN","0.920505856167748",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","JUN","0.920505856167748",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","JUN","0.920505856167748",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","","1",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","CSNK2A1","0.999305308861404",1
"58","#dngenes.HYP_0","CDK1, JUN, NFKB1, RELA, TP53","0.956676270745786",1
"59","#dngenes.MTL_0","CDK5","0.998278654868377",1
"60","#dngenes.OXD_0","RHOA, ROCK2, SMAD3, FYN","0.884894521169354",1
"61","#dngenes.DNA_0.25","","1",1
