X1	X3	X2
TP53	activates	ARID3A 
TP53	activates	VDR 
GSK3B	inhibits	CTNNB1 
FOXO1	inhibits	PPARG 
ABL1	activates	CTNNB1 
MAPK1	inhibits	CDK1 
GSK3B	inhibits	CDK1 
ABL1	activates	CDK5 
MAPK3	activates	STAT3 
CTNNB1	activates	TCF7 
MAPK3	activates	ELK1 
VDR	activates	CTNNB1 
NR0B2	activates	ESR2 
PPP2R5C	activates	ATF1 
MAPK1	inhibits	PPP2R5C 
ROCK2	activates	IRF4 
MAPK1	inhibits	PPARG 
CSNK2A1	inhibits	IKZF1 
CDK5	activates	TP53 
CDK1	activates	TP53 
CSNK2A1	inhibits	SPIB 
CDK1	activates	FOXK2 
MAPK11	activates	TP53 
CDK5	activates	CLOCK 
CDK5	activates	STAT3 
MAPK3	activates	PPARG 
GATA2	inhibits	PPARG 
MAPK11	activates	HBP1 
GSK3B	inhibits	KLF5 
MAPK1	inhibits	POU5F1 
MAPK3	activates	MAZ 
MAPK3	activates	TP53 
ABL1	activates	PLK1 
CDK1	activates	ABL1 
DUSP2	inhibits	MAPK3 
PLK1	activates	ROCK2 
CDK1	activates	PLK1 
MAPK11	activates	ELK1 
ESR2	activates	MAPK11 
Perturbation	inhibits	FBXO22 
Perturbation	inhibits	LYL1 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	SP4 
Perturbation	inhibits	ZNF76 
FOXO1	activates	KLF4 
SMAD3	activates	FOXO1 
TP53	inhibits	NFYB 
CEBPA	activates	SPI1 
PIAS1	activates	STAT1 
MAPK1	activates	SMAD3 
GSK3B	activates	SMAD3 
GSK3B	activates	JUN 
DUSP2	activates	MAPK1 
SMAD3	activates	JUN 
SMAD3	activates	GATA3 
STK11	activates	GSK3B 
JUN	activates	TCF4 
NFKB1	activates	RELA 
CSNK2A1	activates	TFAP2A 
RELA	activates	JUN 
GSK3B	activates	RELA 
MAPK1	activates	PARP1 
CDK1	inhibits	MYOD1 
MAPK3	inhibits	STK11 
MAPK1	activates	JUN 
MAPK1	activates	GSK3B 
FBXO22	inhibits	BACH1 
ABL1	inhibits	JUN 
ABL1	inhibits	MYOD1 
CSNK2A1	activates	RELA 
JUN	activates	SPI1 
ZNF76	inhibits	TBP 
CDK1	inhibits	FOXO1 
CDK1	inhibits	TP73 
CSNK2A1	activates	PIAS1 
MAPK1	activates	CSNK2A1 
MAPK3	inhibits	GSK3B 
NR0B2	inhibits	CEBPA 
CDK1	inhibits	CUX1 
MAPK3	inhibits	CEBPA 
MAPK3	inhibits	FOXO1 
PIAS1	activates	PRDM1 
PLK1	inhibits	TP73 
MAPK1	activates	RELA 
CREBZF	activates	ATF4 
MAPK1	activates	STAT1 
STK11	activates	ETV4 
SMAD3	activates	TFDP1 
NFKB1	activates	JUN 
VDR	inhibits	JUN 
PARP1	activates	MYBL2 
STAT3	inhibits	MYOD1 
MAPK1	activates	GATA2 
PARP1	activates	NFKB1 
Perturbation	activates	CREBZF 
Perturbation	activates	DUSP2 
MAPK1	activates	RPS6KA3 
RPS6KA3	activates	ATF4 
CSNK1D	activates	CTNNB1 
CSNK1D	activates	TP53 
CSNK1D	activates	CDK5 
Perturbation	inhibits	CSNK1D 
NCOR2	inhibits	PPARG 
MAPK14	activates	ELK1 
MAPK14	activates	STAT3 
MAPK14	activates	TP53 
DUSP7	inhibits	MAPK14 
MAPK14	activates	HBP1 
DUSP7	inhibits	MAPK3 
NCOR2	inhibits	ESR2 
Perturbation	activates	FBXO22 
Perturbation	activates	LYL1 
Perturbation	activates	SP4 
MAPK14	inhibits	MAPK1 
NFKB1	activates	NCOR2 
MAPK14	inhibits	GSK3B 
BTAF1	activates	TBP 
Perturbation	inhibits	BTAF1 
Perturbation	inhibits	CREBZF 
Perturbation	inhibits	DUSP7 
Perturbation	activates	CSNK1D 
Perturbation	activates	NR0B2 
Perturbation	activates	ZNF76 
Perturbation	inhibits	DUSP2 
DUSP10	inhibits	MAPK14 
DUSP10	inhibits	MAPK3 
Perturbation	inhibits	DUSP10 
Perturbation	activates	DUSP10 
RHOA	activates	ROCK2 
FYN	activates	CTNNB1 
PRKCD	activates	KLF5 
PRKCD	activates	TP53 
PRKCD	activates	STAT3 
ARHGAP30	inhibits	RHOA 
FYN	activates	MAPK14 
FYN	activates	CDK5 
RHOA	activates	MAPK3 
RHOA	activates	FYN 
FYN	activates	PRKCD 
Perturbation	inhibits	ARHGAP30 
DUSP14	inhibits	MAPK3 
DUSP14	inhibits	MAPK14 
Perturbation	activates	BTAF1 
Perturbation	activates	DUSP14 
Perturbation	activates	DUSP7 
ARHGAP20	inhibits	RHOA 
Perturbation	activates	ARHGAP20 
GMIP	inhibits	RHOA 
Perturbation	activates	GMIP 
ARAP2	inhibits	RHOA 
Perturbation	activates	ARAP2 
PREX2	activates	RHOA 
Perturbation	inhibits	PREX2 
RAP1GDS1	activates	RHOA 
Perturbation	activates	RAP1GDS1 
Perturbation	inhibits	RAP1GDS1 
ARHGAP22	inhibits	RHOA 
Perturbation	inhibits	ARHGAP22 
ARHGEF10	activates	RHOA 
Perturbation	activates	ARHGEF10 
Perturbation	inhibits	DUSP14 
ARHGDIG	inhibits	RHOA 
Perturbation	activates	ARHGDIG 
ARHGAP31	inhibits	RHOA 
Perturbation	activates	ARHGAP31 
ARHGAP40	inhibits	RHOA 
Perturbation	inhibits	ARHGAP40 
Perturbation	activates	ARHGAP22 
Perturbation	activates	PREX2 
STARD8	inhibits	RHOA 
Perturbation	activates	STARD8 
PTPRB	activates	MAPK3 
Perturbation	inhibits	PTPRB 
PTPRB	inhibits	MAPK1 
Perturbation	activates	ARHGAP40 
Perturbation	activates	PTPRB 
