"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1","0.893458121295778",1
"2","DNA_thresholded_100","BRCA1","0.988651349923223",1
"3","DNA_thresholded_200","BRCA1","0.99986616063113",1
"4","DNA_thresholded_300","BRCA1","0.999998393561026",1
"5","DNA_thresholded_400","BRCA1","0.99999998028938",1
"6","DNA_thresholded_477","BRCA1, TP73","0.999999983721351",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","YWHAZ, FKBP1A, CSNK2A2","0.999783348915271",1
"11","ERS_thresholded_400","YWHAZ, FKBP1A, CSNK2A2","0.999994682427365",1
"12","ERS_thresholded_477","YWHAZ, FKBP1A, CSNK2A2, CSNK2A1","0.999997782525845",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","GSK3B","0.988420950295322",1
"15","HTS_thresholded_200","GSK3B, MAPK1","0.99860370914001",1
"16","HTS_thresholded_300","GSK3B, MAPK1, CSNK2A2","0.999802678381506",1
"17","HTS_thresholded_400","GSK3B, MAPK1, CSNK2A2, CSNK2A1","0.99996949789379",1
"18","HTS_thresholded_477","GSK3B, MAPK1, CSNK2A2, CSNK2A1, FKBP1A, AKT1, PRKAA1","0.999808975554031",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","EGR1","0.988507649861067",1
"21","HYP_thresholded_200","EGR1","0.999865152892294",1
"22","HYP_thresholded_300","EGR1, TGFB1","0.999974828233546",1
"23","HYP_thresholded_400","EGR1, TGFB1, HDAC1","0.999995743723152",1
"24","HYP_thresholded_477","EGR1, TGFB1, HDAC1","0.999999793195798",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","SMAD3","0.99986311976933",1
"34","OXD_thresholded_300","SMAD3","0.99999825688665",1
"35","OXD_thresholded_400","SMAD3","0.999999974220632",1
"36","OXD_thresholded_477","SMAD3","0.999999998942147",1
