"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","BRCA1","0.999990296146573",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1, CSNK2A2, FKBP1A","0.969576733779125",1
"4","#upgenes.HYP_0","EGR1, HDAC1, RELA, TGFB1","0.980946337411978",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","SMAD3","0.998318084301596",1
"7","#upgenes.DNA_0.25","BRCA1","0.999982765732609",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1, FKBP1A","0.984487219289876",1
"10","#upgenes.HYP_0.25","EGR1, HDAC1, RELA","0.989731924096143",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","SMAD3","0.99699594179959",1
"13","#upgenes.DNA_0.45","BRCA1","0.999945215587803",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1, FKBP1A","0.963472511249581",1
"16","#upgenes.HYP_0.45","EGR1, RELA","0.995038279155747",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SMAD3","0.99265789409027",1
"19","#upgenes.DNA_0.5","BRCA1","0.999945215587803",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1, FKBP1A","0.963472511249581",1
"22","#upgenes.HYP_0.5","EGR1, RELA","0.995038279155747",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SMAD3","0.99265789409027",1
"25","#upgenes.DNA_0.65","BRCA1","0.99938106027105",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.972861403786927",1
"28","#upgenes.HYP_0.65","EGR1, RELA","0.98683213570771",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.949884367886546",1
"31","#upgenes.DNA_0.75","BRCA1","0.99938106027105",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","","1",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.949884367886546",1
"37","#upgenes.DNA_0.85","BRCA1","0.98377956261777",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","BRCA1","0.98377956261777",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","BRCA1","0.98377956261777",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
