X1	X3	X2
CTNNB1	activates	FOXO3 
AR	inhibits	FOXO3 
BRCA1	activates	SOX2 
EGR1	activates	PPARG 
NAB2	inhibits	EGR1 
UBE2D3	activates	BRCA1 
CTNNB1	activates	TCF7 
SMAD2	activates	SMAD4 
SMAD3	activates	SMAD4 
SMAD1	activates	SMAD4 
RARA	activates	CTNNB1 
SMAD4	activates	ATF1 
SMAD3	activates	MAX 
AKT1	inhibits	FOXO3 
PPP1CB	activates	IKZF1 
PRKAA1	activates	FOXO3 
CSNK2A2	inhibits	SPIB 
AKT1	inhibits	RARA 
PRKCD	inhibits	FLI1 
MAPK1	inhibits	FOXO3 
MAPK1	inhibits	SMAD1 
MAPK1	inhibits	PPARG 
MAPK1	inhibits	STK11 
SMAD1	activates	RUNX2 
TJP2	inhibits	WWTR1 
WWTR1	activates	PAX8 
WWTR1	activates	RUNX2 
WWTR1	activates	SMAD2 
WWTR1	activates	SMAD3 
PRKCD	inhibits	CTNNB1 
GATA2	inhibits	PPARG 
IRF2BP2	activates	IRF2 
MAPK1	inhibits	BCL6 
MAX	activates	MXI1 
POU2AF1	activates	POU2F2 
STK11	activates	PRKAA1 
STK11	activates	ETV4 
SMAD2	activates	SMAD3 
UBE2D3	activates	SMAD2 
RB1	inhibits	TAF1 
SMAD2	activates	SMAD1 
Perturbation	activates	IRF2BP2 
Perturbation	activates	MEIS2 
Perturbation	activates	POU2AF1 
Perturbation	activates	PPP1CB 
Perturbation	activates	TFAP4 
Perturbation	activates	UBE2D3 
MAPK1	activates	GABPA 
SLC2A4RG	activates	MEF2A 
TP73	activates	CASP6 
E2F1	activates	TP73 
AKT1	activates	NRF1 
NR0B2	activates	NR5A2 
NR0B2	activates	AR 
PPP1CB	inhibits	AKT1 
PRKAA1	inhibits	POU2F1 
PRKAA1	inhibits	RB1 
PRKCD	activates	KLF5 
PRKCD	activates	TP73 
SMAD3	inhibits	FOXA1 
MAPK1	activates	E2F1 
MAPK1	activates	ETS1 
UBE2D3	inhibits	NFKB1 
EGR1	inhibits	AR 
AKT1	activates	PRKCD 
CASP6	activates	TFAP2A 
PRKCD	activates	MAPK1 
MAPK1	activates	GATA2 
Perturbation	inhibits	CSNK2A2 
Perturbation	inhibits	NAB2 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	PAX5 
Perturbation	inhibits	SLC2A4RG 
Perturbation	inhibits	TJP2 
NAB1	inhibits	EGR1 
TGFB1	inhibits	PAX8 
Perturbation	inhibits	IRF2BP2 
Perturbation	inhibits	MEIS2 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	PPP1CB 
Perturbation	inhibits	TFAP4 
Perturbation	inhibits	UBE2D3 
LTBP1	activates	TGFB1 
Perturbation	activates	CSNK2A2 
Perturbation	activates	LTBP1 
Perturbation	activates	NAB1 
Perturbation	activates	NR0B2 
Perturbation	activates	PAX5 
