"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1","0.78730986868922",1
"2","DNA_thresholded_100","BRCA1","0.954769842903921",1
"3","DNA_thresholded_200","BRCA1","0.997899185043874",1
"4","DNA_thresholded_300","BRCA1, CDK2","0.998935763188535",1
"5","DNA_thresholded_400","BRCA1, CDK2","0.999933117930495",1
"6","DNA_thresholded_477","BRCA1, CDK2","0.999992283917488",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","EP300, CSNK2A2","0.998810102060537",1
"11","ERS_thresholded_400","EP300, CSNK2A2","0.999918014768872",1
"12","ERS_thresholded_477","EP300, CSNK2A2, CSNK2A1","0.999916991186168",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","MAPK1, MAPK3","0.98431922346568",1
"16","HTS_thresholded_300","MAPK1, MAPK3, CSNK2A2","0.994051338289257",1
"17","HTS_thresholded_400","MAPK1, MAPK3, CSNK2A2, CSNK2A1, EP300","0.991653112735872",1
"18","HTS_thresholded_477","MAPK1, MAPK3, CSNK2A2, CSNK2A1, EP300","0.998378439943768",1
"19","HYP_thresholded_050","DUSP14","0.786106202867181",1
"20","HYP_thresholded_100","DUSP14, NFKB1","0.809282710346341",1
"21","HYP_thresholded_200","DUSP14, NFKB1","0.984296112713485",1
"22","HYP_thresholded_300","DUSP14, NFKB1","0.998915955637536",1
"23","HYP_thresholded_400","DUSP14, NFKB1, NR4A1","0.999508873157212",1
"24","HYP_thresholded_477","DUSP14, NFKB1, NR4A1","0.999932831134134",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.997646286003393",1
"28","MTL_thresholded_300","CDK5","0.999873988846816",1
"29","MTL_thresholded_400","CDK5","0.999992617270607",1
"30","MTL_thresholded_477","CDK5","0.999999199638665",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","SMAD3, FYN","0.984157024492362",1
"34","OXD_thresholded_300","SMAD3, FYN, PAWR, STAT1","0.978663146178897",1
"35","OXD_thresholded_400","SMAD3, FYN, PAWR, STAT1","0.997457145841074",1
"36","OXD_thresholded_477","SMAD3, FYN, PAWR, STAT1","0.999541415292412",1
