X1	X3	X2
STAT1	activates	IRF1 
CTNNB1	activates	FOXO3 
EP300	activates	CTNNB1 
MAPK1	activates	HIF1A 
EP300	activates	HIF1A 
MAPK14	inhibits	MAPK1 
BRCA1	activates	SOX2 
CTNNB1	activates	LEF1 
CTNNB1	activates	TCF7 
NR2F2	activates	PROX1 
MAPK14	inhibits	CREB1 
CREB1	activates	CTNNB1 
NR0B2	activates	RXRB 
RXRB	activates	NR2F2 
NR0B2	activates	ESRRA 
MAPK1	activates	FOS 
TCF7	activates	LEF1 
CREB1	activates	TAF1 
EP300	activates	RELA 
NFKB1	activates	RELA 
CSNK2A2	inhibits	SPIB 
HOXB8	activates	PBX3 
RELA	activates	EGR1 
RELA	activates	SP1 
RPS6KA3	inhibits	STK11 
SMAD3	inhibits	PAX8 
MAPK1	activates	EP300 
STAT1	activates	IRF2 
EP300	activates	FLI1 
TFAP4	activates	SP1 
FBXO22	inhibits	BACH1 
ZNF521	inhibits	EBF1 
CDK1	inhibits	FOXO3 
CDK2	activates	BRCA1 
CDK2	activates	MYBL2 
MAPK1	activates	CDK2 
MAPK1	activates	SP1 
MAPK1	activates	TWIST1 
CDK2	activates	FOXM1 
MAPK1	activates	RELA 
MAPK1	activates	CREB1 
MAPK1	activates	STAT1 
STK11	activates	ETV4 
EP300	activates	GATA3 
SMAD3	inhibits	BRCA1 
EP300	activates	IRF1 
BRCA1	activates	NFKB1 
MAPK1	activates	GATA2 
NFKB1	activates	FOS 
RELA	activates	FOS 
Perturbation	inhibits	HOXB8 
Perturbation	inhibits	MTA2 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	PAWR 
Perturbation	inhibits	TFAP4 
TP53	activates	ARID3A 
TP53	activates	TP73 
MAPK1	inhibits	CDK1 
MAPK14	activates	MEF2C 
SMAD3	activates	MEF2C 
MAPK14	activates	SMAD3 
TAF1	inhibits	TP53 
MAPK14	activates	TP53 
CDK5	activates	TP53 
CDK1	activates	TP53 
CDK1	activates	FOXK2 
CDK2	inhibits	SMAD3 
CDK2	inhibits	TP73 
CDK5	activates	CLOCK 
FYN	activates	MAPK14 
FYN	activates	RPS6KA3 
FYN	activates	CDK5 
MAPK14	activates	HBP1 
MAPK1	inhibits	POU5F1 
PAWR	inhibits	WT1 
BRCA1	inhibits	TP53 
PTPN13	activates	FYN 
CSNK2A2	activates	TP53 
MTA2	inhibits	TP53 
Perturbation	activates	CSNK2A2 
Perturbation	activates	FBXO22 
Perturbation	activates	LYL1 
Perturbation	activates	PTPN13 
Perturbation	activates	USF2 
Perturbation	activates	ZNF521 
NR4A1	activates	NR2F2 
CTNNB1	activates	NR4A1 
MAPK3	inhibits	STK11 
CSNK2A1	inhibits	SP1 
CSNK2A1	inhibits	SPIB 
IRF2BP1	activates	IRF2 
MAPK3	inhibits	FOXO3 
MAPK1	activates	NR4A1 
EP300	activates	NR4A1 
NR4A1	activates	HIF1A 
Perturbation	inhibits	DUSP7 
Perturbation	inhibits	IRF2BP1 
CDK1	activates	CSNK2A1 
MAPK3	activates	SMAD3 
MAPK14	activates	CSNK2A1 
CSNK2A1	activates	TP53 
DUSP7	inhibits	MAPK14 
MAPK3	activates	CSNK2A1 
MAPK3	activates	TP53 
CSNK2A1	activates	STX1A 
DUSP7	inhibits	MAPK3 
NR4A1	inhibits	TP53 
STX1A	activates	CDK5 
Perturbation	inhibits	DUSP14 
ABL1	activates	TP73 
ABL1	activates	CDK5 
BRCA1	inhibits	ABL1 
DUSP14	inhibits	MAPK3 
DUSP14	inhibits	MAPK14 
CDK1	activates	ABL1 
