"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","24/33","481/2914",8.99902118366941e-13,4.4725135282837e-10,2.81337820163139e-10,"STAT1/CTNNB1/EP300/MAPK1/MAPK14/BRCA1/CREB1/NR0B2/RXRB/TCF7/CSNK2A2/SMAD3/ZNF521/CDK1/CDK2/STK11/TP53/TAF1/CDK5/MTA2/NR4A1/MAPK3/CSNK2A1/ABL1",24
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","24/33","499/2914",2.08353467596865e-12,5.17758366978209e-10,3.25689367769836e-10,"STAT1/CTNNB1/EP300/MAPK1/MAPK14/BRCA1/CREB1/NR0B2/RXRB/TCF7/CSNK2A2/SMAD3/ZNF521/CDK1/CDK2/STK11/TP53/TAF1/CDK5/MTA2/NR4A1/MAPK3/CSNK2A1/ABL1",24
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","12/33","95/2914",1.44403377355988e-10,2.39228261819754e-08,1.50483519560451e-08,"EP300/MAPK14/BRCA1/CSNK2A2/CDK1/CDK2/STK11/TP53/TAF1/CDK5/MTA2/CSNK2A1",12
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","9/33","56/2914",4.9797969902495e-09,6.187397760385e-07,3.89210448974764e-07,"MAPK14/BRCA1/CSNK2A2/CDK2/STK11/TP53/TAF1/CDK5/CSNK2A1",9
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","18/33","397/2914",2.65776687094029e-08,2.64182026971465e-06,1.66180370667214e-06,"CTNNB1/EP300/MAPK1/MAPK14/NR2F2/CREB1/NFKB1/CSNK2A2/RELA/RPS6KA3/SMAD3/CDK2/CDK5/FYN/MAPK3/CSNK2A1/STX1A/ABL1",18
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","6/33","24/2914",1.52581867234254e-07,1.26388646692373e-05,7.95031834536374e-06,"MAPK1/MAPK14/CREB1/RPS6KA3/MAPK3/DUSP7",6
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","12/33","194/2914",5.56352321598451e-07,3.950101483349e-05,2.48476149646226e-05,"EP300/MAPK14/BRCA1/CSNK2A2/CDK1/CDK2/STK11/TP53/TAF1/CDK5/MTA2/CSNK2A1",12
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","6/33","30/2914",6.41529135418189e-07,3.9854997537855e-05,2.50702833183161e-05,"MAPK1/MAPK14/CREB1/RPS6KA3/MAPK3/DUSP7",6
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","8/33","78/2914",1.48358714714599e-06,6.70311647392327e-05,4.21651083925704e-05,"MAPK1/MAPK14/CREB1/NFKB1/RELA/RPS6KA3/MAPK3/DUSP7",8
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","8/33","78/2914",1.48358714714599e-06,6.70311647392327e-05,4.21651083925704e-05,"MAPK1/MAPK14/CREB1/NFKB1/RELA/RPS6KA3/MAPK3/DUSP7",8
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","8/33","78/2914",1.48358714714599e-06,6.70311647392327e-05,4.21651083925704e-05,"MAPK1/MAPK14/CREB1/NFKB1/RELA/RPS6KA3/MAPK3/DUSP7",8
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","8/33","83/2914",2.40037386057863e-06,7.78669090664123e-05,4.89811966381964e-05,"MAPK1/MAPK14/CREB1/NFKB1/RELA/RPS6KA3/MAPK3/DUSP7",8
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","5/33","21/2914",2.43301538336048e-06,7.78669090664123e-05,4.89811966381964e-05,"MAPK1/MAPK14/RPS6KA3/MAPK3/DUSP7",5
"R-HSA-168181","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","8/33","84/2914",2.6324384069854e-06,7.78669090664123e-05,4.89811966381964e-05,"MAPK1/MAPK14/CREB1/NFKB1/RELA/RPS6KA3/MAPK3/DUSP7",8
