X1	X3	X2
MAPK1	activates	GABPA 
MYB	activates	GATA3 
STAT3	activates	EGR1 
MAPK1	activates	CEBPB 
CEBPB	activates	FOXO1 
SMAD2	activates	TCF7L2 
TP53	inhibits	NFYB 
CEBPB	activates	STAT3 
STAT3	activates	SPI1 
MAPK1	activates	STAT3 
EGR1	activates	TGFB1 
MAPK1	activates	SMAD2 
SMAD2	activates	LEF1 
NR4A1	activates	NR2F2 
NR2F2	activates	PROX1 
SMAD2	activates	MEF2A 
CSNK2A1	activates	LEF1 
MAPK1	activates	FOS 
MAPK1	activates	RPS6KA2 
MAPK1	activates	MED1 
CSNK2A1	activates	TWIST1 
CSNK2A1	activates	TFAP2A 
HOXB8	activates	PBX3 
CDK2	activates	CEBPB 
RPS6KA2	activates	ETV1 
RPS6KA2	activates	FOS 
SMAD3	inhibits	FOXA1 
MAPK1	activates	SREBF2 
PCGF2	inhibits	UBE2I 
MAPK1	activates	SREBF1 
CSNK2A1	activates	HDAC1 
CSNK2A1	activates	YY1 
MAPK1	activates	CDK2 
MAPK1	activates	CSNK2A1 
JAZF1	inhibits	NR2C2 
UBE2I	activates	FOXL2 
MAPK1	activates	TWIST1 
PAK1	activates	ELF3 
MAPK1	activates	PAK1 
CDK2	activates	FOXM1 
MAPK1	activates	NR4A1 
UBE2I	activates	HDAC1 
TGFB1	activates	SMAD2 
PTP4A3	activates	MAPK1 
UBE2I	activates	MYB 
STAT3	activates	TWIST1 
STAT3	activates	FOXO1 
MYB	activates	CEBPB 
MED1	activates	GATA6 
MAPK1	activates	GATA2 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	HOXB8 
Perturbation	inhibits	PAX5 
Perturbation	inhibits	PTP4A3 
Perturbation	inhibits	ZNF521 
HDAC1	inhibits	TP53 
ABL1	activates	CTNNB1 
CTNNB1	activates	TCF7 
RYBP	activates	ABL1 
HDAC1	inhibits	MYOD1 
ROCK2	activates	IRF4 
CTNNB1	activates	MYOD1 
TGFB1	inhibits	PAX8 
CDK2	inhibits	SMAD3 
ZNF521	inhibits	EBF1 
CSNK2A1	inhibits	ARNT 
ABL1	activates	PLK1 
NR2F2	inhibits	MYOD1 
CDK2	inhibits	MYOD1 
PLK1	activates	ROCK2 
ABL1	activates	STAT5A 
MED1	inhibits	TP53 
HDAC1	inhibits	KLF1 
SMAD3	activates	TFDP1 
HDAC1	inhibits	SMAD3 
NR4A1	inhibits	TP53 
BTAF1	activates	TBP 
STAT3	inhibits	MYOD1 
LEF1	inhibits	RUNX2 
Perturbation	activates	BTAF1 
Perturbation	activates	JAZF1 
Perturbation	activates	PCGF2 
Perturbation	activates	RYBP 
MAPK1	activates	MAPKAPK2 
MAPKAPK2	activates	ETV1 
Perturbation	inhibits	CLK1 
CLK1	inhibits	ABL1 
RFX1	activates	ABL1 
Perturbation	activates	RFX1 
CDK1	inhibits	FOXO1 
MAPK1	inhibits	CDK1 
CDK1	activates	TP53 
CDK1	activates	RUNX2 
CDK1	activates	ABL1 
CDK1	activates	PLK1 
MAPK1	activates	RPS6KA3 
RPS6KA3	activates	ETV1 
RPS6KA3	activates	FOS 
RPS6KA4	activates	FOS 
LAMTOR3	activates	MAPK1 
MAPK1	activates	RPS6KA4 
RPS6KA4	activates	ETV1 
MAPK1	activates	CIITA 
NR2C2AP	inhibits	NR2C2 
CIITA	activates	NFYB 
Perturbation	inhibits	LAMTOR3 
Perturbation	inhibits	ZNF76 
ZNF76	inhibits	TBP 
Perturbation	activates	NR2C2AP 
CSNK2B	inhibits	CHEK2 
MAPK1	activates	RPS6KA5 
DUSP2	activates	MAPK1 
MAPK3	inhibits	MYB 
RPS6KA5	activates	STAT3 
RPS6KA5	activates	ETV1 
RPS6KA5	activates	FOS 
SIRT1	inhibits	FOXL2 
MAPK3	inhibits	PAK1 
PAK1	activates	AURKA 
CHEK2	activates	FOXM1 
MAPK3	inhibits	FOXO1 
Perturbation	activates	DUSP2 
Perturbation	activates	GFI1B 
Perturbation	activates	HOXB8 
Perturbation	activates	PAX5 
Perturbation	activates	ZNF521 
CDK1	activates	CSNK2B 
CSNK2B	activates	TBP 
MAPK3	activates	SMAD3 
MAPK3	activates	STAT5A 
MAPK3	activates	RUNX2 
CDK1	activates	SIRT1 
CSNK2B	activates	CTNNB1 
DUSP2	inhibits	MAPK3 
Perturbation	inhibits	JAZF1 
DUSP9	activates	MAPK1 
Perturbation	inhibits	DUSP9 
DUSP10	inhibits	MAPK1 
Perturbation	activates	ZNF76 
Perturbation	inhibits	DUSP10 
Perturbation	inhibits	NR2C2AP 
Perturbation	inhibits	PCGF2 
Perturbation	inhibits	RFX1 
PTPRE	inhibits	MAPK1 
Perturbation	activates	PTPRE 
RXRB	activates	NR2F2 
NR4A2	activates	RXRB 
PTPRB	inhibits	MAPK1 
MAPK1	activates	NR4A2 
PTPRB	activates	MAPK3 
Perturbation	inhibits	PTPRB 
CSNK2B	activates	TP53 
MAPK3	activates	TP53 
Perturbation	inhibits	CLK4 
CLK4	inhibits	ABL1 
TWIST1	inhibits	CDH1 
CDH1	activates	CTNNB1 
HDAC1	inhibits	CDH1 
Perturbation	activates	PTPRB 
GSK3A	inhibits	GATA6 
GSK3B	activates	CEBPB 
MAPK1	activates	GSK3B 
MAPK3	inhibits	GSK3B 
GSK3B	inhibits	CTNNB1 
GSK3B	inhibits	CDK1 
RPS6KA3	inhibits	GSK3A 
CDC73	activates	CTNNB1 
Perturbation	activates	CDC73 
Perturbation	activates	PTP4A3 
Perturbation	inhibits	DUSP2 
