X1	X3	X2
TWIST1	inhibits	RELA 
TP53	inhibits	NFYB 
E2F1	activates	RELA 
E2F1	activates	CHEK1 
AKT1	activates	NRF1 
JAK2	activates	STAT1 
GSK3A	inhibits	NFATC1 
PRKACA	inhibits	NFATC1 
PPP1CB	inhibits	AKT1 
PRKACA	inhibits	WT1 
CDK2	inhibits	TP63 
GSK3A	inhibits	GATA6 
MAPK3	inhibits	MYB 
PTPRG	inhibits	JAK2 
CSNK2A1	inhibits	SPIB 
TP53	inhibits	ETS1 
FBXO22	inhibits	BACH1 
ZNF521	inhibits	EBF1 
CHEK1	activates	E2F3 
E2F1	activates	HDAC1 
MAPK3	inhibits	NFATC1 
CDK2	inhibits	E2F1 
JAK2	activates	PPP2CA 
Perturbation	inhibits	PEX14 
Perturbation	inhibits	SP4 
HDAC1	inhibits	TP53 
EGR1	activates	TP53 
MAPK3	activates	SMAD1 
MAPK3	activates	SMAD2 
AKT1	inhibits	GSK3A 
PPP1CB	activates	IKZF1 
PPP2CA	inhibits	ELF1 
PPP2CA	inhibits	MAPK3 
MAPK3	activates	RUNX2 
PRKACA	activates	TFAP2A 
CSNK2A1	activates	TWIST1 
CSNK2A1	activates	TFAP2A 
YAP1	activates	TEAD1 
CDK2	activates	TP53 
CSNK2A1	activates	MAZ 
SMAD1	activates	RUNX2 
STK11	activates	TP53 
MAPK3	activates	JUN 
CDK5	activates	TP53 
POU2AF1	activates	POU2F1 
JUN	activates	SPI1 
YAP1	activates	SMAD1 
AKT1	inhibits	YAP1 
CDK5	activates	CLOCK 
CSNK2A1	activates	TP53 
MAPK3	activates	CDK2 
MAPK3	activates	CSNK2A1 
MAPK3	activates	ATF2 
MAPK3	activates	TWIST1 
MAPK3	activates	MAZ 
MAPK3	activates	TP53 
CSNK2A1	activates	STX1A 
POU2AF1	activates	POU2F2 
CSNK2A1	activates	SRF 
CDK2	activates	FOXM1 
PPP2CA	inhibits	PRKACA 
PRKACA	activates	STK11 
STK11	activates	ETV4 
WT1	inhibits	TP53 
HDAC1	inhibits	KLF1 
HDAC1	inhibits	SMAD2 
SMAD2	activates	ZEB2 
SMAD2	activates	SMAD1 
TWIST1	activates	TP53 
RUNX2	activates	JUN 
STX1A	activates	CDK5 
PEX14	inhibits	NFE2 
JUN	activates	EGR1 
Perturbation	activates	E2F7 
Perturbation	activates	FBXO22 
Perturbation	activates	GFI1B 
Perturbation	activates	POU2AF1 
Perturbation	activates	PPP1CB 
Perturbation	activates	PTPRG 
Perturbation	activates	ZNF521 
Perturbation	activates	PEX14 
Perturbation	activates	SP4 
CSNK1D	activates	TP53 
CSNK1D	activates	CDK5 
Perturbation	inhibits	CSNK1D 
Perturbation	inhibits	E2F7 
Perturbation	inhibits	FBXO22 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	PPP1CB 
Perturbation	inhibits	PTPRG 
Perturbation	inhibits	ZNF521 
Perturbation	activates	CSNK1D 
PRKACA	activates	FYN 
FYN	activates	CDK5 
SOCS4	inhibits	JAK2 
Perturbation	activates	SOCS4 
MAPK3	activates	SMAD3 
SMAD3	activates	JUN 
SMAD3	activates	ZEB2 
HDAC1	inhibits	SMAD3 
Perturbation	inhibits	SOCS4 
