"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","21/30","481/2914",8.35752390579259e-11,4.00325395087465e-08,2.79757116004426e-08,"TWIST1/TP53/E2F1/AKT1/PRKACA/CDK2/MAPK3/CSNK2A1/ZNF521/CHEK1/HDAC1/PPP2CA/YAP1/SMAD1/STK11/CDK5/JUN/SMAD2/RUNX2/SOCS4/SMAD3",21
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","21/30","499/2914",1.72495240307197e-10,4.13126100535738e-08,2.88702560093099e-08,"TWIST1/TP53/E2F1/AKT1/PRKACA/CDK2/MAPK3/CSNK2A1/ZNF521/CHEK1/HDAC1/PPP2CA/YAP1/SMAD1/STK11/CDK5/JUN/SMAD2/RUNX2/SOCS4/SMAD3",21
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","12/30","191/2914",1.36190982369771e-07,2.17451601850402e-05,1.51960464538903e-05,"TP53/E2F1/AKT1/JAK2/PRKACA/PPP1CB/CDK2/MAPK3/CSNK2A1/HDAC1/PPP2CA/CSNK1D",12
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","9/30","95/2914",2.31184349653577e-07,2.76843258710158e-05,1.93464797867993e-05,"TP53/AKT1/CDK2/CSNK2A1/CHEK1/HDAC1/PPP2CA/STK11/CDK5",9
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","13/30","249/2914",3.05132550614455e-07,2.92316983488648e-05,2.04278212832414e-05,"TP53/E2F1/AKT1/JAK2/PRKACA/PPP1CB/CDK2/MAPK3/CSNK2A1/CHEK1/HDAC1/PPP2CA/CSNK1D",13
"R-HSA-6807070","R-HSA-6807070","PTEN Regulation","7/30","59/2914",1.37453373322772e-06,0.000105038911412085,7.34037442677574e-05,"TP53/AKT1/MAPK3/CSNK2A1/HDAC1/EGR1/JUN",7
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","11/30","194/2914",1.53501540685719e-06,0.000105038911412085,7.34037442677574e-05,"TP53/E2F1/AKT1/CDK2/CSNK2A1/CHEK1/HDAC1/PPP2CA/STK11/CDK5/JUN",11
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","7/30","62/2914",1.94022727682532e-06,0.000116171108199916,8.11831939513751e-05,"TWIST1/AKT1/MAPK3/ZNF521/YAP1/SMAD1/RUNX2",7
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","11/30","201/2914",2.19095589099455e-06,0.000116607541309599,8.14881840159376e-05,"TP53/AKT1/GSK3A/PRKACA/MAPK3/CSNK2A1/HDAC1/EGR1/PPP2CA/JUN/FYN",11
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","5/30","24/2914",3.0278458601832e-06,0.000145033816702775,0.000101353156161922,"MAPK3/ZNF521/YAP1/SMAD1/RUNX2",5
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","7/30","68/2914",3.66680978592637e-06,0.000159672898859885,0.000111583302576515,"TP53/E2F1/PRKACA/PPP1CB/CDK2/PPP2CA/CSNK1D",7
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","10/30","172/2914",4.2435510697664e-06,0.000169388413534842,0.000118372740367168,"TP53/AKT1/GSK3A/MAPK3/CSNK2A1/HDAC1/EGR1/PPP2CA/JUN/FYN",10
"R-HSA-8943724","R-HSA-8943724","Regulation of PTEN gene transcription","5/30","32/2914",1.35423152596788e-05,0.000498982231491243,0.000348700911139909,"TP53/MAPK3/HDAC1/EGR1/JUN",5
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","6/30","56/2914",1.59586765797274e-05,0.000546014720120674,0.000381568357319798,"TP53/CDK2/CSNK2A1/CHEK1/STK11/CDK5",6
"R-HSA-983231","R-HSA-983231","Factors involved in megakaryocyte development and platelet production","6/30","62/2914",2.89461051409272e-05,0.00092434562416694,0.000645955188408059,"TP53/JAK2/PRKACA/CDK2/HDAC1/CDK5",6
"R-HSA-8940973","R-HSA-8940973","RUNX2 regulates osteoblast differentiation","4/30","19/2914",3.1815307516916e-05,0.000952470768787672,0.000665609723051268,"MAPK3/ZNF521/YAP1/RUNX2",4
"R-HSA-69275","R-HSA-69275","G2/M Transition","6/30","66/2914",4.15744350568983e-05,0.00117142084660319,0.000818617359015086,"TP53/PRKACA/PPP1CB/CDK2/PPP2CA/CSNK1D",6
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","6/30","77/2914",0.000100264614397244,0.00266815279423776,0.00186457002212418,"E2F1/AKT1/JAK2/CDK2/HDAC1/PPP2CA",6
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","5/30","49/2914",0.000113447474476905,0.00286007054075986,0.00199868680795876,"AKT1/HDAC1/STK11/SMAD2/SMAD3",5
