"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","","1",1
"5","DNA_thresholded_400","","1",1
"6","DNA_thresholded_477","","1",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","PPP2R5B","0.977560542176415",1
"9","ERS_thresholded_200","PPP2R5B","0.999462217170608",1
"10","ERS_thresholded_300","PPP2R5B, CEBPB","0.999830317886077",1
"11","ERS_thresholded_400","PPP2R5B, CEBPB","0.999994135166898",1
"12","ERS_thresholded_477","PPP2R5B, CEBPB, CSNK2A1","0.999995720968969",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","HSP90AB1, MAPK1, MAPK3","0.980037515703531",1
"16","HTS_thresholded_300","HSP90AB1, MAPK1, MAPK3","0.998986697647173",1
"17","HTS_thresholded_400","HSP90AB1, MAPK1, MAPK3, SIRT1, CSNK2A1","0.998939231565714",1
"18","HTS_thresholded_477","HSP90AB1, MAPK1, MAPK3, SIRT1, CSNK2A1, AKT1","0.999516495901059",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","","1",1
"21","HYP_thresholded_200","","1",1
"22","HYP_thresholded_300","GRB10","0.999988478563568",1
"23","HYP_thresholded_400","GRB10, HDAC1, NR4A1","0.999958748442791",1
"24","HYP_thresholded_477","GRB10, HDAC1, NR4A1","0.999996730542802",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.999434818143584",1
"28","MTL_thresholded_300","CDK5","0.999984825264593",1
"29","MTL_thresholded_400","CDK5","0.999999544576622",1
"30","MTL_thresholded_477","CDK5","0.999999970758926",1
"31","OXD_thresholded_050","MYB, SRC","0.560100215338495",1
"32","OXD_thresholded_100","MYB, SRC","0.889578223538149",1
"33","OXD_thresholded_200","MYB, SRC, SMAD3","0.979810674213013",1
"34","OXD_thresholded_300","MYB, SRC, SMAD3, PAWR, PTPA","0.985697603518253",1
"35","OXD_thresholded_400","MYB, SRC, SMAD3, PAWR, PTPA","0.998866281071054",1
"36","OXD_thresholded_477","MYB, SRC, SMAD3, PAWR, PTPA, SIRT1","0.999428682392432",1
