"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CDK2","0.999288251787451",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1","0.988085274559827",1
"4","#upgenes.HYP_0","CDK1, FOS, HDAC1, TP53","0.821408469958175",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","MYB, ROCK2, SMAD3","0.753283156972927",1
"7","#upgenes.DNA_0.25","CDK2","0.998979161169459",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.979263103902436",1
"10","#upgenes.HYP_0.25","CDK1, FOS, HDAC1, TP53","0.761440205314537",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","SMAD3","0.973922844214022",1
"13","#upgenes.DNA_0.45","CDK2","0.997889772407456",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.960846486243726",1
"16","#upgenes.HYP_0.45","FOS","0.99090568725217",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SMAD3","0.954295950257471",1
"19","#upgenes.DNA_0.5","CDK2","0.997889772407456",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.960846486243726",1
"22","#upgenes.HYP_0.5","FOS","0.99090568725217",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SMAD3","0.954295950257471",1
"25","#upgenes.DNA_0.65","CDK2","0.990328518100603",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.896140029855014",1
"28","#upgenes.HYP_0.65","FOS","0.981606007164378",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.847342963230177",1
"31","#upgenes.DNA_0.75","CDK2","0.990328518100603",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","FOS","0.928773474305074",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.847342963230177",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","CDK2","0.999288251787451",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","CSNK2A1","0.988085274559827",1
