"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","22/29","481/2914",2.01371975729844e-12,8.27638820249661e-10,4.93891266790039e-10,"MAPK1/MEN1/SMAD3/ESR1/SMAD2/TP53/MAPK14/SIRT1/CSNK2A1/MAPK3/CDK2/CDK1/STK11/NR2C2AP/MYB/MED1/FOS/HIPK2/HDAC1/ABL1/CTNNB1/ZNF521",22
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","22/29","499/2914",4.37912184825086e-12,8.99909539815551e-10,5.37018626653921e-10,"MAPK1/MEN1/SMAD3/ESR1/SMAD2/TP53/MAPK14/SIRT1/CSNK2A1/MAPK3/CDK2/CDK1/STK11/NR2C2AP/MYB/MED1/FOS/HIPK2/HDAC1/ABL1/CTNNB1/ZNF521",22
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","4/29","10/2914",1.59616615967523e-06,0.000218674763875507,0.000130493584282221,"MAPK1/MAPK14/MAPK3/FOS",4
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","8/29","95/2914",2.31918630948204e-06,0.000238296393299279,0.000142202739502451,"TP53/MAPK14/CSNK2A1/CDK2/CDK1/STK11/HIPK2/HDAC1",8
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","8/29","99/2914",3.18172679140304e-06,0.000240088553324449,0.000143272206235361,"MAPK1/STAT3/CEBPB/TP53/MAPK14/MAPK3/CDK2/FOS",8
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","6/29","45/2914",3.50494238429853e-06,0.000240088553324449,0.000143272206235361,"MAPK1/STAT3/CEBPB/MAPK3/CDK2/FOS",6
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","14/29","397/2914",6.73046558894989e-06,0.000395174479579772,0.000235819320635387,"MAPK1/STAT3/CEBPB/SMAD3/SMAD2/MAPK14/CSNK2A1/MAPK3/CDK2/MYB/MED1/ABL1/CTNNB1/ROCK2",14
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","5/29","30/2914",8.16057909388282e-06,0.00041924975094823,0.000250186174851934,"MAPK1/MAPK14/MAPK3/DUSP7/FOS",5
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","6/29","56/2914",1.2957800070356e-05,0.00059173953654626,0.000353118996069352,"TP53/MAPK14/CSNK2A1/CDK2/STK11/HIPK2",6
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","6/29","62/2914",2.35449295681068e-05,0.000919158451387935,0.000548505363486718,"MAPK1/ESR1/MAPK3/CDK1/ABL1/ZNF521",6
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors","8/29","130/2914",2.46003478473657e-05,0.000919158451387935,0.000548505363486718,"MAPK1/MEN1/MAPK14/MAPK3/PLK1/ABL1/CTNNB1/ROCK2",8
"R-HSA-8940973","R-HSA-8940973","RUNX2 regulates osteoblast differentiation","4/29","19/2914",2.76877588288134e-05,0.000948305739886858,0.000565898930448554,"MAPK1/MAPK3/ABL1/ZNF521",4
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","4/29","21/2914",4.21675713098199e-05,0.00131043094278904,0.000781996183044811,"MAPK1/MAPK14/MAPK3/DUSP7",4
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","9/29","187/2914",4.96705119297545e-05,0.00131043094278904,0.000781996183044811,"MAPK1/STAT3/CEBPB/TP53/MAPK14/SIRT1/MAPK3/CDK2/FOS",9
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","9/29","189/2914",5.40693796231285e-05,0.00131043094278904,0.000781996183044811,"MAPK1/STAT3/CEBPB/TP53/MAPK14/SIRT1/MAPK3/CDK2/FOS",9
"R-HSA-2559580","R-HSA-2559580","Oxidative Stress Induced Senescence","5/29","44/2914",5.64488272236916e-05,0.00131043094278904,0.000781996183044811,"MAPK1/TP53/MAPK14/MAPK3/FOS",5
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","9/29","191/2914",5.87955305834705e-05,0.00131043094278904,0.000781996183044811,"MAPK1/TP53/CSNK2A1/MAPK3/CDK2/CDK1/PLK1/HDAC1/ABL1",9
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","4/29","23/2914",6.1533775146921e-05,0.00131043094278904,0.000781996183044811,"MAPK1/MAPK3/DUSP7/CDK1",4
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","7/29","108/2914",6.28824927320196e-05,0.00131043094278904,0.000781996183044811,"MAPK1/ESR1/MAPK3/MYB/MED1/FOS/HDAC1",7
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","9/29","194/2914",6.65415236721562e-05,0.00131043094278904,0.000781996183044811,"TP53/MAPK14/CSNK2A1/CDK2/CDK1/STK11/FOS/HIPK2/HDAC1",9
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","4/29","24/2914",7.33331184529147e-05,0.00131043094278904,0.000781996183044811,"MAPK1/MAPK14/MAPK3/DUSP7",4
"R-HSA-2173796","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","4/29","24/2914",7.33331184529147e-05,0.00131043094278904,0.000781996183044811,"MEN1/SMAD3/SMAD2/HDAC1",4
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","4/29","24/2914",7.33331184529147e-05,0.00131043094278904,0.000781996183044811,"MAPK1/MAPK3/ABL1/ZNF521",4
"R-HSA-9018519","R-HSA-9018519","Estrogen-dependent gene expression","5/29","49/2914",9.57438703718057e-05,0.00157402922891249,0.000939297759858135,"ESR1/MYB/MED1/FOS/HDAC1",5
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","5/29","49/2914",9.57438703718057e-05,0.00157402922891249,0.000939297759858135,"SMAD3/SMAD2/SIRT1/STK11/HDAC1",5
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","4/29","27/2914",0.000118637994555281,0.00187539291393155,0.00111913573811257,"STAT3/CEBPB/CDK2/MYB",4
"R-HSA-8878171","R-HSA-8878171","Transcriptional regulation by RUNX1","6/29","86/2914",0.000152693411814678,0.00232433304651231,0.00138703956931072,"ESR1/CSNK2A1/MYB/HIPK2/HDAC1/ABL1",6
"R-HSA-202670","R-HSA-202670","ERKs are inactivated","3/29","12/2914",0.000183682911785013,0.00269620274084429,0.00160895182127473,"MAPK1/MAPK3/DUSP7",3
"R-HSA-3769402","R-HSA-3769402","Deactivation of the beta-catenin transactivating complex","4/29","31/2914",0.000206917372111399,0.00293251861854431,0.00174997269335594,"MEN1/CTBP1/HDAC1/CTNNB1",4
"R-HSA-6807070","R-HSA-6807070","PTEN Regulation","5/29","59/2914",0.000234543422728405,0.00311368601186814,0.00185808385392566,"MAPK1/TP53/CSNK2A1/MAPK3/HDAC1",5
"R-HSA-8943724","R-HSA-8943724","Regulation of PTEN gene transcription","4/29","32/2914",0.000234852229605626,0.00311368601186814,0.00185808385392566,"MAPK1/TP53/MAPK3/HDAC1",4
"R-HSA-450294","R-HSA-450294","MAP kinase activation","5/29","60/2914",0.000254098328440732,0.00326357540591065,0.00194752995153587,"MAPK1/MAPK14/MAPK3/DUSP7/FOS",5
"R-HSA-68875","R-HSA-68875","Mitotic Prophase","4/29","33/2914",0.000265409510367935,0.00328973336935987,0.0019631396467175,"MAPK1/MAPK3/CDK1/PLK1",4
"R-HSA-9006931","R-HSA-9006931","Signaling by Nuclear Receptors","7/29","136/2914",0.000272143393085731,0.00328973336935987,0.0019631396467175,"MAPK1/ESR1/MAPK3/MYB/MED1/FOS/HDAC1",7
"R-HSA-983231","R-HSA-983231","Factors involved in megakaryocyte development and platelet production","5/29","62/2914",0.000296920219525771,0.00348669172071691,0.00208067401953397,"TP53/CDK2/MYB/HDAC1/ABL1",5
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","5/29","64/2914",0.000345031504328448,0.00393910967441645,0.00235065323124352,"MAPK1/MAPK14/MAPK3/DUSP7/FOS",5
"R-HSA-2173793","R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","4/29","36/2914",0.000374240668934872,0.00415710580897925,0.00248074184528663,"MEN1/SMAD3/SMAD2/HDAC1",4
"R-HSA-5668599","R-HSA-5668599","RHO GTPases Activate NADPH Oxidases","3/29","16/2914",0.000455176995602401,0.00470271030407953,0.00280632987796268,"MAPK1/MAPK14/MAPK3",3
"R-HSA-8852276","R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint","3/29","16/2914",0.000455176995602401,0.00470271030407953,0.00280632987796268,"TP53/CDK1/PLK1",3
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","9/29","249/2914",0.000457684701126961,0.00470271030407953,0.00280632987796268,"MAPK1/TP53/CSNK2A1/MAPK3/CDK2/CDK1/PLK1/HDAC1/ABL1",9
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","5/29","70/2914",0.000525376397874366,0.0052665780372284,0.00314281644941533,"MAPK1/STAT3/MAPK14/MAPK3/DUSP7",5
"R-HSA-69273","R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition","3/29","18/2914",0.000654423441206514,0.00640400081752088,0.00382157047120596,"CDK2/CDK1/PLK1",3
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","3/29","19/2914",0.000771936381652332,0.00721058756497974,0.00430289896949745,"CDK2/CDK1/HDAC1",3
"R-HSA-9615017","R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","3/29","19/2914",0.000771936381652332,0.00721058756497974,0.00430289896949745,"SMAD3/SMAD2/HDAC1",3
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","9/29","268/2914",0.000790754598432134,0.00722222533234683,0.00430984377625,"MAPK1/STAT3/SMAD3/ESR1/SMAD2/MAPK3/CTBP1/HDAC1/CTNNB1",9
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","5/29","78/2914",0.000866928780403749,0.00741521947941925,0.00442501252069326,"MAPK1/MAPK14/MAPK3/DUSP7/FOS",5
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","5/29","78/2914",0.000866928780403749,0.00741521947941925,0.00442501252069326,"MAPK1/MAPK14/MAPK3/DUSP7/FOS",5
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","5/29","78/2914",0.000866928780403749,0.00741521947941925,0.00442501252069326,"MAPK1/MAPK14/MAPK3/DUSP7/FOS",5
"R-HSA-2173795","R-HSA-2173795","Downregulation of SMAD2/3:SMAD4 transcriptional activity","3/29","20/2914",0.000902094827179957,0.00741521947941925,0.00442501252069326,"SMAD3/SMAD2/HDAC1",3
"R-HSA-445144","R-HSA-445144","Signal transduction by L1","3/29","20/2914",0.000902094827179957,0.00741521947941925,0.00442501252069326,"MAPK1/CSNK2A1/MAPK3",3
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","5/29","83/2914",0.00115163304501239,0.0090327642444785,0.00539027806111792,"MAPK1/MAPK14/MAPK3/DUSP7/FOS",5
"R-HSA-201722","R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","3/29","22/2914",0.00120240004597059,0.0090327642444785,0.00539027806111792,"MEN1/HDAC1/CTNNB1",3
"R-HSA-525793","R-HSA-525793","Myogenesis","3/29","22/2914",0.00120240004597059,0.0090327642444785,0.00539027806111792,"MAPK14/ABL1/CTNNB1",3
