"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CARM1","0.999342773681118",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1","0.988651324260695",1
"4","#upgenes.HYP_0","JUN, NFKB1, NFKB2, TP53","0.827846145510839",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","SMAD3","0.982664376015086",1
"7","#upgenes.DNA_0.25","CARM1","0.999053618608179",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.980127712527857",1
"10","#upgenes.HYP_0.25","JUN, NFKB1, NFKB2, TP53","0.76885180423011",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","SMAD3","0.974947653031836",1
"13","#upgenes.DNA_0.45","CARM1","0.998028011108377",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.962216215468218",1
"16","#upgenes.HYP_0.45","JUN, NFKB2","0.948733918369137",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SMAD3","0.955820360559387",1
"19","#upgenes.DNA_0.5","CARM1","0.998028011108377",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.962216215468218",1
"22","#upgenes.HYP_0.5","JUN, NFKB2","0.948733918369137",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SMAD3","0.955820360559387",1
"25","#upgenes.DNA_0.65","","1",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.898693291530092",1
"28","#upgenes.HYP_0.65","JUN, NFKB2","0.908791685259215",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.85046510761853",1
"31","#upgenes.DNA_0.75","","1",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","JUN, NFKB2","0.740858301872856",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.85046510761853",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","JUN","0.789744890101071",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
