"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","CHEK2","0.999999994099782",1
"2","DNA_thresholded_100","CHEK2","1",1
"3","DNA_thresholded_200","CHEK2","1",1
"4","DNA_thresholded_300","CHEK2, YY1, CDK2","1",1
"5","DNA_thresholded_400","CHEK2, YY1, CDK2","1",1
"6","DNA_thresholded_477","CHEK2, YY1, CDK2","1",1
"7","ERS_thresholded_050","GSK3A","0.999999993601351",1
"8","ERS_thresholded_100","GSK3A, CDK5RAP3","0.999999999999998",1
"9","ERS_thresholded_200","GSK3A, CDK5RAP3","1",1
"10","ERS_thresholded_300","GSK3A, CDK5RAP3, CEBPB, CKS1B, EP300, CSNK2B","1",1
"11","ERS_thresholded_400","GSK3A, CDK5RAP3, CEBPB, CKS1B, EP300, CSNK2B","1",1
"12","ERS_thresholded_477","GSK3A, CDK5RAP3, CEBPB, CKS1B, EP300, CSNK2B, CSNK2A1","1",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","MAPKAPK2","1",1
"15","HTS_thresholded_200","MAPKAPK2, MAPK1, MAPK3","1",1
"16","HTS_thresholded_300","MAPKAPK2, MAPK1, MAPK3, CSNK2B","1",1
"17","HTS_thresholded_400","MAPKAPK2, MAPK1, MAPK3, CSNK2B, SIRT1, CSNK2A1, EP300","1",1
"18","HTS_thresholded_477","MAPKAPK2, MAPK1, MAPK3, CSNK2B, SIRT1, CSNK2A1, EP300, NPM1","1",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","","1",1
"21","HYP_thresholded_200","","1",1
"22","HYP_thresholded_300","","1",1
"23","HYP_thresholded_400","HDAC1, NR4A1","1",1
"24","HYP_thresholded_477","HDAC1, NR4A1, NOTCH1, GADD45G","1",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","ROCK2, SMAD3","1",1
"34","OXD_thresholded_300","ROCK2, SMAD3, STAT1","1",1
"35","OXD_thresholded_400","ROCK2, SMAD3, STAT1","1",1
"36","OXD_thresholded_477","ROCK2, SMAD3, STAT1, SIRT1","1",1
