"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","","1",1
"5","DNA_thresholded_400","E2F7","0.999999998639686",1
"6","DNA_thresholded_477","E2F7","0.999999999971991",1
"7","ERS_thresholded_050","FGF21","0.922975258663416",1
"8","ERS_thresholded_100","FGF21","0.993991665143854",1
"9","ERS_thresholded_200","FGF21","0.999960549433091",1
"10","ERS_thresholded_300","FGF21","0.999999735164295",1
"11","ERS_thresholded_400","FGF21","0.999999998031703",1
"12","ERS_thresholded_477","FGF21, CSNK2A1","0.99999999876666",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","FGF16, HSP90AA1, MAPK1, MAPK3","0.990348042371678",1
"16","HTS_thresholded_300","FGF16, HSP90AA1, MAPK1, MAPK3","0.999799499248012",1
"17","HTS_thresholded_400","FGF16, HSP90AA1, MAPK1, MAPK3, CSNK2A1, SUMO1","0.999917294636906",1
"18","HTS_thresholded_477","FGF16, HSP90AA1, MAPK1, MAPK3, CSNK2A1, SUMO1, AKT1","0.999981294461612",1
"19","HYP_thresholded_050","DUSP14, PGF","0.71964334816323",1
"20","HYP_thresholded_100","DUSP14, PGF","0.962771657105923",1
"21","HYP_thresholded_200","DUSP14, PGF, TRAF6","0.997541353214788",1
"22","HYP_thresholded_300","DUSP14, PGF, TRAF6, GRB10, PDGFC","0.999170378278966",1
"23","HYP_thresholded_400","DUSP14, PGF, TRAF6, GRB10, PDGFC, EFNA1","0.999923642499279",1
"24","HYP_thresholded_477","DUSP14, PGF, TRAF6, GRB10, PDGFC, EFNA1, NOTCH1","0.99998297627501",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","SRC","0.923141232604218",1
"32","OXD_thresholded_100","SRC, ANGPT4","0.962055132237645",1
"33","OXD_thresholded_200","SRC, ANGPT4, PTN, SMAD3, VEGFD","0.971112296929655",1
"34","OXD_thresholded_300","SRC, ANGPT4, PTN, SMAD3, VEGFD","0.999132959690092",1
"35","OXD_thresholded_400","SRC, ANGPT4, PTN, SMAD3, VEGFD","0.999979728754517",1
"36","OXD_thresholded_477","SRC, ANGPT4, PTN, SMAD3, VEGFD","0.99999898350528",1
