X1	X3	X2
NOTCH1	activates	PAX8 
NOTCH1	activates	SOX2 
E2F7	inhibits	SP1 
MAPK3	activates	HIF1A 
MAPK14	inhibits	MAPK3 
SMAD3	activates	ESR1 
SMAD3	activates	NOTCH1 
MAPK3	activates	SMAD3 
SMAD3	activates	MEF2C 
NOTCH1	activates	MEF2C 
NOTCH1	activates	HIF1A 
NR0B2	inhibits	ONECUT1 
MAPK3	activates	ETS1 
AKT1	inhibits	FOXO3 
MAPK1	inhibits	FOXO3 
MAPK1	inhibits	MYB 
HOXB8	activates	PBX3 
MAPK3	activates	ESR1 
MAPK1	inhibits	STK11 
MAPK3	activates	SP1 
NFIB	inhibits	NFIC 
MAPK1	inhibits	CEBPA 
CEBPA	activates	USF1 
KDM6A	inhibits	FLI1 
MAPK3	activates	ATF2 
NR0B2	inhibits	CEBPA 
CREBZF	activates	ATF4 
STK11	activates	ETV4 
RB1	inhibits	TAF1 
SMAD3	activates	ZEB2 
STAT3	inhibits	HIF1A 
PEX14	inhibits	NFE2 
Perturbation	inhibits	CREBZF 
Perturbation	inhibits	DUSP7 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	HOXB8 
Perturbation	inhibits	KLF6 
Perturbation	inhibits	MEIS2 
Perturbation	inhibits	USF2 
KDM6A	activates	RB1 
MAPK1	activates	STAT3 
AKT1	activates	NRF1 
MAPK1	activates	SMAD2 
SMAD2	activates	SMAD4 
MAPK14	activates	MAX 
MAPK14	activates	STAT3 
NR0B2	activates	ESRRA 
DUSP7	inhibits	MAPK1 
MAPK1	activates	SMAD4 
SMAD3	inhibits	FOXA1 
DUSP7	inhibits	MAPK14 
MAPK1	activates	E2F1 
FOXA1	activates	NFIB 
PDPK2P	activates	AKT1 
SMAD4	activates	CTCF 
Perturbation	activates	E2F6 
Perturbation	activates	E2F7 
Perturbation	activates	KDM6A 
Perturbation	activates	NR0B2 
Perturbation	activates	PDPK2P 
Perturbation	activates	PEX14 
MAPK14	activates	USF1 
MAPK14	activates	ATF2 
MAPK14	activates	MEF2C 
MAPK14	activates	SMAD3 
MAPK14	activates	CSNK2A1 
MAPK3	inhibits	MYB 
DUSP9	inhibits	MAPK14 
MAPK3	inhibits	STK11 
CSNK2A1	activates	ESR1 
MAPK14	activates	ESR1 
MAPK14	activates	FOXO3 
MAPK3	inhibits	FOXO3 
MAPK3	inhibits	CEBPA 
MAPK14	activates	ETS1 
Perturbation	activates	CREBZF 
Perturbation	activates	GFI1B 
Perturbation	activates	HOXB8 
Perturbation	activates	KLF6 
Perturbation	activates	MEIS2 
Perturbation	activates	USF2 
MAPK3	activates	STAT3 
MAPK3	activates	SMAD2 
DUSP9	activates	MAPK3 
MAPK3	activates	SMAD4 
CSNK2A1	inhibits	MAX 
MAPK3	activates	E2F1 
MAPK14	inhibits	RB1 
KITLG	activates	STAT3 
KITLG	activates	AKT1 
Perturbation	inhibits	DUSP9 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	E2F7 
Perturbation	inhibits	KDM6A 
Perturbation	inhibits	KITLG 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	PEX14 
MAPK1	activates	HIF1A 
MAPK14	inhibits	MAPK1 
MAPK1	activates	SMAD3 
MAPK1	activates	ESR1 
MAPK1	activates	SP1 
MAPK1	activates	ATF2 
MAPK1	activates	ETS1 
RET	activates	STAT3 
RET	activates	MAPK14 
RET	activates	AKT1 
RET	activates	MAPK3 
VEGFC	activates	RET 
Perturbation	activates	VEGFC 
ANGPT4	activates	RET 
Perturbation	activates	ANGPT4 
CSNK2A1	inhibits	SP1 
CSNK2A1	activates	AKT1 
MAPK3	activates	CSNK2A1 
DUSP7	inhibits	MAPK3 
HSP90AA1	inhibits	HIF1A 
STAT3	activates	HSP90AA1 
HSP90AA1	activates	AKT1 
MAPK3	inhibits	PPP2R5C 
DUSP14	inhibits	MAPK14 
PPP2R5C	inhibits	AKT1 
Perturbation	activates	DUSP14 
MAPK1	inhibits	PPP2R5C 
FGF9	activates	RET 
Perturbation	activates	FGF9 
FGF19	activates	RET 
FGF19	activates	MAPK3 
Perturbation	activates	FGF19 
PTPRB	inhibits	MAPK1 
MAPK1	activates	CSNK2A1 
PTPRB	activates	MAPK3 
Perturbation	activates	KITLG 
Perturbation	activates	PTPRB 
DUSP26	inhibits	MAPK14 
Perturbation	inhibits	DUSP26 
DUSP9	activates	MAPK1 
DUSP2	activates	MAPK1 
Perturbation	inhibits	DUSP2 
DUSP2	inhibits	MAPK3 
DUSP10	inhibits	MAPK14 
Perturbation	inhibits	DUSP10 
TRAF6	inhibits	MYB 
CREB1	activates	SMAD3 
MAPK14	inhibits	CREB1 
CREB1	activates	TAF1 
PRKCD	inhibits	FLI1 
MAPK3	activates	CREB1 
PRKCD	inhibits	MAPK3 
TRAF6	activates	AKT1 
SUMO1	activates	TRAF6 
SUMO1	activates	CTCF 
TRAF6	activates	MAPK14 
PRKCD	activates	STAT3 
PIAS2	activates	SUMO1 
AKT1	activates	PRKCD 
PRKCD	activates	MAPK1 
Perturbation	activates	PIAS2 
Perturbation	activates	DUSP7 
Perturbation	activates	DUSP10 
PDGFC	activates	RET 
Perturbation	activates	PDGFC 
FGF7	activates	RET 
Perturbation	inhibits	FGF7 
FLT3LG	activates	RET 
Perturbation	inhibits	FLT3LG 
EFNA3	activates	RET 
Perturbation	inhibits	EFNA3 
VEGFB	activates	RET 
Perturbation	inhibits	VEGFB 
DUSP8	activates	MAPK14 
Perturbation	activates	DUSP8 
MAPK1	activates	GRB10 
GRB10	activates	AKT1 
DUSP8	inhibits	MAPK1 
FGF22	activates	RET 
Perturbation	inhibits	FGF22 
Perturbation	inhibits	VEGFC 
FGF17	activates	RET 
Perturbation	inhibits	FGF17 
Perturbation	inhibits	FGF9 
EFNA1	activates	RET 
Perturbation	inhibits	EFNA1 
FGF20	activates	RET 
Perturbation	inhibits	FGF20 
EFNA4	activates	RET 
Perturbation	inhibits	EFNA4 
Perturbation	inhibits	PTPRB 
MAPK1	inhibits	IRS1 
IRS1	activates	AKT1 
NTF4	activates	RET 
Perturbation	inhibits	NTF4 
EFNA5	activates	RET 
Perturbation	inhibits	EFNA5 
DUSP8	inhibits	MAPK3 
SRC	activates	STAT3 
PTPN21	activates	SRC 
SRC	activates	AKT1 
SRC	activates	MAPK14 
SRC	activates	MAPK1 
Perturbation	activates	PTPN21 
PTPN13	activates	SRC 
Perturbation	activates	PTPN13 
Perturbation	inhibits	PPP2R2C 
PPP2R2C	inhibits	SRC 
PTN	activates	SRC 
Perturbation	activates	PTN 
Perturbation	inhibits	PRKCH 
PRKCH	inhibits	SRC 
RET	activates	MAPK1 
FGF19	activates	MAPK1 
FGF6	activates	RET 
Perturbation	activates	FGF6 
FGF16	activates	RET 
Perturbation	activates	FGF16 
FGF4	activates	RET 
Perturbation	activates	FGF4 
Perturbation	activates	NTF4 
VEGFD	activates	RET 
Perturbation	activates	VEGFD 
Perturbation	activates	EFNA1 
Perturbation	activates	EFNA5 
Perturbation	activates	FGF7 
FGF5	activates	RET 
Perturbation	activates	FGF5 
Perturbation	activates	DUSP2 
Perturbation	activates	FGF22 
PGF	activates	RET 
Perturbation	inhibits	PGF 
Perturbation	inhibits	DUSP14 
DUSP2	activates	MAPK14 
DUSP10	inhibits	MAPK1 
MAPK1	activates	RPS6KA3 
RPS6KA3	activates	ATF4 
RPS6KA3	activates	ESR1 
RPS6KA3	inhibits	IRS1 
FGF18	activates	RET 
Perturbation	inhibits	FGF18 
MAPK3	inhibits	IRS1 
FGF21	activates	RET 
Perturbation	inhibits	FGF21 
DUSP14	inhibits	MAPK3 
PTK6	activates	STAT3 
PTK6	activates	AKT1 
Perturbation	inhibits	PTK6 
Perturbation	inhibits	PDGFC 
EFNA2	activates	RET 
Perturbation	inhibits	EFNA2 
Perturbation	activates	PTK6 
Perturbation	inhibits	FGF16 
Perturbation	inhibits	DUSP8 
NR0B2	activates	RARB 
RARB	activates	AKT1 
PTPRB	inhibits	INSR 
INSR	activates	AKT1 
