"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-74751","R-HSA-74751","Insulin receptor signalling cascade","17/68","52/2914",2.58877205527313e-16,6.66608804232831e-14,4.65978969949164e-14,"MAPK3/MAPK1/FGF9/FGF19/FGF7/FLT3LG/GRB10/FGF22/FGF17/FGF20/IRS1/FGF6/FGF16/FGF4/FGF5/FGF18/INSR",17
"R-HSA-74752","R-HSA-74752","Signaling by Insulin receptor","17/68","52/2914",2.58877205527313e-16,6.66608804232831e-14,4.65978969949164e-14,"MAPK3/MAPK1/FGF9/FGF19/FGF7/FLT3LG/GRB10/FGF22/FGF17/FGF20/IRS1/FGF6/FGF16/FGF4/FGF5/FGF18/INSR",17
"R-HSA-6811558","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","20/68","92/2914",2.8684051817418e-15,4.92409556199009e-13,3.44208621809016e-13,"MAPK3/AKT1/MAPK1/KITLG/PPP2R5C/FGF9/FGF19/TRAF6/FGF7/FGF22/FGF17/FGF20/IRS1/SRC/FGF6/FGF16/FGF4/FGF5/FGF18/INSR",20
"R-HSA-9006934","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","34/68","347/2914",5.45144873653536e-15,7.01874024828928e-13,4.90630386288183e-13,"MAPK3/MAPK14/AKT1/MAPK1/STAT3/DUSP7/KITLG/VEGFC/HSP90AA1/FGF9/FGF19/CREB1/PRKCD/PDGFC/FGF7/FLT3LG/VEGFB/GRB10/FGF22/FGF17/FGF20/IRS1/NTF4/SRC/FGF6/FGF16/FGF4/VEGFD/FGF5/PGF/RPS6KA3/FGF18/PTK6/INSR",34
"R-HSA-199418","R-HSA-199418","Negative regulation of the PI3K/AKT network","20/68","99/2914",1.31445728255063e-14,1.35389100102715e-12,9.46409243436453e-13,"MAPK3/AKT1/MAPK1/KITLG/PPP2R5C/FGF9/FGF19/TRAF6/FGF7/FGF22/FGF17/FGF20/IRS1/SRC/FGF6/FGF16/FGF4/FGF5/FGF18/INSR",20
"R-HSA-5654727","R-HSA-5654727","Negative regulation of FGFR2 signaling","13/68","32/2914",4.54973264063628e-14,3.90518718321281e-12,2.72983958438177e-12,"MAPK3/MAPK1/FGF9/FGF7/FGF22/FGF17/FGF20/SRC/FGF6/FGF16/FGF4/FGF5/FGF18",13
"R-HSA-5673001","R-HSA-5673001","RAF/MAP kinase cascade","24/68","171/2914",9.23064674701111e-14,6.79111867815817e-12,4.74718975560571e-12,"MAPK3/MAPK1/DUSP7/DUSP9/KITLG/RET/PPP2R5C/FGF9/FGF19/DUSP2/DUSP10/FGF7/FLT3LG/DUSP8/FGF22/FGF17/FGF20/IRS1/SRC/FGF6/FGF16/FGF4/FGF5/FGF18",24
"R-HSA-5684996","R-HSA-5684996","MAPK1/MAPK3 signaling","24/68","177/2914",2.04461972974215e-13,1.31622395102151e-11,9.20078878383966e-12,"MAPK3/MAPK1/DUSP7/DUSP9/KITLG/RET/PPP2R5C/FGF9/FGF19/DUSP2/DUSP10/FGF7/FLT3LG/DUSP8/FGF22/FGF17/FGF20/IRS1/SRC/FGF6/FGF16/FGF4/FGF5/FGF18",24
"R-HSA-2033519","R-HSA-2033519","Activated point mutants of FGFR2","10/68","17/2914",4.1519084207478e-13,2.37581426298346e-11,1.66076336829912e-11,"FGF9/FGF7/FGF22/FGF17/FGF20/FGF6/FGF16/FGF4/FGF5/FGF18",10
"R-HSA-9607240","R-HSA-9607240","FLT3 Signaling","24/68","188/2914",8.10043558467244e-13,3.93631131539221e-11,2.75159625930329e-11,"MAPK3/MAPK1/DUSP7/DUSP9/KITLG/RET/PPP2R5C/FGF9/FGF19/DUSP2/DUSP10/FGF7/FLT3LG/DUSP8/FGF22/FGF17/FGF20/IRS1/SRC/FGF6/FGF16/FGF4/FGF5/FGF18",24
"R-HSA-190241","R-HSA-190241","FGFR2 ligand binding and activation","10/68","18/2914",9.17198753101098e-13,3.93631131539221e-11,2.75159625930329e-11,"FGF9/FGF7/FGF22/FGF17/FGF20/FGF6/FGF16/FGF4/FGF5/FGF18",10
"R-HSA-5654221","R-HSA-5654221","Phospholipase C-mediated cascade; FGFR2","10/68","18/2914",9.17198753101098e-13,3.93631131539221e-11,2.75159625930329e-11,"FGF9/FGF7/FGF22/FGF17/FGF20/FGF6/FGF16/FGF4/FGF5/FGF18",10
"R-HSA-109704","R-HSA-109704","PI3K Cascade","13/68","42/2914",2.7957234357121e-12,1.10753659183979e-10,7.7420033604335e-11,"FGF9/FGF19/FGF7/FLT3LG/FGF22/FGF17/FGF20/IRS1/FGF6/FGF16/FGF4/FGF5/FGF18",13
"R-HSA-5683057","R-HSA-5683057","MAPK family signaling cascades","24/68","202/2914",4.08117100794557e-12,1.50128790649426e-10,1.04944397347172e-10,"MAPK3/MAPK1/DUSP7/DUSP9/KITLG/RET/PPP2R5C/FGF9/FGF19/DUSP2/DUSP10/FGF7/FLT3LG/DUSP8/FGF22/FGF17/FGF20/IRS1/SRC/FGF6/FGF16/FGF4/FGF5/FGF18",24
"R-HSA-190236","R-HSA-190236","Signaling by FGFR","14/68","55/2914",7.36217433804582e-12,2.45947551412015e-10,1.71924501957913e-10,"MAPK3/MAPK1/FGF9/FGF19/FGF7/FGF22/FGF17/FGF20/SRC/FGF6/FGF16/FGF4/FGF5/FGF18",14
"R-HSA-5654733","R-HSA-5654733","Negative regulation of FGFR4 signaling","11/68","28/2914",7.64108897590727e-12,2.45947551412015e-10,1.71924501957913e-10,"MAPK3/MAPK1/FGF9/FGF19/FGF17/FGF20/SRC/FGF6/FGF16/FGF4/FGF18",11
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","22/68","172/2914",9.32007941775172e-12,2.82343582361302e-10,1.97366387670036e-10,"MAPK3/AKT1/MAPK1/CSNK2A1/KITLG/PPP2R5C/FGF9/FGF19/TRAF6/CREB1/FGF7/FGF22/FGF17/FGF20/IRS1/SRC/FGF6/FGF16/FGF4/FGF5/FGF18/INSR",22
"R-HSA-112399","R-HSA-112399","IRS-mediated signalling","13/68","46/2914",1.0379302613875e-11,2.96963380341424e-10,2.075860522775e-10,"FGF9/FGF19/FGF7/FLT3LG/FGF22/FGF17/FGF20/IRS1/FGF6/FGF16/FGF4/FGF5/FGF18",13
