"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1","0.84828016147467",1
"2","DNA_thresholded_100","BRCA1","0.976985390250934",1
"3","DNA_thresholded_200","BRCA1","0.999452913025286",1
"4","DNA_thresholded_300","BRCA1, CDK2","0.999829072722016",1
"5","DNA_thresholded_400","BRCA1, CDK2","0.999994446373233",1
"6","DNA_thresholded_477","BRCA1, CDK2","0.99999961408644",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","EP300","0.999984635958317",1
"11","ERS_thresholded_400","EP300","0.99999957496788",1
"12","ERS_thresholded_477","EP300","0.999999973031335",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA","0.976592852254003",1
"15","HTS_thresholded_200","PRKACA, MAPK1, MAPK3","0.978325556675237",1
"16","HTS_thresholded_300","PRKACA, MAPK1, MAPK3","0.998841600232433",1
"17","HTS_thresholded_400","PRKACA, MAPK1, MAPK3, EP300, SUMO1","0.99875740580806",1
"18","HTS_thresholded_477","PRKACA, MAPK1, MAPK3, EP300, SUMO1, AKT1","0.999418628183812",1
"19","HYP_thresholded_050","RPS6KA5","0.847233440129272",1
"20","HYP_thresholded_100","RPS6KA5","0.976740418334821",1
"21","HYP_thresholded_200","RPS6KA5, TRAF6","0.995117455196611",1
"22","HYP_thresholded_300","RPS6KA5, TRAF6","0.9998251149085",1
"23","HYP_thresholded_400","RPS6KA5, TRAF6, HDAC1","0.999950292528192",1
"24","HYP_thresholded_477","RPS6KA5, TRAF6, HDAC1, NOTCH1","0.999972541717127",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","SRC","0.847072446587756",1
"32","OXD_thresholded_100","SRC","0.976345940489259",1
"33","OXD_thresholded_200","SRC, PTN, ROCK2, SMAD3","0.934753943002944",1
"34","OXD_thresholded_300","SRC, PTN, ROCK2, SMAD3, PAWR, STAT1","0.959226588235698",1
"35","OXD_thresholded_400","SRC, PTN, ROCK2, SMAD3, PAWR, STAT1","0.995609793625956",1
"36","OXD_thresholded_477","SRC, PTN, ROCK2, SMAD3, PAWR, STAT1","0.999315190533843",1
