X1	X3	X2
CSNK2A1	activates	CTNNB1 
RB1	activates	HIF1A 
CTNNB1	activates	FOXO4 
CTNNB1	activates	TCF7L2 
SMAD2	activates	TCF7L2 
SMAD3	activates	TCF7L2 
MAPK3	activates	HIF1A 
MAPK14	inhibits	EGFR 
SMAD2	activates	SP1 
EGFR	activates	STAT5A 
MAPK14	inhibits	MAPK3 
CTNNB1	activates	LEF1 
CTNNB1	activates	TCF7 
MAPK3	activates	ELK1 
MAPK3	activates	SMAD3 
MAPK3	activates	SMAD2 
SMAD3	activates	LEF1 
SMAD2	activates	LEF1 
CREB1	activates	FOXO4 
CREB1	activates	SMAD3 
MAPK3	activates	STAT5A 
NR0B2	activates	HNF4A 
VDR	activates	CTNNB1 
MAPK14	inhibits	CREB1 
CTNNB1	activates	TCF4 
SMAD2	activates	CREB1 
CREB1	activates	CTNNB1 
CSNK2A1	activates	LEF1 
NR0B2	activates	ESRRA 
TCF7	activates	LEF1 
PRKAA1	inhibits	HNF4A 
PRKAA1	inhibits	POU2F1 
PRKAA1	inhibits	RB1 
MAPK3	activates	RUNX2 
CSNK2A2	inhibits	SPIB 
CSNK2A1	activates	ATF1 
RPS6KA5	inhibits	STK11 
SOX6	inhibits	CTNNB1 
MAPK3	activates	SP1 
PCGF2	inhibits	UBE2I 
CSNK2A1	activates	HDAC1 
CDK5	activates	CLOCK 
CSNK2A1	activates	VDR 
EGFR	activates	STAT1 
MAPK3	activates	CDK2 
MAPK3	activates	CSNK2A1 
MAPK14	inhibits	RB1 
MAPK3	activates	SREBF2 
CSNK2A1	activates	STX1A 
PPARG	inhibits	HDAC1 
EGFR	activates	CTNNB1 
CDK2	activates	FOXM1 
UBE2I	activates	HDAC1 
MAPK3	activates	CREB1 
STK11	activates	ETV4 
SMAD2	activates	SMAD3 
RB1	activates	SP1 
SMAD3	activates	E2F4 
SMAD2	activates	E2F4 
STX1A	activates	CDK5 
Perturbation	activates	DUSP26 
Perturbation	activates	GFI1B 
Perturbation	activates	LYL1 
Perturbation	activates	MEIS2 
Perturbation	activates	NR0B2 
Perturbation	activates	SP4 
AKT1	activates	EP300 
UBE2I	inhibits	PPARG 
PAX6	activates	MAF 
AKT1	activates	NRF1 
MAPK14	activates	RPS6KA5 
CAMKK2	activates	AKT1 
PRKAA1	activates	PIAS1 
CDK5	inhibits	CAMKK2 
SMAD3	inhibits	PAX6 
UBE2I	inhibits	SOX6 
CAMKK2	activates	PRKAA1 
EP300	activates	SMAD1 
MAPK14	activates	HBP1 
MAPK3	inhibits	BCL6 
PIAS1	activates	PRDM1 
POU2AF1	activates	POU2F2 
DUSP26	inhibits	MAPK14 
EP300	activates	GATA3 
HDAC1	inhibits	KLF1 
RB1	inhibits	TAF1 
Perturbation	inhibits	CSNK2A2 
Perturbation	inhibits	PCGF2 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	RFX1 
Perturbation	inhibits	TFAP4 
ATM	activates	STK11 
ATM	activates	SP1 
ATM	activates	CHEK2 
CDK5	activates	ATM 
ATM	activates	HIF1A 
CHEK2	activates	RB1 
CHEK2	activates	FOXM1 
STAT3	inhibits	HIF1A 
Perturbation	activates	DUSP14 
STAT3	activates	PRDM1 
EP300	activates	STAT3 
MAPK14	activates	STAT3 
DUSP14	inhibits	MAPK14 
CSNK1D	activates	CTNNB1 
CSNK1D	activates	CDK5 
Perturbation	activates	CSNK1D 
Perturbation	activates	DUSP10 
DUSP10	inhibits	MAPK14 
Perturbation	inhibits	CSNK1D 
Perturbation	inhibits	DUSP10 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	LYL1 
Perturbation	inhibits	MEIS2 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	SP4 
Perturbation	activates	CSNK2A2 
Perturbation	activates	PCGF2 
Perturbation	activates	POU2AF1 
Perturbation	activates	RFX1 
Perturbation	activates	TFAP4 
DUSP8	inhibits	MAPK3 
DUSP8	activates	MAPK14 
Perturbation	inhibits	DUSP8 
DUSP2	inhibits	MAPK3 
DUSP2	activates	MAPK14 
Perturbation	inhibits	DUSP2 
MAPK1	inhibits	FOXO4 
MAPK1	inhibits	STK11 
MAPK1	inhibits	EGFR 
Perturbation	activates	DUSP7 
MAPK1	activates	STAT3 
DUSP7	inhibits	MAPK1 
MAPK1	activates	EP300 
DUSP7	inhibits	MAPK14 
Perturbation	inhibits	DUSP7 
Perturbation	activates	DUSP8 
Perturbation	inhibits	DUSP14 
GSK3B	inhibits	CTNNB1 
GSK3B	inhibits	CREB1 
PRKDC	inhibits	POU2F1 
MYB	activates	GATA3 
AKT1	activates	GSK3B 
GSK3B	activates	SMAD1 
PRKDC	activates	AKT1 
MAPK3	inhibits	MYB 
GSK3B	activates	MAF 
HOXB7	activates	PRKDC 
MAPK3	inhibits	GSK3B 
Perturbation	inhibits	HOXB7 
ASH2L	activates	GATA3 
Perturbation	inhibits	ASH2L 
Perturbation	activates	HOXB7 
DUSP9	activates	MAPK3 
Perturbation	activates	DUSP9 
DUSP9	inhibits	MAPK14 
DUSP2	activates	MAPK1 
Perturbation	activates	DUSP2 
MAPK1	activates	GSK3B 
Perturbation	inhibits	DUSP9 
RPS6KA5	activates	STAT3 
DUSP10	inhibits	MAPK1 
RPS6KA4	inhibits	STK11 
MAPK14	activates	RPS6KA4 
Perturbation	activates	ASH2L 
Perturbation	inhibits	DUSP26 
