"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","29/44","481/2914",1.9471027837073e-13,9.83286905772185e-11,6.16924145153575e-11,"CSNK2A1/RB1/CTNNB1/SMAD2/SMAD3/MAPK3/MAPK14/EGFR/CREB1/NR0B2/VDR/TCF7/PRKAA1/CSNK2A2/PCGF2/CDK5/PPARG/CDK2/UBE2I/STK11/AKT1/EP300/HDAC1/ATM/CHEK2/MAPK1/GSK3B/MYB/ASH2L",29
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","29/44","499/2914",5.24121106103042e-13,1.32340579291018e-10,8.30318173352713e-11,"CSNK2A1/RB1/CTNNB1/SMAD2/SMAD3/MAPK3/MAPK14/EGFR/CREB1/NR0B2/VDR/TCF7/PRKAA1/CSNK2A2/PCGF2/CDK5/PPARG/CDK2/UBE2I/STK11/AKT1/EP300/HDAC1/ATM/CHEK2/MAPK1/GSK3B/MYB/ASH2L",29
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","24/44","397/2914",1.12767821992099e-10,1.898258336867e-08,1.19098647086392e-08,"CSNK2A1/CTNNB1/SMAD2/SMAD3/MAPK3/MAPK14/EGFR/CREB1/CSNK2A2/RPS6KA5/PCGF2/CDK5/PPARG/CDK2/STX1A/AKT1/PAX6/EP300/STAT3/MAPK1/GSK3B/MYB/ASH2L/RPS6KA4",24
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","12/44","95/2914",6.38765171687307e-09,8.06441029255225e-07,5.05969254415472e-07,"CSNK2A1/MAPK14/PRKAA1/CSNK2A2/CDK5/CDK2/STK11/AKT1/EP300/HDAC1/ATM/CHEK2",12
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","7/44","23/2914",2.23417740324378e-08,2.25651917727622e-06,1.41576294395027e-06,"MAPK3/DUSP10/DUSP8/DUSP2/MAPK1/DUSP7/DUSP9",7
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","9/44","56/2914",7.7839966638287e-08,6.55153052538916e-06,4.11049648388147e-06,"CSNK2A1/MAPK14/PRKAA1/CSNK2A2/CDK5/CDK2/STK11/ATM/CHEK2",9
"R-HSA-5675221","R-HSA-5675221","Negative regulation of MAPK pathway","7/44","34/2914",4.33296120026237e-07,3.12592200876071e-05,1.96123506959244e-05,"MAPK3/DUSP10/DUSP8/DUSP2/MAPK1/DUSP7/DUSP9",7
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","6/44","24/2914",9.16879578483167e-07,5.78780233917499e-05,3.63132569899254e-05,"MAPK3/MAPK14/CREB1/RPS6KA5/MAPK1/DUSP7",6
"R-HSA-201681","R-HSA-201681","TCF dependent signaling in response to WNT","10/44","108/2914",2.7787832173336e-06,0.000155920613861497,9.78261694055455e-05,"CSNK2A1/CTNNB1/TCF7/CSNK2A2/SOX6/AKT1/EP300/HDAC1/GSK3B/ASH2L",10
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","6/44","30/2914",3.78021388259693e-06,0.000190900801071145,0.000119773092490703,"MAPK3/MAPK14/CREB1/RPS6KA5/MAPK1/DUSP7",6
"R-HSA-3769402","R-HSA-3769402","Deactivation of the beta-catenin transactivating complex","6/44","31/2914",4.63489179673121e-06,0.000212783668849933,0.000133502624958478,"CTNNB1/TCF7/SOX6/AKT1/HDAC1/ASH2L",6
"R-HSA-445144","R-HSA-445144","Signal transduction by L1","5/44","20/2914",8.15320700249646e-06,0.000332924111842015,0.000208879953443349,"CSNK2A1/MAPK3/EGFR/CSNK2A2/MAPK1",5
