"","exp1","exp2","cor_coef"
"1","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",1
"2","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",0.822624503889356
"3","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",0.0720665640239046
"4","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.109454723390782
"5","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.0233535005852813
"6","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.803923217468164
"7","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.885196035560593
"8","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.73261166665011
"9","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.0879983826073416
"10","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.835101703633161
"11","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.888298421970791
"12","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.872188527124226
"13","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.0964483277544698
"14","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.132302730308522
"15","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.918067844692647
"16","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.886017593309762
"17","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",-0.03056404994924
"18","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.843969168886786
"19","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.869319926587538
"20","benzo(a)pyrene_VCAP_24 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.721117140805113
"21","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.864667305529086
"22","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.933490832720732
"23","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.810527454361703
"24","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.176783696958581
"25","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.15939396706555
"26","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.952931321964169
"27","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.08769450143845
"28","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.68308322753195
"29","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_3 µM",-0.0311821835760205
"30","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.948134189309582
"31","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.948650183316769
"32","benzo(a)pyrene_VCAP_24 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.886709923952485
"33","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.17208765422014
"34","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.142656074954717
"35","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.117248934765354
"36","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.10148224415555
"37","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.776219339457332
"38","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.26625547374807
"39","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.0628579520335524
"40","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.608070988730442
"41","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",-0.029575347246127
"42","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.909036702459002
"43","benzo(a)pyrene_VCAP_24 h_10 µM","thapsigargin_HEPG2_6 h_10 µM",0.0844542210800858
"44","benzo(a)pyrene_VCAP_24 h_10 µM","VU-0418946-1_HEPG2_6 h_10 µM",0.737978803587342
"45","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_24 h_20 µM",0.0920861291966344
"46","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_24 h_5 µM",0.00400464715668272
"47","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_10 µM",0.0540401193068755
"48","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_20 µM",-0.0781667796732542
"49","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_5 µM",0.134802787818526
"50","benzo(a)pyrene_VCAP_6 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",0.822624503889356
"51","benzo(a)pyrene_VCAP_6 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",1
"52","benzo(a)pyrene_VCAP_6 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",0.376021637370001
"53","benzo(a)pyrene_VCAP_6 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.568075919042213
"54","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.178875421548598
"55","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.867541802318237
"56","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.632938606824924
"57","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.884063499897142
"58","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.530123577550388
"59","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.751520529853468
