"","exp1","exp2","Jc"
"1","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",1
"2","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",0.104247104247104
"3","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",0.151639344262295
"4","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.16
"5","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.243781094527363
"6","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.192622950819672
"7","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.0334900117508813
"8","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.205555555555556
"9","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.175531914893617
"10","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.204419889502762
"11","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.18348623853211
"12","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.174603174603175
"13","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.2
"14","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.173684210526316
"15","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.262886597938144
"16","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.0341113105924596
"17","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",0.133828996282528
"18","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.230769230769231
"19","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.175115207373272
"20","benzo(a)pyrene_VCAP_24 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.172413793103448
"21","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.17156862745098
"22","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.186868686868687
"23","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.184615384615385
"24","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.225806451612903
"25","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.242424242424242
"26","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.232142857142857
"27","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.189189189189189
"28","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.155
"29","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_3 µM",0.252336448598131
"30","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.260416666666667
"31","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.239130434782609
"32","benzo(a)pyrene_VCAP_24 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.0325301204819277
"33","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.140425531914894
"34","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.197115384615385
"35","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.166666666666667
"36","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.129533678756477
"37","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.33695652173913
"38","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.153465346534653
"39","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.217777777777778
"40","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.18848167539267
"41","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.0321406913280776
