X1	X3	X2
TP53	activates	TP73 
HIF1A	activates	TP53 
MAPK1	activates	CEBPB 
CEBPB	activates	FOXO1 
SMAD3	activates	FOXO1 
ESR1	inhibits	FOXO1 
MAPK1	activates	HIF1A 
MAPK1	activates	SMAD3 
SMAD4	activates	LEF1 
SMAD3	activates	LEF1 
SMAD3	activates	SMAD4 
SMAD3	activates	MEF2C 
GSK3B	activates	SMAD3 
NR2F2	activates	PROX1 
DUSP2	activates	MAPK1 
CSNK2A1	activates	LEF1 
NR0B2	activates	RXRB 
RXRB	activates	NR2F1 
NR2F2	activates	NR2F1 
RXRB	activates	NR2F2 
NR0B2	activates	ESRRA 
NFKB1	activates	RELA 
MAPK3	inhibits	MYB 
GSK3B	activates	CEBPB 
GSK3B	activates	RELA 
MAPK1	activates	SMAD4 
MAPK1	activates	GSK3B 
GSK3B	activates	MAF 
CSNK2A1	activates	RELA 
ZNF521	inhibits	EBF1 
CSNK2A1	activates	TP53 
MAPK1	activates	CSNK2A1 
GSK3B	activates	TP53 
JAZF1	inhibits	NR2C2 
MAPK3	inhibits	GSK3B 
MAPK3	inhibits	FOXO1 
MAPK1	activates	RELA 
MAPK1	activates	TP53 
MAPK1	activates	ETS1 
MAPK1	activates	STAT1 
SMAD4	activates	CTCF 
E2F1	inhibits	NFKB1 
TP73	activates	TP63 
MYB	activates	CEBPB 
MAPK1	activates	GATA2 
Perturbation	activates	DUSP2 
Perturbation	activates	GFI1B 
Perturbation	activates	NR0B2 
Perturbation	activates	TFAP4 
MAPK3	activates	SMAD2 
ESR1	activates	ESR2 
GATA2	inhibits	SPI1 
MAPK3	activates	ESR1 
CSNK2A1	inhibits	IKZF1 
SMAD3	inhibits	FOXA1 
POU2AF1	activates	POU2F1 
CSNK2A1	inhibits	MAX 
MAPK3	activates	E2F1 
MAX	activates	MXI1 
POU2AF1	activates	POU2F2 
DUSP2	inhibits	MAPK3 
SMAD2	activates	E2F4 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	JAZF1 
Perturbation	inhibits	KLF6 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	RFX1 
Perturbation	inhibits	ZNF521 
PTPRB	inhibits	MAPK1 
NR2C2AP	inhibits	NR2C2 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	TFAP4 
PTPRB	activates	MAPK3 
Perturbation	activates	E2F6 
Perturbation	activates	KLF6 
Perturbation	activates	NR2C2AP 
Perturbation	activates	POU2AF1 
Perturbation	activates	PTPRB 
Perturbation	activates	RFX1 
Perturbation	activates	ZNF521 
Perturbation	inhibits	PTPRB 
NR4A1	activates	NR2F2 
NR4A1	activates	NR2F1 
MAPK1	activates	NR4A1 
NR4A1	activates	HIF1A 
Perturbation	inhibits	NR2C2AP 
Perturbation	inhibits	DUSP2 
Perturbation	activates	JAZF1 
