"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","19/25","481/2914",6.67632705289609e-11,2.0796684506945e-08,1.28327998772437e-08,"TP53/MAPK1/SMAD3/ESR1/SMAD4/GSK3B/CSNK2A1/NR0B2/RXRB/MAPK3/ZNF521/E2F1/TP73/MYB/GATA2/MAX/SMAD2/NR2C2AP/NR4A1",19
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","19/25","499/2914",1.30386736720658e-10,2.0796684506945e-08,1.28327998772437e-08,"TP53/MAPK1/SMAD3/ESR1/SMAD4/GSK3B/CSNK2A1/NR0B2/RXRB/MAPK3/ZNF521/E2F1/TP73/MYB/GATA2/MAX/SMAD2/NR2C2AP/NR4A1",19
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","13/25","397/2914",5.07740133863598e-06,0.000539897009008293,0.000333148789587694,"MAPK1/CEBPB/SMAD3/SMAD4/GSK3B/NR2F2/CSNK2A1/NFKB1/MAPK3/E2F1/MYB/GATA2/SMAD2",13
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","6/25","62/2914",9.38164767653723e-06,0.000748186402203844,0.000461675819871701,"MAPK1/ESR1/SMAD4/GSK3B/MAPK3/ZNF521",6
"R-HSA-383280","R-HSA-383280","Nuclear Receptor transcription pathway","5/25","46/2914",3.29575220182363e-05,0.00177939444111478,0.00109799294007083,"ESR1/NR0B2/RXRB/NR2C2AP/NR4A1",5
"R-HSA-2559585","R-HSA-2559585","Oncogene Induced Senescence","4/25","23/2914",3.34682340021589e-05,0.00177939444111478,0.00109799294007083,"TP53/MAPK1/MAPK3/E2F1",4
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","4/25","24/2914",3.99298438274301e-05,0.00179677940036314,0.00110872050113152,"MAPK1/SMAD4/MAPK3/ZNF521",4
"R-HSA-109606","R-HSA-109606","Intrinsic Pathway for Apoptosis","5/25","49/2914",4.5060298441709e-05,0.00179677940036314,0.00110872050113152,"TP53/MAPK1/MAPK3/E2F1/TP73",5
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","4/25","27/2914",6.4811953130887e-05,0.00229722367208366,0.00141752458894455,"CEBPB/E2F1/MYB/GATA2",4
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","8/25","187/2914",0.000103984695802861,0.00310228383162818,0.00191429492332773,"TP53/HIF1A/MAPK1/CEBPB/GSK3B/NFKB1/MAPK3/E2F1",8
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","8/25","189/2914",0.000112178479968255,0.00310228383162818,0.00191429492332773,"TP53/HIF1A/MAPK1/CEBPB/GSK3B/NFKB1/MAPK3/E2F1",8
"R-HSA-1502540","R-HSA-1502540","Signaling by Activin","3/25","12/2914",0.000116700332224258,0.00310228383162818,0.00191429492332773,"SMAD3/SMAD4/SMAD2",3
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","6/25","99/2914",0.000138538698702914,0.00339952652970996,0.00209771147023845,"TP53/MAPK1/CEBPB/NFKB1/MAPK3/E2F1",6
"R-HSA-9617828","R-HSA-9617828","FOXO-mediated transcription of cell cycle genes","3/25","14/2914",0.000190905584081402,0.00434992009442624,0.00268416121979115,"SMAD3/SMAD4/SMAD2",3
"R-HSA-1181150","R-HSA-1181150","Signaling by NODAL","3/25","15/2914",0.000237281012144011,0.00504617619159597,0.00311379293129334,"SMAD3/SMAD4/SMAD2",3
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","7/25","172/2914",0.000428893315783455,0.00718793821850114,0.00443538837439272,"TP53/MAPK1/ESR1/GSK3B/CSNK2A1/MAPK3/NR4A1",7
"R-HSA-2559580","R-HSA-2559580","Oxidative Stress Induced Senescence","4/25","44/2914",0.000454282136912084,0.00718793821850114,0.00443538837439272,"TP53/MAPK1/MAPK3/E2F1",4
"R-HSA-5689880","R-HSA-5689880","Ub-specific processing proteases","5/25","80/2914",0.000474780470505736,0.00718793821850114,0.00443538837439272,"TP53/HIF1A/SMAD3/SMAD4/SMAD2",5
"R-HSA-5688426","R-HSA-5688426","Deubiquitination","6/25","124/2914",0.000478534266033976,0.00718793821850114,0.00443538837439272,"TP53/HIF1A/SMAD3/ESR1/SMAD4/SMAD2",6
"R-HSA-8940973","R-HSA-8940973","RUNX2 regulates osteoblast differentiation","3/25","19/2914",0.000493987092728135,0.00718793821850114,0.00443538837439272,"MAPK1/MAPK3/ZNF521",3
"R-HSA-9615017","R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","3/25","19/2914",0.000493987092728135,0.00718793821850114,0.00443538837439272,"SMAD3/SMAD4/SMAD2",3
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","4/25","45/2914",0.000495719877138009,0.00718793821850114,0.00443538837439272,"MAPK1/CEBPB/NFKB1/MAPK3",4
"R-HSA-2173795","R-HSA-2173795","Downregulation of SMAD2/3:SMAD4 transcriptional activity","3/25","20/2914",0.000577873078908381,0.00768089634049056,0.00473957305946786,"SMAD3/SMAD4/SMAD2",3
"R-HSA-445144","R-HSA-445144","Signal transduction by L1","3/25","20/2914",0.000577873078908381,0.00768089634049056,0.00473957305946786,"MAPK1/CSNK2A1/MAPK3",3
"R-HSA-8878171","R-HSA-8878171","Transcriptional regulation by RUNX1","5/25","86/2914",0.000664286160028962,0.00847629140196955,0.00523037944949119,"ESR1/CSNK2A1/TP73/MYB/GATA2",5
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","7/25","191/2914",0.000812430396355261,0.00996789601682031,0.00615078883070582,"TP53/MAPK1/GSK3B/CSNK2A1/MAPK3/E2F1/MAX",7
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","3/25","23/2914",0.00088258250695031,0.0104275488784129,0.00643442217542721,"MAPK1/DUSP2/MAPK3",3
"R-HSA-2173796","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","3/25","24/2914",0.00100296145882501,0.0114265966201849,0.00705089446617579,"SMAD3/SMAD4/SMAD2",3
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","7/25","201/2914",0.00110359387777834,0.0121395326555617,0.00749081869853175,"TP53/MAPK1/ESR1/GSK3B/CSNK2A1/MAPK3/NR4A1",7
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","8/25","268/2914",0.00124208802347992,0.0132075359830032,0.00814984071546476,"MAPK1/SMAD3/ESR1/SMAD4/GSK3B/MAPK3/SMAD2/NR4A1",8
"R-HSA-109581","R-HSA-109581","Apoptosis","5/25","101/2914",0.00138485501130868,0.0137749214471301,0.00849995152817464,"TP53/MAPK1/MAPK3/E2F1/TP73",5
"R-HSA-6807070","R-HSA-6807070","PTEN Regulation","4/25","59/2914",0.00139617205367871,0.0137749214471301,0.00849995152817464,"TP53/MAPK1/CSNK2A1/MAPK3",4
"R-HSA-8939236","R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","3/25","27/2914",0.00142499187384104,0.0137749214471301,0.00849995152817464,"TP73/MYB/GATA2",3
"R-HSA-5357801","R-HSA-5357801","Programmed Cell Death","5/25","103/2914",0.00151285518407317,0.014194141285863,0.00875863527621307,"TP53/MAPK1/MAPK3/E2F1/TP73",5
"R-HSA-2173789","R-HSA-2173789","TGF-beta receptor signaling activates SMADs","3/25","28/2914",0.00158696965587781,0.014464094863572,0.0089252128014782,"SMAD3/SMAD4/SMAD2",3
