X1	X3	X2
TP53	activates	ATF3 
HIF1A	activates	TP53 
PARP1	activates	HIF1A 
MAPK1	activates	CEBPB 
MAPK1	activates	HIF1A 
PLK1	activates	FOXM1 
MAPK9	activates	STAT1 
MAPK1	activates	SMAD3 
SMAD3	activates	SMAD4 
GSK3B	activates	SMAD3 
NR0B2	activates	NR5A2 
NR0B2	activates	ESRRA 
MAPK1	activates	MAPKAPK2 
MAPK1	activates	MED1 
CSNK2A1	activates	TWIST1 
MAPK9	activates	FOXO4 
CSNK2A1	activates	TFAP2A 
MAPK9	activates	TP53 
GSK3B	activates	CEBPB 
PTPRB	inhibits	MAPK1 
ROCK2	activates	IRF4 
MAPK1	activates	PARP1 
MAPK1	activates	SMAD4 
MAPK1	activates	GSK3B 
NFIB	inhibits	NFIC 
CSNK2A1	activates	MAPK9 
POU2AF1	activates	POU2F1 
MAPK1	activates	SREBF1 
MAPKAPK2	activates	SRF 
CSNK2A1	activates	TP53 
CTNNB1	inhibits	SOX2 
MAPK1	activates	CSNK2A1 
CSNK1D	inhibits	HIF1A 
GSK3B	activates	TP53 
MAPK9	activates	SMAD3 
MAPK1	activates	LCK 
MAPK1	activates	TWIST1 
MAPKAPK2	activates	ETV1 
MAPKAPK2	activates	PLK1 
PARP1	activates	TP53 
LCK	activates	SOCS3 
CSNK2A1	activates	SRF 
MAPK1	activates	TP53 
LCK	activates	STAT1 
MAPK1	activates	ETS1 
MAPK1	activates	STAT1 
CSNK2A1	activates	NFATC1 
PLK1	activates	ROCK2 
TWIST1	activates	TP53 
PARP1	activates	MYBL2 
MED1	activates	GATA6 
MAPK1	activates	GATA2 
PARP1	activates	NFKB1 
Perturbation	activates	NR0B2 
Perturbation	activates	PEX14 
Perturbation	activates	POU2AF1 
GSK3B	inhibits	CTNNB1 
CTNNB1	activates	TCF7L2 
CTNNB1	activates	TCF7 
CSNK1D	activates	CTNNB1 
HOXB8	activates	PBX3 
SMAD3	inhibits	FOXA1 
SMAD3	inhibits	RUNX2 
CSNK2A1	inhibits	MAX 
CDK5	activates	CLOCK 
CSNK2A1	inhibits	ARNT 
MAPK9	inhibits	JUNB 
FHL5	activates	CREM 
FOXA1	activates	NFIB 
GSK3B	inhibits	KLF5 
MAX	activates	MXI1 
CSNK1D	activates	CDK5 
SOCS3	inhibits	TFDP1 
PEX14	inhibits	NFE2 
Perturbation	inhibits	CSNK1D 
Perturbation	inhibits	FHL5 
Perturbation	inhibits	HOXB8 
Perturbation	inhibits	LYL1 
Perturbation	inhibits	PTPRB 
DUSP2	activates	MAPK1 
PER2	inhibits	POU2F1 
Perturbation	activates	DUSP2 
CSNK1D	activates	PER2 
DUSP10	inhibits	MAPK9 
DUSP10	inhibits	MAPK1 
Perturbation	inhibits	DUSP10 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	PEX14 
Perturbation	activates	CSNK1D 
Perturbation	activates	DUSP10 
Perturbation	activates	FHL5 
Perturbation	activates	HOXB8 
Perturbation	activates	LYL1 
DUSP9	activates	MAPK1 
Perturbation	activates	DUSP9 
LAMTOR3	activates	MAPK1 
Perturbation	activates	LAMTOR3 
Perturbation	inhibits	LAMTOR3 
FGF19	activates	MAPK1 
Perturbation	activates	FGF19 
E2F1	inhibits	MYBL2 
E2F1	inhibits	NFKB1 
TFDP1	activates	E2F1 
Perturbation	inhibits	DUSP2 
DUSP7	inhibits	MAPK1 
Perturbation	inhibits	DUSP7 
Perturbation	activates	DUSP7 
TUB	activates	MAPK1 
Perturbation	activates	TUB 
Perturbation	inhibits	TUB 
Perturbation	inhibits	DUSP9 
PTPRE	inhibits	MAPK1 
Perturbation	inhibits	PTPRE 
Perturbation	inhibits	FGF19 
MAP2K1	activates	MAPK1 
MAP2K1	activates	GSK3B 
CDK5	inhibits	MAP2K1 
MAP2K1	activates	FOXM1 
Perturbation	activates	PTPRE 
PTP4A3	activates	MAPK1 
Perturbation	activates	PTP4A3 
Perturbation	activates	PTPRB 
Perturbation	inhibits	PTP4A3 
Perturbation	inhibits	POU2AF1 
DUSP8	inhibits	MAPK1 
Perturbation	inhibits	DUSP8 
Perturbation	activates	DUSP8 
