"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","CDK2","0.999892452866754",1
"5","DNA_thresholded_400","CDK2","0.999994720022525",1
"6","DNA_thresholded_477","CDK2, TFDP1, TP73","0.99992733786623",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","CEBPB, EP300, CSNK2B","0.993244855170913",1
"11","ERS_thresholded_400","CEBPB, EP300, CSNK2B","0.999376083306366",1
"12","ERS_thresholded_477","CEBPB, EP300, CSNK2B, CSNK2A1","0.999498180680011",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","RPS6KB1","0.952814009580952",1
"15","HTS_thresholded_200","RPS6KB1, MAPK1, MAPK3","0.938803608239788",1
"16","HTS_thresholded_300","RPS6KB1, MAPK1, MAPK3, CSNK2B","0.977477181009901",1
"17","HTS_thresholded_400","RPS6KB1, MAPK1, MAPK3, CSNK2B, CSNK2A1, EP300","0.97521779595674",1
"18","HTS_thresholded_477","RPS6KB1, MAPK1, MAPK3, CSNK2B, CSNK2A1, EP300","0.994200310849073",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","","1",1
"21","HYP_thresholded_200","","1",1
"22","HYP_thresholded_300","","1",1
"23","HYP_thresholded_400","","1",1
"24","HYP_thresholded_477","","1",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.997511092781302",1
"28","MTL_thresholded_300","CDK5","0.999863103921404",1
"29","MTL_thresholded_400","CDK5","0.999991766970648",1
"30","MTL_thresholded_477","CDK5","0.999999088980011",1
"31","OXD_thresholded_050","MYB, SRC","0.443755994212518",1
"32","OXD_thresholded_100","MYB, SRC","0.803176540795956",1
"33","OXD_thresholded_200","MYB, SRC, SMAD3","0.938282270087871",1
"34","OXD_thresholded_300","MYB, SRC, SMAD3","0.993596465170455",1
"35","OXD_thresholded_400","MYB, SRC, SMAD3","0.999394582242612",1
"36","OXD_thresholded_477","MYB, SRC, SMAD3","0.999905385028909",1
