"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","35/57","481/2914",1.36812034607658e-14,7.34680625843122e-12,3.74432936820958e-12,"CSNK2A1/CTNNB1/SMAD3/SMAD2/MAPK1/CDK5/MAX/CREB1/PPP2CA/VDR/MAPK11/MAPK3/HNF4A/MED1/FOS/ATF2/NR0B2/HDAC1/YAP1/GSK3B/TP53/PPP2CB/AKT2/MAPK14/PRKACA/PPP2R1B/RB1/AKT3/SPI1/SRC/TWIST1/SFN/AKT1/YWHAB/PML",35
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","35/57","499/2914",4.42859021382261e-14,1.10360551526532e-11,5.62456991020255e-12,"CSNK2A1/CTNNB1/SMAD3/SMAD2/MAPK1/CDK5/MAX/CREB1/PPP2CA/VDR/MAPK11/MAPK3/HNF4A/MED1/FOS/ATF2/NR0B2/HDAC1/YAP1/GSK3B/TP53/PPP2CB/AKT2/MAPK14/PRKACA/PPP2R1B/RB1/AKT3/SPI1/SRC/TWIST1/SFN/AKT1/YWHAB/PML",35
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","12/57","30/2914",6.16539394002972e-14,1.10360551526532e-11,5.62456991020255e-12,"MAPK1/CREB1/PPP2CA/MAPK11/MAPK3/FOS/ATF2/PPP2CB/MAPK14/PPP2R1B/RPS6KA3/RPS6KA2",12
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","10/57","24/2914",5.74372798059799e-12,7.7109548139528e-10,3.92991914461968e-10,"MAPK1/CREB1/PPP2CA/MAPK11/MAPK3/PPP2CB/MAPK14/PPP2R1B/RPS6KA3/RPS6KA2",10
"R-HSA-450294","R-HSA-450294","MAP kinase activation","13/57","60/2914",3.78851707836522e-11,4.06886734216425e-09,2.0737146113157e-09,"MAPK1/CREB1/PPP2CA/MAPK11/MAPK3/FOS/ATF2/PPP2CB/MAPK14/PPP2R1B/FBXW11/RPS6KA3/RPS6KA2",13
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","9/57","21/2914",5.3566394652538e-11,4.79419232140215e-09,2.44337940520349e-09,"MAPK1/PPP2CA/MAPK11/MAPK3/PPP2CB/MAPK14/PPP2R1B/RPS6KA3/RPS6KA2",9
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","13/57","64/2914",9.09487384732789e-11,6.97706750859297e-09,3.55589052677481e-09,"MAPK1/CREB1/PPP2CA/MAPK11/MAPK3/FOS/ATF2/PPP2CB/MAPK14/PPP2R1B/FBXW11/RPS6KA3/RPS6KA2",13
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","20/57","191/2914",1.15009847533389e-10,7.72003601567871e-09,3.93454741561592e-09,"CSNK2A1/MAPK1/MAX/PPP2CA/MAPK3/HDAC1/CSNK1D/GSK3B/TP53/PPP2CB/AKT2/PRKACA/PPP2R1B/RB1/AKT3/SET/SRC/PPP1CB/AKT1/FBXW11",20
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","22/57","249/2914",2.95162215182477e-10,1.471690912e-08,7.50053194393804e-09,"CSNK2A1/MAPK1/MAX/PPP2CA/MAPK3/HDAC1/CSNK1D/GSK3B/TP53/PPP2CB/AKT2/PRKACA/PPP2R1B/RB1/AKT3/SET/SRC/SFN/PPP1CB/AKT1/FBXW11/YWHAB",22
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","20/57","201/2914",2.9571596907565e-10,1.471690912e-08,7.50053194393804e-09,"CSNK2A1/MAPK1/CREB1/PPP2CA/MAPK3/PRKCD/ATF2/HDAC1/GSK3B/TP53/PPP2CB/AKT2/GSK3A/PRKACA/PPP2R1B/VAV1/AKT3/SRC/AKT1/PML",20
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","13/57","70/2914",3.01463687746741e-10,1.471690912e-08,7.50053194393804e-09,"STAT3/MAPK1/CREB1/PPP2CA/MAPK11/MAPK3/PPP2CB/MAPK14/PPP2R1B/SRC/RPS6KA3/RPS6KA2/YWHAB",13
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","14/57","89/2914",5.77675991739032e-10,2.58510006303217e-08,1.31750664782586e-08,"STAT3/MAPK1/CDK5/CREB1/PPP2CA/MAPK11/MAPK3/PPP2CB/MAPK14/PPP2R1B/SRC/RPS6KA3/RPS6KA2/YWHAB",14
