"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","CDK2","0.999729832088353",1
"5","DNA_thresholded_400","CDK2","0.999982027080137",1
"6","DNA_thresholded_477","CDK2","0.999997750621227",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","CSNK2B","0.999698095440851",1
"11","ERS_thresholded_400","CSNK2B","0.999978100573281",1
"12","ERS_thresholded_477","CSNK2B, CSNK2A1","0.999956840576252",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","CREBBP, MAPK1, MAPK3","0.90558064285566",1
"16","HTS_thresholded_300","CREBBP, MAPK1, MAPK3, CSNK2B","0.957746444650186",1
"17","HTS_thresholded_400","CREBBP, MAPK1, MAPK3, CSNK2B, CSNK2A1","0.979546546883823",1
"18","HTS_thresholded_477","CREBBP, MAPK1, MAPK3, CSNK2B, CSNK2A1, PRKAA1","0.985099592391058",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","EGR1","0.936101482998105",1
"21","HYP_thresholded_200","EGR1","0.995864438877677",1
"22","HYP_thresholded_300","EGR1","0.999724831214294",1
"23","HYP_thresholded_400","EGR1","0.999981246384045",1
"24","HYP_thresholded_477","EGR1, NOTCH1","0.999964743708016",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.995444790543",1
"28","MTL_thresholded_300","CDK5","0.99966436093286",1
"29","MTL_thresholded_400","CDK5","0.99997320112196",1
"30","MTL_thresholded_477","CDK5","0.999996297770271",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","","1",1
"34","OXD_thresholded_300","STAT1","0.999715911712146",1
"35","OXD_thresholded_400","STAT1","0.999978799465532",1
"36","OXD_thresholded_477","STAT1","0.99999703383983",1
