X1	X3	X2
NOTCH1	activates	PAX8 
CDK2	inhibits	FOXO1 
ESR1	inhibits	FOXO1 
SP1	activates	TBX21 
NAB2	inhibits	EGR1 
EGR1	activates	TP53 
NOTCH1	activates	MEF2C 
NR0B2	inhibits	ONECUT1 
DUSP2	activates	MAPK1 
MAPK1	activates	FOS 
MAPK3	inhibits	MYB 
HOXB8	activates	PBX3 
CSNK2A1	activates	ATF1 
RUNX2	inhibits	NOTCH1 
MAPK3	inhibits	STK11 
STK11	activates	TP53 
FBXO22	inhibits	BACH1 
CDK5	inhibits	MEF2A 
CDK2	inhibits	FOXO3 
CSNK2A1	activates	TP53 
MAPK1	activates	CSNK2A1 
MAPK1	activates	SP1 
MAPK3	inhibits	FOXO3 
MAPK3	inhibits	MITF 
MAPK3	inhibits	FOXO1 
MAPK1	activates	TP53 
MAPK1	activates	CREB1 
MAPK1	activates	STAT1 
STK11	activates	ETV4 
CREB1	activates	TP53 
TP53	activates	BHLHE40 
MAPK1	activates	GATA2 
CREBBP	inhibits	FOXO1 
Perturbation	activates	DUSP2 
Perturbation	activates	GFI1B 
Perturbation	activates	HOXB8 
Perturbation	activates	KLF6 
Perturbation	activates	LYL1 
Perturbation	activates	NKRF 
Perturbation	activates	PAX5 
NKRF	inhibits	REL 
STAT1	inhibits	CREBBP 
CTNNB1	activates	TCF7L2 
E2F1	activates	TP73 
NR0B2	activates	ESR1 
CTNNB1	activates	TCF4 
CSNK1D	activates	CTNNB1 
CREBBP	activates	CTNNB1 
MAPK3	activates	RUNX2 
CDK2	activates	ESR1 
MAPK3	activates	ESR1 
RUNX2	activates	CREBBP 
CREBBP	activates	MYOD1 
CTNNB1	activates	MYOD1 
POU2AF1	activates	POU2F1 
CSNK2A1	inhibits	MAX 
CDK5	activates	CLOCK 
CREBBP	activates	KLF1 
MAPK3	activates	CDK2 
MAPK3	activates	E2F1 
MAPK3	activates	SP3 
CDK2	activates	FOXM1 
DUSP2	inhibits	MAPK3 
CSNK1D	activates	CDK5 
CREBBP	activates	KLF5 
CREBBP	activates	E2F1 
BTAF1	activates	TBP 
Perturbation	inhibits	BTAF1 
Perturbation	inhibits	CSNK1D 
Perturbation	inhibits	FBXO22 
Perturbation	inhibits	NAB2 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	POU2AF1 
PRKAA1	activates	FOXO1 
PRKAA1	activates	FOXO3 
PRKAA1	activates	TP53 
PTPRB	inhibits	MAPK1 
STK11	activates	PRKAA1 
PRKAA1	inhibits	POU2F1 
PTPRB	activates	MAPK3 
Perturbation	inhibits	PTPRB 
Perturbation	inhibits	DUSP2 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	HOXB8 
Perturbation	inhibits	KLF6 
Perturbation	inhibits	LYL1 
Perturbation	inhibits	NKRF 
Perturbation	inhibits	PAX5 
Perturbation	activates	BTAF1 
Perturbation	activates	CSNK1D 
Perturbation	activates	FBXO22 
Perturbation	activates	NAB2 
Perturbation	activates	NR0B2 
Perturbation	activates	POU2AF1 
Perturbation	activates	PTPRB 
NAB1	inhibits	EGR1 
Perturbation	activates	NAB1 
Perturbation	inhibits	NAB1 
CDK1	inhibits	FOXO1 
CDK1	inhibits	FOXO3 
CDK1	activates	E2F1 
CDK1	activates	CSNK2B 
MAPK1	inhibits	CDK1 
CSNK2B	activates	TBP 
CSNK2B	activates	CTNNB1 
CDK1	activates	FOXM1 
CDK1	activates	RUNX2 
Perturbation	inhibits	ZNF76 
ZNF76	inhibits	TBP 
Perturbation	activates	ZNF76 
