"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","20/25","481/2914",3.76446478364129e-12,1.52084377259108e-09,8.36107441419276e-10,"NOTCH1/CDK2/ESR1/SP1/NR0B2/MAPK1/MAPK3/CSNK2A1/RUNX2/STK11/CDK5/CREB1/TP53/CREBBP/STAT1/CTNNB1/E2F1/PRKAA1/CDK1/CSNK2B",20
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","20/25","499/2914",7.69081971625811e-12,1.55354558268414e-09,8.54085768489717e-10,"NOTCH1/CDK2/ESR1/SP1/NR0B2/MAPK1/MAPK3/CSNK2A1/RUNX2/STK11/CDK5/CREB1/TP53/CREBBP/STAT1/CTNNB1/E2F1/PRKAA1/CDK1/CSNK2B",20
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","7/25","56/2914",2.42731018995777e-07,3.26877772247646e-05,1.7970612283547e-05,"CDK2/CSNK2A1/STK11/CDK5/TP53/PRKAA1/CSNK2B",7
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","8/25","95/2914",6.50922429914348e-07,6.57431654213492e-05,3.61433243978757e-05,"CDK2/CSNK2A1/STK11/CDK5/TP53/PRKAA1/CDK1/CSNK2B",8
"R-HSA-2559585","R-HSA-2559585","Oncogene Induced Senescence","5/25","23/2914",9.23784516341246e-07,7.46417889203727e-05,4.10354806206322e-05,"SP1/MAPK1/MAPK3/TP53/E2F1",5
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","10/25","194/2914",1.84470043122961e-06,0.000124209829036127,6.82862791209556e-05,"CDK2/CSNK2A1/STK11/CDK5/TP53/CREBBP/E2F1/PRKAA1/CDK1/CSNK2B",10
"R-HSA-6807070","R-HSA-6807070","PTEN Regulation","6/25","59/2914",6.99421688595415e-06,0.00040366623170364,0.000221921768862605,"EGR1/MAPK1/MAPK3/CSNK2A1/TP53/CSNK2B",6
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","6/25","62/2914",9.38164767653723e-06,0.00047377320766513,0.000260464165756494,"ESR1/MAPK1/MAPK3/RUNX2/STAT1/CDK1",6
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","9/25","191/2914",1.51059279204649e-05,0.000678088319985315,0.000372789566224339,"CDK2/MAPK1/MAPK3/CSNK2A1/TP53/E2F1/CSNK1D/CDK1/CSNK2B",9
"R-HSA-445144","R-HSA-445144","Signal transduction by L1","4/25","20/2914",1.86331710400867e-05,0.000752780110019505,0.000413852535732453,"MAPK1/MAPK3/CSNK2A1/CSNK2B",4
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","4/25","23/2914",3.34682340021589e-05,0.00112676387807268,0.000619455910039958,"DUSP2/MAPK1/MAPK3/CDK1",4
"R-HSA-1912408","R-HSA-1912408","Pre-NOTCH Transcription and Translation","4/25","23/2914",3.34682340021589e-05,0.00112676387807268,0.000619455910039958,"NOTCH1/TP53/CREBBP/E2F1",4
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","8/25","172/2914",5.70193359215004e-05,0.0017719855163297,0.000974176508456403,"ESR1/EGR1/MAPK1/MAPK3/CSNK2A1/CREB1/TP53/CSNK2B",8
"R-HSA-1912422","R-HSA-1912422","Pre-NOTCH Expression and Processing","4/25","29/2914",8.67014302953949e-05,0.00237077294354909,0.00130336917949156,"NOTCH1/TP53/CREBBP/E2F1",4
