"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CDK2","0.999633015125402",1
"2","#upgenes.ERS_0","GSK3A","0.915556807325874",1
"3","#upgenes.HTS_0","CSNK2A1","0.992051725914243",1
"4","#upgenes.HYP_0","CDK1, EGR1, HIF1A, RELA, TP53","0.740740363851338",1
"5","#upgenes.MTL_0","CDK5","0.985469654854916",1
"6","#upgenes.OXD_0","MYB, SRC, SMAD3","0.803389664203617",1
"7","#upgenes.DNA_0.25","CDK2","0.999456009316714",1
"8","#upgenes.ERS_0.25","GSK3A","0.895545875555188",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.985447998963104",1
"10","#upgenes.HYP_0.25","CDK1, EGR1, RELA, TP53","0.817699292897726",1
"11","#upgenes.MTL_0.25","CDK5","0.98040476409636",1
"12","#upgenes.OXD_0.25","SRC, SMAD3","0.904386807180887",1
"13","#upgenes.DNA_0.45","CDK2","0.998798332375126",1
"14","#upgenes.ERS_0.45","GSK3A","0.819215767352612",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.970881401756594",1
"16","#upgenes.HYP_0.45","EGR1, RELA","0.962506542982029",1
"17","#upgenes.MTL_0.45","CDK5","0.91207655039178",1
"18","#upgenes.OXD_0.45","SRC, SMAD3","0.845787728852518",1
"19","#upgenes.DNA_0.5","CDK2","0.998798332375126",1
"20","#upgenes.ERS_0.5","GSK3A","0.819215767352612",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.970881401756594",1
"22","#upgenes.HYP_0.5","EGR1, RELA","0.962506542982029",1
"23","#upgenes.MTL_0.5","CDK5","0.91207655039178",1
"24","#upgenes.OXD_0.5","SRC, SMAD3","0.845787728852518",1
"25","#upgenes.DNA_0.65","CDK2","0.993670374373574",1
"26","#upgenes.ERS_0.65","GSK3A","0.761967317562586",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.915556807325874",1
"28","#upgenes.HYP_0.65","EGR1, RELA","0.929539649466194",1
"29","#upgenes.MTL_0.65","CDK5","0.91207655039178",1
"30","#upgenes.OXD_0.65","SMAD3","0.871437122318387",1
"31","#upgenes.DNA_0.75","CDK2","0.993670374373574",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","","1",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.871437122318387",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","CDK2","0.999633015125402",1
"56","#dngenes.ERS_0","GSK3A","0.915556807325874",1
"57","#dngenes.HTS_0","CSNK2A1","0.992051725914243",1
"58","#dngenes.HYP_0","CDK1, EGR1, HIF1A, RELA, TP53","0.740740363851338",1
"59","#dngenes.MTL_0","CDK5","0.985469654854916",1
"60","#dngenes.OXD_0","MYB, SRC, SMAD3","0.803389664203617",1
"61","#dngenes.DNA_0.25","CDK2","0.993570659432016",1
"62","#dngenes.ERS_0.25","GSK3A","0.723545554803644",1
"63","#dngenes.HTS_0.25","CSNK2A1","0.954015608549908",1
"64","#dngenes.HYP_0.25","CDK1, EGR1, HIF1A, RELA, TP53","0.249334952230903",1
"65","#dngenes.MTL_0.25","CDK5","0.969284585337955",1
"66","#dngenes.OXD_0.25","MYB, SRC, SMAD3","0.725100547579815",1
"67","#dngenes.DNA_0.45","","1",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","CDK1, HIF1A, TP53","0.315017364278411",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","MYB, SRC","0.669381829482143",1
"73","#dngenes.DNA_0.5","","1",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","CDK1, HIF1A, TP53","0.315017364278411",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","MYB, SRC","0.669381829482143",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","CDK1, HIF1A, TP53","0.123019021716017",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","MYB","0.636007275949828",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","HIF1A","0.440691347736614",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","MYB","0.636007275949828",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
