"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","24/35","481/2914",7.003287961482e-12,3.60669330016323e-09,2.11573015257404e-09,"MYB/AR/CDK1/MAPK1/E2F1/SMAD3/CREB1/NR0B2/PPP2CA/SRC/CSNK2A1/STK11/CDK2/GATA1/TP53/SUMO1/CTNNB1/CDK5/ZNF521/MAX/STAT1/AKT3/AKT1/AKT2",24
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","24/35","499/2914",1.59876475744452e-11,4.11681925041964e-09,2.41497623887672e-09,"MYB/AR/CDK1/MAPK1/E2F1/SMAD3/CREB1/NR0B2/PPP2CA/SRC/CSNK2A1/STK11/CDK2/GATA1/TP53/SUMO1/CTNNB1/CDK5/ZNF521/MAX/STAT1/AKT3/AKT1/AKT2",24
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","10/35","77/2914",9.88771539178476e-09,1.49046380577907e-06,8.74324194703309e-07,"CDK1/E2F1/PPP2CA/SRC/CDK2/MAX/JAK2/AKT3/AKT1/AKT2",10
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","14/35","191/2914",1.15764179089637e-08,1.49046380577907e-06,8.74324194703309e-07,"CDK1/MAPK1/E2F1/PPP2CA/SRC/CSNK2A1/CDK2/CSNK1D/TP53/MAX/JAK2/AKT3/AKT1/AKT2",14
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","9/35","62/2914",2.25689160171913e-08,1.82321597021201e-06,1.06952066111568e-06,"AR/CDK1/MAPK1/SRC/ZNF521/STAT1/AKT3/AKT1/AKT2",9
"R-HSA-6804757","R-HSA-6804757","Regulation of TP53 Degradation","7/35","29/2914",2.47815762941439e-08,1.82321597021201e-06,1.06952066111568e-06,"CDK1/PPP2CA/CDK2/TP53/AKT3/AKT1/AKT2",7
"R-HSA-6806003","R-HSA-6806003","Regulation of TP53 Expression and Degradation","7/35","29/2914",2.47815762941439e-08,1.82321597021201e-06,1.06952066111568e-06,"CDK1/PPP2CA/CDK2/TP53/AKT3/AKT1/AKT2",7
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","15/35","249/2914",4.29307969212394e-08,2.76367005180479e-06,1.62120246268365e-06,"CDK1/MAPK1/E2F1/PPP2CA/SRC/CSNK2A1/CDK2/CSNK1D/TP53/SUMO1/MAX/JAK2/AKT3/AKT1/AKT2",15
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","10/35","95/2914",7.8857203911337e-08,4.51238444603761e-06,2.64701959328114e-06,"CDK1/PPP2CA/CSNK2A1/STK11/CDK2/TP53/CDK5/AKT3/AKT1/AKT2",10
"R-HSA-69206","R-HSA-69206","G1/S Transition","8/35","60/2914",3.05672608186558e-07,1.57421393216077e-05,9.23453037363601e-06,"CDK1/E2F1/PPP2CA/CDK2/MAX/AKT3/AKT1/AKT2",8
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","12/35","201/2914",1.70464302614422e-06,7.98082871331155e-05,4.68165118185062e-05,"MAPK1/EGR1/CREB1/GSK3A/PPP2CA/SRC/PRKCD/CSNK2A1/TP53/AKT3/AKT1/AKT2",12
"R-HSA-389513","R-HSA-389513","CTLA4 inhibitory signaling","5/35","19/2914",1.91702339708623e-06,8.22722541249507e-05,4.82619048213814e-05,"PPP2CA/SRC/AKT3/AKT1/AKT2",5
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","11/35","172/2914",2.66016714612958e-06,0.000105383544635133,6.18192689019586e-05,"MAPK1/EGR1/CREB1/GSK3A/PPP2CA/SRC/CSNK2A1/TP53/AKT3/AKT1/AKT2",11
"R-HSA-6804759","R-HSA-6804759","Regulation of TP53 Activity through Association with Co-factors","4/35","10/2914",3.483920995661e-06,0.000123097663181128,7.22105862707897e-05,"TP53/AKT3/AKT1/AKT2",4
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","16/35","397/2914",3.5853688305183e-06,0.000123097663181128,7.22105862707897e-05,"MYB/MAPK1/E2F1/SMAD3/CREB1/SRC/CSNK2A1/RELA/CDK2/CTNNB1/CDK5/PIAS2/AKT3/KDM6A/AKT1/AKT2",16
"R-HSA-6807070","R-HSA-6807070","PTEN Regulation","7/35","59/2914",4.19555601835012e-06,0.000135044459340645,7.92187221885845e-05,"MAPK1/EGR1/CSNK2A1/TP53/AKT3/AKT1/AKT2",7
"R-HSA-69202","R-HSA-69202","Cyclin E associated events during G1/S transition ","6/35","39/2914",4.71300194760078e-06,0.000142776235471435,8.37542760966826e-05,"E2F1/CDK2/MAX/AKT3/AKT1/AKT2",6
"R-HSA-69656","R-HSA-69656","Cyclin A:Cdk2-associated events at S phase entry","6/35","40/2914",5.49713391905164e-06,0.000157279109350644,9.22618382905158e-05,"E2F1/CDK2/MAX/AKT3/AKT1/AKT2",6
"R-HSA-5674400","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer","5/35","24/2914",6.71115572669813e-06,0.000172812259962477,0.000101373773345388,"CREB1/GSK3A/AKT3/AKT1/AKT2",5
"R-HSA-9634638","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","5/35","24/2914",6.71115572669813e-06,0.000172812259962477,0.000101373773345388,"MAPK1/CREB1/AKT3/AKT1/AKT2",5
