"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1","0.815409546054995",1
"2","DNA_thresholded_100","BRCA1","0.9659320727919",1
"3","DNA_thresholded_200","BRCA1","0.998805226091986",1
"4","DNA_thresholded_300","BRCA1","0.999957539034502",1
"5","DNA_thresholded_400","BRCA1","0.999998465726062",1
"6","DNA_thresholded_477","BRCA1","0.999999879749478",1
"7","ERS_thresholded_050","GSK3A","0.813829715787128",1
"8","ERS_thresholded_100","GSK3A","0.965051963276983",1
"9","ERS_thresholded_200","GSK3A","0.998705450120366",1
"10","ERS_thresholded_300","GSK3A, CEBPB, EP300","0.996772369463762",1
"11","ERS_thresholded_400","GSK3A, CEBPB, EP300","0.999777318215026",1
"12","ERS_thresholded_477","GSK3A, CEBPB, EP300, CSNK2A1","0.999843189587863",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","MAPK1, MAPK3","0.990359952859113",1
"16","HTS_thresholded_300","MAPK1, MAPK3","0.99947936648838",1
"17","HTS_thresholded_400","MAPK1, MAPK3, CSNK2A1, EP300","0.998986441106251",1
"18","HTS_thresholded_477","MAPK1, MAPK3, CSNK2A1, EP300, FOXO1, PRKAA1","0.99785722893251",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","","1",1
"21","HYP_thresholded_200","KLF4","0.998798446265473",1
"22","HYP_thresholded_300","KLF4","0.999956573457968",1
"23","HYP_thresholded_400","KLF4","0.999998383624888",1
"24","HYP_thresholded_477","KLF4, NOTCH1","0.99999769109403",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","ROCK2, SMAD3","0.990249638777725",1
"34","OXD_thresholded_300","ROCK2, SMAD3, PAWR, STAT1","0.988274541673025",1
"35","OXD_thresholded_400","ROCK2, SMAD3, PAWR, STAT1","0.998921422065272",1
"36","OXD_thresholded_477","ROCK2, SMAD3, PAWR, STAT1","0.999840478436594",1
