X1	X3	X2
E2F6	inhibits	BRCA1 
CTNNB1	activates	FOXO1 
FOXO1	activates	KLF4 
EP300	activates	CTNNB1 
ESR1	inhibits	FOXO1 
MAPK1	activates	HIF1A 
EP300	activates	HIF1A 
ABL1	activates	YAP1 
ABL1	activates	CTNNB1 
E2F1	inhibits	MYBL2 
BRCA1	activates	SOX2 
EP300	activates	STAT5A 
CTNNB1	activates	TCF7 
RFX1	activates	ABL1 
PPP2R5C	activates	ATF1 
MAPK3	inhibits	PPP2R5C 
PRKAA1	activates	FOXO1 
PRKAA1	activates	PIAS1 
YAP1	activates	TEAD1 
PTPRB	inhibits	MAPK1 
ROCK2	activates	IRF4 
MAPK3	inhibits	STK11 
SMAD3	inhibits	PAX8 
MAPK1	activates	EP300 
EP300	activates	FLI1 
YAP1	activates	CTNNB1 
KDM6A	inhibits	FLI1 
KDM6A	inhibits	SPI1 
EP300	activates	MEF2C 
MAPK1	activates	STAT5A 
ABL1	activates	PLK1 
MAPK3	inhibits	FOXO1 
PIAS1	activates	PRDM1 
STK11	activates	PRKAA1 
PLK1	activates	ROCK2 
STK11	activates	ETV4 
ABL1	activates	STAT5A 
SMAD3	inhibits	BRCA1 
EP300	activates	IRF1 
STAT3	inhibits	HIF1A 
PEX14	inhibits	NFE2 
Perturbation	inhibits	KLF6 
Perturbation	inhibits	LYL1 
Perturbation	inhibits	PAWR 
Perturbation	inhibits	PAX5 
Perturbation	inhibits	PCIF1 
Perturbation	inhibits	RFX1 
Perturbation	inhibits	USF2 
MAPK3	activates	CEBPB 
ESR1	activates	RARA 
CEBPB	activates	STAT3 
MAPK3	activates	STAT3 
SMAD3	activates	ESR1 
MAPK3	activates	ELK1 
MAPK3	activates	SMAD3 
SMAD3	activates	SMAD4 
MAPK3	activates	ETS1 
NR2C2	activates	ESR1 
PRKAA1	inhibits	NR2C2 
PTPRB	activates	MAPK3 
MAPK3	activates	ESR1 
MAPK3	activates	SMAD4 
MAPK3	activates	E2F1 
MAPK3	activates	TWIST1 
KLF4	inhibits	SRF 
MAPK1	inhibits	MITF 
MAPK3	activates	CIITA 
MAPK3	activates	TP53 
PAWR	inhibits	WT1 
PLK1	inhibits	TP53 
BRCA1	inhibits	TP53 
BRCA1	inhibits	ESR1 
STAT3	activates	TWIST1 
SMAD4	activates	CTCF 
E2F1	activates	TP53 
TWIST1	activates	TP53 
CIITA	activates	NFYB 
PCIF1	inhibits	PDX1 
TP53	activates	ESR1 
Perturbation	activates	E2F6 
Perturbation	activates	KDM6A 
Perturbation	activates	PEX14 
Perturbation	activates	PTPRB 
CSNK2A1	activates	CTNNB1 
CSNK2A1	activates	ATF1 
CSNK2A1	activates	PIAS1 
MAPK1	activates	CSNK2A1 
Perturbation	activates	KLF6 
Perturbation	activates	LYL1 
Perturbation	activates	NR2C2AP 
Perturbation	activates	PAWR 
Perturbation	activates	PAX5 
Perturbation	activates	PCIF1 
Perturbation	activates	RFX1 
Perturbation	activates	USF2 
NR2C2AP	inhibits	NR2C2 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	KDM6A 
Perturbation	inhibits	PEX14 
Perturbation	inhibits	PTPRB 
Perturbation	inhibits	JAZF1 
JAZF1	inhibits	NR2C2 
NOTCH1	activates	PAX8 
NOTCH1	activates	SOX2 
ABL1	activates	STAT1 
STAT1	activates	IRF1 
ABL1	activates	PRKCD 
PIAS1	activates	STAT1 
NOTCH1	activates	MEF2C 
NOTCH1	activates	HIF1A 
GSK3A	inhibits	CTNNB1 
PRKCD	activates	STAT1 
AMER1	inhibits	CTNNB1 
GSK3A	inhibits	NOTCH1 
GSK3A	activates	MITF 
PRKCD	inhibits	GSK3A 
AMER1	activates	WT1 
PRKCD	inhibits	MAPK3 
Perturbation	activates	AMER1 
KPNA2	activates	IRF1 
PRKAA1	activates	KPNA2 
Perturbation	inhibits	AMER1 
DUSP2	activates	MAPK1 
Perturbation	activates	DUSP2 
DUSP2	inhibits	MAPK3 
Perturbation	inhibits	NR2C2AP 
Perturbation	activates	JAZF1 
SP2	activates	IRF1 
Perturbation	inhibits	SP2 
Perturbation	inhibits	DUSP2 
MAPK3	activates	HIF1A 
CEBPA	activates	SPI1 
MAPK3	activates	STAT5A 
MAPK1	inhibits	FOXO1 
MAPK1	inhibits	STK11 
MAPK3	activates	EP300 
MAPK1	inhibits	CEBPA 
MAPK3	activates	CSNK2A1 
MAPK1	activates	CEBPB 
MAPK1	activates	STAT3 
MAPK1	activates	SMAD3 
MAPK1	activates	ELK1 
MAPK1	activates	ESR1 
MAPK1	activates	SMAD4 
MAPK1	activates	E2F1 
MAPK1	activates	CIITA 
MAPK1	activates	TWIST1 
MAPK3	inhibits	MITF 
MAPK1	activates	TP53 
MAPK1	activates	ETS1 
MAPK1	activates	RARA 
GATA2	inhibits	SPI1 
MAPK1	inhibits	PPP2R5C 
MAPK1	activates	GATA2 
MAPK3	inhibits	CEBPA 
Perturbation	activates	SP2 
