"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1","0.999999993106092",1
"2","DNA_thresholded_100","BRCA1","1",1
"3","DNA_thresholded_200","BRCA1","1",1
"4","DNA_thresholded_300","BRCA1, YY1","1",1
"5","DNA_thresholded_400","BRCA1, YY1","1",1
"6","DNA_thresholded_477","BRCA1, YY1, TP73","1",1
"7","ERS_thresholded_050","GSK3A","0.999999992528508",1
"8","ERS_thresholded_100","GSK3A","1",1
"9","ERS_thresholded_200","GSK3A","1",1
"10","ERS_thresholded_300","GSK3A, CEBPB, EP300","1",1
"11","ERS_thresholded_400","GSK3A, CEBPB, EP300","1",1
"12","ERS_thresholded_477","GSK3A, CEBPB, EP300, CSNK2A1","1",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","RPS6KB1","1",1
"15","HTS_thresholded_200","RPS6KB1, MAPK1, MAPK3","1",1
"16","HTS_thresholded_300","RPS6KB1, MAPK1, MAPK3","1",1
"17","HTS_thresholded_400","RPS6KB1, MAPK1, MAPK3, CSNK2A1, EP300","1",1
"18","HTS_thresholded_477","RPS6KB1, MAPK1, MAPK3, CSNK2A1, EP300","1",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","EGR1","1",1
"21","HYP_thresholded_200","EGR1","1",1
"22","HYP_thresholded_300","EGR1","1",1
"23","HYP_thresholded_400","EGR1, NR4A1","1",1
"24","HYP_thresholded_477","EGR1, NR4A1","1",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","1",1
"28","MTL_thresholded_300","CDK5","1",1
"29","MTL_thresholded_400","CDK5","1",1
"30","MTL_thresholded_477","CDK5","1",1
"31","OXD_thresholded_050","SRC","0.999999992627671",1
"32","OXD_thresholded_100","SRC","1",1
"33","OXD_thresholded_200","SRC, PTN, RHOA, ROCK2","1",1
"34","OXD_thresholded_300","SRC, PTN, RHOA, ROCK2","1",1
"35","OXD_thresholded_400","SRC, PTN, RHOA, ROCK2","1",1
"36","OXD_thresholded_477","SRC, PTN, RHOA, ROCK2","1",1
