"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","27/41","481/2914",1.4215936087073e-12,6.90894493831748e-10,4.2647808261219e-10,"E2F1/YAP1/MAPK14/BRCA1/NR0B2/NR4A1/SRC/MAPK1/HDAC4/ZNF521/CDK1/MAPK3/TP73/MED1/SP1/SMAD2/JUN/PPP2CA/HNF4A/YY1/CREB1/EP300/CDK5/CSNK2A1/KAT6A/SMAD1/HDAC3",27
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","27/41","499/2914",3.56657311698988e-12,8.66677267428541e-10,5.34985967548482e-10,"E2F1/YAP1/MAPK14/BRCA1/NR0B2/NR4A1/SRC/MAPK1/HDAC4/ZNF521/CDK1/MAPK3/TP73/MED1/SP1/SMAD2/JUN/PPP2CA/HNF4A/YY1/CREB1/EP300/CDK5/CSNK2A1/KAT6A/SMAD1/HDAC3",27
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","8/41","24/2914",4.67709100843976e-10,7.57688743367241e-08,4.67709100843976e-08,"YAP1/SRC/MAPK1/HDAC4/ZNF521/MAPK3/SMAD1/HDAC3",8
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","9/41","62/2914",1.01354578200094e-07,1.22480913394989e-05,7.56055020956725e-06,"YAP1/SRC/MAPK1/HDAC4/ZNF521/CDK1/MAPK3/SMAD1/HDAC3",9
"R-HSA-8940973","R-HSA-8940973","RUNX2 regulates osteoblast differentiation","6/41","19/2914",1.26009170159454e-07,1.22480913394989e-05,7.56055020956725e-06,"YAP1/SRC/MAPK1/ZNF521/MAPK3/HDAC3",6
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","19/41","397/2914",3.24581596101332e-07,2.62911092842079e-05,1.62290798050666e-05,"E2F1/RHOA/MAPK14/SRC/MAPK1/ROCK2/CEBPE/MAPK3/MED1/SMAD2/JUN/HNF4A/YY1/CREB1/EP300/CEBPB/CDK5/CSNK2A1/HDAC3",19
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","6/41","30/2914",2.45998554156332e-06,0.000170793281885682,0.000105427951781285,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","9/41","95/2914",4.20564639623873e-06,0.000255493018571503,0.000157711739858952,"MAPK14/BRCA1/CDK1/TP73/PPP2CA/EP300/CDK5/CSNK2A1/KAT6A",9
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","4/41","10/2914",6.67138923513221e-06,0.000360255018697139,0.000222379641171074,"MAPK14/MAPK1/MAPK3/JUN",4
"R-HSA-9006931","R-HSA-9006931","Signaling by Nuclear Receptors","10/41","136/2914",1.14371313221101e-05,0.00054207320866925,0.000334613091771142,"SRC/MAPK1/MAPK3/MED1/SP1/JUN/YY1/CREB1/EP300/HDAC3",10
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","9/41","108/2914",1.22691466982752e-05,0.00054207320866925,0.000334613091771142,"SRC/MAPK1/MAPK3/MED1/SP1/JUN/YY1/CREB1/EP300",9
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","11/41","172/2914",1.47423143078893e-05,0.000560438072658764,0.000345949427567138,"NR4A1/SRC/MAPK1/MAPK3/EGR1/JUN/PPP2CA/CREB1/CSNK2A1/GSK3A/HDAC3",11
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","5/41","24/2914",1.49911418612427e-05,0.000560438072658764,0.000345949427567138,"MAPK14/MAPK1/MAPK3/PPP2CA/CREB1",5
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","8/41","89/2914",2.30970931020311e-05,0.000801799089113366,0.000494937709329239,"RHOA/MAPK14/SRC/MAPK1/MAPK3/PPP2CA/CREB1/CDK5",8
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","5/41","27/2914",2.76017780900535e-05,0.000894297610117734,0.000552035561801071,"E2F1/CEBPE/CREB1/EP300/CEBPB",5
"R-HSA-1295596","R-HSA-1295596","Spry regulation of FGF signaling","4/41","14/2914",3.05274141953345e-05,0.000927270206183284,0.000572389016162521,"SRC/MAPK1/MAPK3/PPP2CA",4
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","7/41","70/2914",4.00028656327829e-05,0.00114361133514897,0.000705932922931463,"RHOA/MAPK14/SRC/MAPK1/MAPK3/PPP2CA/CREB1",7
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","11/41","194/2914",4.62504207370494e-05,0.00124876135990033,0.00077084034561749,"E2F1/MAPK14/BRCA1/CDK1/TP73/JUN/PPP2CA/EP300/CDK5/CSNK2A1/KAT6A",11
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","11/41","201/2914",6.43608796695158e-05,0.0015529042054107,0.00095858284284611,"NR4A1/SRC/MAPK1/MAPK3/EGR1/JUN/PPP2CA/CREB1/CSNK2A1/GSK3A/HDAC3",11
"R-HSA-8943724","R-HSA-8943724","Regulation of PTEN gene transcription","5/41","32/2914",6.53743395039276e-05,0.0015529042054107,0.00095858284284611,"MAPK1/MAPK3/EGR1/JUN/HDAC3",5
"R-HSA-400253","R-HSA-400253","Circadian Clock","6/41","52/2914",6.71007989992277e-05,0.0015529042054107,0.00095858284284611,"CSNK1D/MED1/CREM/CREB1/EP300/HDAC3",6
"R-HSA-68875","R-HSA-68875","Mitotic Prophase","5/41","33/2914",7.62540802801726e-05,0.00168452195528018,0.0010398283674569,"MAPK1/CDK1/MAPK3/PLK1/PPP2CA",5
"R-HSA-1852241","R-HSA-1852241","Organelle biogenesis and maintenance","7/41","80/2914",9.555888606438e-05,0.00201920080988212,0.00124642025301365,"MAPK14/CSNK1D/CDK1/PLK1/MED1/CREB1/HDAC3",7
"R-HSA-6807070","R-HSA-6807070","PTEN Regulation","6/41","59/2914",0.000138075616957098,0.00279603124338123,0.00172594521196372,"MAPK1/MAPK3/EGR1/JUN/CSNK2A1/HDAC3",6
"R-HSA-450294","R-HSA-450294","MAP kinase activation","6/41","60/2914",0.000151829023137603,0.00295155620979499,0.00182194827765123,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","4/41","21/2914",0.00016994179373544,0.00317660429828554,0.00196086685079354,"MAPK14/MAPK1/MAPK3/PPP2CA",4
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","10/41","191/2914",0.000216425482898415,0.00378565122892263,0.00233682174624854,"E2F1/SRC/MAPK1/CSNK1D/CDK1/MAPK3/PLK1/PPP2CA/EP300/CSNK2A1",10
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","6/41","64/2914",0.000218103362983197,0.00378565122892263,0.00233682174624854,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
"R-HSA-2559585","R-HSA-2559585","Oncogene Induced Senescence","4/41","23/2914",0.000246358941067586,0.00412863604685679,0.00254854076966468,"E2F1/MAPK1/MAPK3/SP1",4
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","6/41","68/2914",0.000305417796900879,0.00488107307922313,0.00301300807359453,"E2F1/CSNK1D/CDK1/PLK1/PPP2CA/EP300",6
"R-HSA-2559580","R-HSA-2559580","Oxidative Stress Induced Senescence","5/41","44/2914",0.000311344167604768,0.00488107307922313,0.00301300807359453,"E2F1/MAPK14/MAPK1/MAPK3/JUN",5
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors","8/41","130/2914",0.000347936857151527,0.00528429101798882,0.00326190803579557,"RHOA/MAPK14/SRC/MAPK1/ROCK2/MAPK3/PLK1/PPP2CA",8
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","7/41","99/2914",0.000367579524016583,0.00541344389915331,0.00334163203651439,"E2F1/MAPK14/MAPK1/MAPK3/SP1/JUN/CEBPB",7
"R-HSA-113510","R-HSA-113510","E2F mediated regulation of DNA replication","3/41","11/2914",0.000394670545050049,0.00564146720277423,0.00348238716220632,"E2F1/CDK1/PPP2CA",3
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","11/41","249/2914",0.000442978205530942,0.00599523304688513,0.00370076114005255,"E2F1/BRCA1/SRC/MAPK1/CSNK1D/CDK1/MAPK3/PLK1/PPP2CA/EP300/CSNK2A1",11
"R-HSA-5617472","R-HSA-5617472","Activation of anterior HOX genes in hindbrain development during early embryogenesis","4/41","27/2914",0.00046876307773999,0.00599523304688513,0.00370076114005255,"JUN/YY1/EP300/HDAC3",4
"R-HSA-5619507","R-HSA-5619507","Activation of HOX genes during differentiation","4/41","27/2914",0.00046876307773999,0.00599523304688513,0.00370076114005255,"JUN/YY1/EP300/HDAC3",4
"R-HSA-5654732","R-HSA-5654732","Negative regulation of FGFR3 signaling","4/41","27/2914",0.00046876307773999,0.00599523304688513,0.00370076114005255,"SRC/MAPK1/MAPK3/PPP2CA",4
"R-HSA-9018519","R-HSA-9018519","Estrogen-dependent gene expression","5/41","49/2914",0.000519090012490365,0.00625847592191008,0.0038632567419198,"MED1/SP1/JUN/YY1/EP300",5
"R-HSA-202670","R-HSA-202670","ERKs are inactivated","3/41","12/2914",0.000521091582230337,0.00625847592191008,0.0038632567419198,"MAPK1/MAPK3/PPP2CA",3
"R-HSA-68886","R-HSA-68886","M Phase","7/41","105/2914",0.000527978421395706,0.00625847592191008,0.0038632567419198,"MAPK1/CSNK1D/CDK1/MAPK3/PLK1/PPP2CA/CSNK2A1",7
"R-HSA-5654733","R-HSA-5654733","Negative regulation of FGFR4 signaling","4/41","28/2914",0.000541347635181527,0.00626416549281482,0.0038667688227252,"SRC/MAPK1/MAPK3/PPP2CA",4
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","6/41","78/2914",0.000645838345066852,0.00697505412672201,0.00430558896711235,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","6/41","78/2914",0.000645838345066852,0.00697505412672201,0.00430558896711235,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","6/41","78/2914",0.000645838345066852,0.00697505412672201,0.00430558896711235,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
"R-HSA-5654726","R-HSA-5654726","Negative regulation of FGFR1 signaling","4/41","30/2914",0.000709964471812671,0.00750092898480343,0.00463020307703916,"SRC/MAPK1/MAPK3/PPP2CA",4
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","11/41","268/2914",0.000834328601338731,0.00862731277128985,0.00532550171067275,"NR4A1/SRC/MAPK1/HDAC4/MAPK3/SMAD2/PPP2CA/CREB1/EP300/GSK3A/HDAC3",11
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","6/41","83/2914",0.000900906273453747,0.00886839461976725,0.00547431766652299,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
"R-HSA-375165","R-HSA-375165","NCAM signaling for neurite out-growth","4/41","32/2914",0.000912817931859019,0.00886839461976725,0.00547431766652299,"SRC/MAPK1/MAPK3/CREB1",4
"R-HSA-5654727","R-HSA-5654727","Negative regulation of FGFR2 signaling","4/41","32/2914",0.000912817931859019,0.00886839461976725,0.00547431766652299,"SRC/MAPK1/MAPK3/PPP2CA",4
"R-HSA-168181","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","6/41","84/2914",0.000960152535638105,0.00886839461976725,0.00547431766652299,"MAPK14/MAPK1/MAPK3/JUN/PPP2CA/CREB1",6
